Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9,Unknown1,Unknown2
"1","40430","59351","31262","61721","642","0","0","0","0","0","534044","5"
"61","62634","62479","62473","62471","0","62428","0","0","0","0","534044","0"
"81","65912","65984","65798","0","0","0","0","0","0","0","534044","7"
"101","65307","0","0","0","0","0","0","0","0","0","534044","7"
"121","66905","0","0","0","0","0","0","0","0","0","534044","1"
"122","66909","66910","66911","66912","66913","0","0","0","0","0","534044","0"
"141","127291","0","0","0","0","0","0","0","0","0","629203","8"
"181","68172","68173","0","68182","0","68177","0","0","0","0","534044","5"
"201","69354","0","0","0","0","0","0","0","0","69310","534040","0"
"221","69667","69668","69671","69669","0","0","0","0","0","0","534044","0"
"241","70946","0","0","0","0","0","0","0","0","0","534044","0"
"261","6603","72226","72477","11922","0","72165","0","0","0","0","534044","2"
"262","6603","72177","0","0","0","72165","0","0","0","0","534044","2"
"263","6603","0","0","0","0","72165","0","0","0","0","534044","2"
"264","6603","72188","72210","0","0","72165","0","0","0","0","534044","2"
"265","72375","0","0","0","0","0","0","0","0","0","534044","4"
"266","73491","73492","73499","0","0","0","0","0","0","0","534044","0"
"267","73982","73983","0","76643","0","0","0","0","0","0","534044","0"
"268","73982","73983","0","73995","0","0","0","0","0","0","534044","4"
"269","74922","74974","0","0","0","0","0","0","0","0","534046","4"
"270","74934","74935","74937","0","74947","0","0","0","0","0","534044","0"
"271","33912","31289","24331","0","0","0","0","0","0","0","534044","0"
"272","75557","75563","0","0","0","0","0","0","0","0","534044","0"
"273","69727","0","69724","69726","0","0","0","0","0","0","534044","0"
"274","69696","69697","69698","69699","0","0","0","0","0","0","534044","0"
"275","76869","76871","76899","76891","0","0","0","0","0","0","534044","0"
"276","79323","79319","0","0","0","0","0","0","0","0","534044","0"
"277","81342","0","0","0","0","0","0","0","0","0","0","0"
"278","82577","82578","82579","0","0","0","0","0","0","0","534044","5"
"279","82577","82578","82579","82585","0","0","0","0","0","0","534044","5"
"283","87997","0","88027","0","0","0","0","0","0","0","534044","0"
"284","91113","0","0","0","0","0","0","0","0","0","534044","0"
"292","96145","96146","0","0","0","0","0","0","0","0","534044","0"
"295","93604","93593","0","0","0","0","0","0","0","0","534045","0"
"296","98448","98460","98459","0","0","0","0","0","0","0","0","3"
"297","97844","98460","0","0","98448","0","0","0","0","0","0","3"
"298","98454","97861","98441","0","98448","0","0","0","0","0","0","3"
"299","98459","98438","0","0","98448","0","0","0","0","0","0","3"
"301","101369","101370","101371","101372","101374","101375","0","0","0","0","534046","7"
"302","101604","0","0","0","0","0","0","0","0","0","533447","0"
"303","101872","0","0","0","0","0","0","0","0","0","533447","0"
"305","181457","0","0","0","0","0","0","0","0","0","533447","4"
"306","102120","0","0","0","0","0","0","0","0","0","533447","0"
"307","102292","0","102297","0","0","0","0","0","0","0","533447","0"
"309","102647","102648","102649","0","0","102669","0","0","0","0","534044","0"
"312","100138","0","0","0","0","0","0","0","0","0","0","8"
"313","106108","0","0","0","0","0","0","0","0","0","0","8"
"314","0","0","0","0","0","0","0","0","0","0","4294967295","15"
"315","106466","0","0","0","0","0","0","0","0","0","629203","8"
"316","107200","0","0","0","0","0","0","0","0","0","629198","8"
"317","108229","0","0","0","0","0","0","0","0","0","4294967295","15"
"318","108800","0","0","0","0","0","0","0","0","0","4294967295","8"
"329","109935","0","0","0","0","0","0","0","0","0","0","8"
"336","108129","0","0","0","0","0","0","0","0","0","0","15"
"341","111666","0","0","0","0","0","0","0","0","0","629480","8"
"347","114576","0","0","0","0","0","0","0","0","0","629199","15"
"348","114667","0","0","0","0","0","0","0","0","0","0","15"
"349","114669","0","0","0","0","0","0","0","0","0","0","15"
"350","114671","0","0","0","0","0","0","0","0","0","0","15"
"351","114676","0","0","0","0","0","0","0","0","0","0","15"
"354","115058","0","0","0","0","0","0","0","0","0","653590","15"
"355","115817","0","0","0","0","0","0","0","0","0","629200","15"
"356","115911","0","0","0","0","0","0","0","0","0","629201","15"
"357","116506","0","0","0","0","0","0","0","0","0","534037","0"
"358","116685","0","0","0","0","0","0","0","0","0","629199","15"
"359","116809","0","0","0","0","0","0","0","0","0","629202","8"
"360","116936","0","0","0","0","0","0","0","0","0","4294967295","15"
"361","115730","0","0","0","0","0","0","0","0","0","4294967295","15"
"362","118194","0","0","0","0","0","0","0","0","0","4294967295","15"
"363","116938","0","0","0","0","0","0","0","0","0","4294967295","15"
"364","116922","0","0","0","0","0","0","0","0","0","4294967295","15"
"365","118197","0","0","0","0","0","0","0","0","0","4294967295","15"
"366","118400","0","0","0","0","0","0","0","0","0","4294967295","15"
"367","118386","0","0","0","0","0","0","0","0","0","4294967295","15"
"368","118984","0","0","0","0","0","0","0","0","0","4294967295","15"
"369","119090","0","0","0","0","0","0","0","0","0","629479","8"
"370","119920","0","0","0","0","0","0","0","0","0","4294967295","8"
"371","120080","0","0","0","0","0","0","0","0","0","4294967295","8"
"372","120106","0","0","0","0","0","0","0","0","0","4294967295","8"
"373","120285","0","0","0","0","0","0","0","0","0","629198","15"
"374","120963","0","0","0","0","0","0","0","0","0","4294967295","8"
"375","120546","0","0","0","0","0","0","0","0","0","4294967295","15"
"376","120715","0","0","0","0","0","0","0","0","0","629199","8"
"377","121903","0","0","0","0","0","0","0","0","0","654130","15"
"378","122158","0","0","0","0","0","0","0","0","0","4294967295","15"
"379","122224","0","0","0","0","0","0","0","0","0","4294967295","8"
"380","122389","122395","123156","123060","0","0","0","0","0","0","628126","2"
"381","123155","0","0","0","0","0","0","0","0","0","629199","15"
"382","124828","0","0","0","0","0","0","0","0","0","629738","8"
"385","127355","0","0","0","0","0","0","0","0","0","629199","15"
"386","124900","0","0","0","0","0","0","0","0","0","629738","8"
"388","124703","0","0","0","0","0","0","0","0","0","629738","8"
"389","125026","0","0","0","0","0","0","0","0","0","629201","8"
"390","127329","0","0","0","0","0","0","0","0","0","629480","15"
"391","113029","0","0","0","0","0","0","0","0","0","629199","8"
"392","128806","0","0","0","0","0","0","0","0","0","629199","15"
"393","131798","131806","0","0","0","0","0","0","0","0","534037","0"
"394","129586","0","0","0","0","0","0","0","0","0","4294967295","15"
"395","132292","0","0","0","0","0","0","0","0","0","4294967295","15"
"396","132293","0","0","0","0","0","0","0","0","0","4294967295","15"
