Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2_0,Unknown2_1,Unknown2_2
"281","4278190080","4294902015","4294902015","4278190080","4294902015","4294902015","4278190080","4294902015","4294902015"
"282","4278191974","4278212966","4278215270","4285362886","4278226595","4278237917","4281883574","4278249684","4290117119"
"283","4278191974","4278216038","4278215270","4285363142","4278212737","4278221199","4281883831","4294967295","4292274925"
"284","4278254847","4294902015","4294902015","4278255516","4294902015","4294902015","4278780095","4294902015","4294902015"
"285","4278255360","4294964736","0","4278221312","4281401088","0","4280436024","4282288640","0"
"286","4278573805","4280665838","4278581202","4278254811","4294967295","4278236149","4282305742","4294967295","4278573567"
"287","4278648576","0","0","4278227723","0","0","4280483897","0","0"
"288","4279107328","0","0","4278230279","0","0","4280483897","0","0"
"289","4280351999","4280351999","4294902015","4286574335","4286574335","4294902015","4287428094","4287428094","4294902015"
"290","4282158243","4289580760","4278224249","4291879913","4294967295","4280731779","4294967295","4294967295","4293130212"
"291","4282509055","4294902015","4294902015","4284409076","4294902015","4294902015","4294835967","4294902015","4294902015"
"292","4282582464","4286260699","4284166021","4287234274","4286841087","4284416183","4285152986","4287234303","4285212055"
"293","4283019269","4280664951","4287873583","4288336640","4292928176","4288986112","4290300478","4294967295","4285963301"
"294","4283238753","4293500142","4294902015","4286725731","4291762872","4294902015","4287909467","4284222338","4294902015"
"295","4283998304","4282176152","4290568159","4284013919","4294967295","4285906604","4288151454","4294311162","4288079810"
"296","4284874786","4293779949","4294505464","4294967295","4294438904","4294564090","4290197560","4292274925","4294555135"
"297","4284898816","4278216038","4278215270","4290969830","4278212737","4278221199","4289698229","4294967295","4292274925"
"298","4284898816","4284350566","4284874853","4290969830","4285923457","4286316687","4289698229","4294967295","4292274925"
"299","4284898816","4294769404","4293779949","4290969830","4293383145","4294438904","4289698229","4294967295","4292274925"
"300","4284898816","4294769404","4293783009","4290969830","4294963809","4294963809","4289698229","4294967295","4293781718"
"301","4285246687","4294902015","4294902015","4279969691","4294902015","4294902015","4283762055","4294902015","4294902015"
"302","4285250271","4294902015","4294902015","4279981211","4294902015","4294902015","4278525319","4294902015","4294902015"
"303","4286971870","4294902015","4294902015","4282309318","4294902015","4294902015","4280463305","4294902015","4294902015"
"304","4287142328","4293779949","4294505464","4294967295","4294438904","4292342522","4283270327","4292274925","4283372031"
"305","4287299721","4283826392","4278204741","4290969830","4286316673","4278220175","4289698229","4294967295","4292274669"
"306","4287364863","4285512447","4282039753","4286855881","4284950405","4280750136","4279438740","4280559422","4278321686"
"307","4287404693","4294902015","4294902015","4281619025","4294902015","4294902015","4285040516","4294902015","4294902015"
"308","4287975303","4284022886","4284612710","4291194307","4287496355","4292083933","4289935542","4290380008","4294555135"
"309","4288021765","4294557733","4285859077","4294125568","4294961928","4291709184","4293702974","4292607821","4293910653"
"310","4288671507","4289125142","4289191190","4280544019","4279289104","4279481114","4279427355","4279536907","4291099439"
"311","4290445056","4294902015","4294902015","4283219456","4294902015","4294902015","4282409773","4294902015","4294902015"
"312","4291355036","4294902015","4294902015","4285579827","4294902015","4294902015","4281963053","4294902015","4294902015"
"313","4291783531","4293054948","4294505208","4294920507","4294835197","4294564089","4294935941","4294568445","4294555135"
"314","4291783531","4293054948","4294958079","4294920507","4294835197","4294834175","4294935941","4294568445","4294358783"
"315","4291806413","4293054948","4294505208","4294836221","4294835197","4294564089","4294967295","4294568445","4294555135"
"316","4291809162","4293190865","4294506738","4294963808","4294963808","4294963808","4294833294","4294704617","4294705077"
"317","4291812846","4289580760","4292537847","4291879913","4294967295","4290506487","4294967295","4294967295","4293130212"
"318","4291886975","4290838272","4294902015","4287430447","4278255360","4294902015","4278249903","4278241740","4294902015"
"319","4291887096","4292607982","4292407018","4287593152","4286240255","4286701055","4280265437","4279320486","4280776384"
"320","4291924382","4290117848","4284874850","4293428205","4286030592","4287037661","4288562402","4293439232","4294574005"
"321","4292114454","4286371221","4294967295","4292576811","4290183097","4294967295","4294491762","4292476880","4294967295"
"322","4292114454","4287011583","4294967295","4292576811","4280851199","4294967295","4294491762","4287011583","4294967295"
"323","4292114454","4291876732","4294967295","4292576811","4294704821","4294967295","4294491762","4292476927","4294967295"
"324","4292114454","4294902015","4294902015","4292576811","4294902015","4294902015","4294491762","4294902015","4294902015"
"325","4292580840","4294902015","4294902015","4287044507","4294902015","4294902015","4284941703","4294902015","4294902015"
"326","4292739327","0","0","4286513360","0","0","4280483897","0","0"
