Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"3032","2","2","255","0","255","255","0"
"3036","2","2","255","161","0","255","0"
"3038","3","0","0","255","0","255","0"
"3039","3","0","188","255","0","255","0"
"3040","3","0","0","255","197","255","0"
"3041","3","0","116","255","0","255","0"
"3042","3","0","0","255","116","255","0"
"3043","3","0","0","255","215","255","0"
"3044","2","2","185","185","185","255","0"
"3045","3","0","255","0","0","255","0"
"3047","2","2","255","255","0","255","0"
"3049","3","0","20","0","193","255","0"
"3050","3","0","235","33","0","255","0"
"3051","3","0","10","235","0","255","0"
"3052","3","0","243","247","0","255","0"
"3058","3","0","0","128","227","255","0"
"3059","3","0","206","94","0","255","0"
"3060","3","0","155","0","176","255","0"
"3061","3","0","0","108","110","255","0"
"3062","3","0","70","0","51","255","0"
"3093","2","2","255","0","0","255","0"
"3094","2","2","210","210","210","255","0"
"3095","3","1","59","130","0","255","0"
"3096","3","1","25","236","0","255","0"
"3097","3","1","255","0","0","255","0"
"3110","4","1","16","67","141","255","0"
"3111","3","0","42","45","136","255","0"
"3113","3","0","130","109","0","255","0"
"3114","3","0","18","0","168","255","0"
"3116","3","0","5","155","0","255","0"
"3117","3","0","255","0","255","255","0"
"3155","3","0","255","0","255","255","2"
"3165","3","0","0","80","0","255","2"
"3166","3","0","7","199","0","255","2"
"3226","5","3","189","189","255","255","3"
"3227","3","4","216","219","0","255","3"
"3231","3","0","14","0","79","255","0"
"3232","3","0","17","79","0","255","0"
"3246","3","0","0","190","216","207","0"
"3370","2","2","0","0","255","255","0"
"3373","2","2","255","125","0","255","0"
"3376","2","2","0","255","0","255","0"
"3432","3","0","255","255","0","255","0"
"3554","3","0","251","255","0","255","0"
"3760","5","3","189","189","255","255","0"
"3855","5","3","255","0","255","255","3"
"3915","3","1","255","255","0","255","0"
"3916","3","1","255","0","255","255","0"
"3925","3","1","4","117","0","255","0"
"3926","3","1","238","33","0","255","0"
"3967","3","1","23","0","43","255","0"
"3989","3","0","255","0","255","255","3"
"4044","3","1","255","255","0","255","3"
"4071","3","1","0","111","210","255","0"
"4073","3","1","48","157","164","255","0"
"4081","3","1","0","196","28","255","0"
"4093","3","1","198","0","0","255","0"
"4094","3","1","39","124","0","255","0"
"4117","2","2","251","255","0","255","0"
"4127","3","1","162","243","0","255","0"
"4128","3","1","119","67","0","255","0"
"4145","3","0","255","255","0","255","3"
"4174","4","1","255","0","255","255","0"
"4176","3","1","0","0","104","255","0"
"4177","3","1","0","113","91","255","0"
"4198","3","0","26","247","0","255","0"
"4199","3","0","0","255","9","255","0"
"4200","2","2","226","0","32","255","0"
"4205","4","1","0","222","226","255","0"
"4207","3","1","26","187","0","255","0"
"4208","3","1","0","161","6","255","0"
"4212","4","1","0","255","251","255","0"
"4239","4","1","255","255","0","255","0"
"4248","3","1","52","184","0","255","0"
"4303","2","2","255","0","255","255","3"
"4310","3","0","0","151","11","255","0"
"4321","2","2","255","255","0","255","3"
"4330","3","0","255","255","0","255","2"
"4339","4","1","255","0","255","255","3"
"4393","3","0","0","40","88","255","0"
