Id,Unknown1,Unknown2,Unknown3
"21590","21590","3032","1"
"21591","21591","3032","2"
"21592","21592","3032","3"
"21593","21593","3032","4"
"21594","21594","3032","5"
"21595","21595","3032","6"
"21616","21616","3036","1"
"21617","21617","3036","2"
"21618","21618","3036","3"
"21619","21619","3036","4"
"21620","21620","3036","5"
"21621","21621","3036","6"
"21622","21622","3036","7"
"21623","21623","3036","8"
"21624","21624","3036","9"
"21625","21625","3036","10"
"21626","21626","3036","11"
"21627","21627","3036","12"
"21628","21628","3036","13"
"21629","21629","3036","14"
"21630","21630","3036","15"
"21631","21631","3036","16"
"21632","21632","3036","17"
"21633","21633","3036","18"
"21634","21634","3036","19"
"21635","21635","3036","20"
"21636","21636","3036","21"
"21637","21637","3036","22"
"21638","21638","3036","23"
"21639","21639","3036","24"
"21640","21640","3038","1"
"21641","21641","3038","2"
"21643","21643","3038","3"
"21644","21644","3038","4"
"21645","21645","3039","1"
"21646","21646","3039","2"
"21647","21647","3039","3"
"21648","21648","3039","4"
"21649","21649","3040","1"
"21650","21650","3040","2"
"21651","21651","3040","3"
"21653","21653","3041","1"
"21654","21654","3041","2"
"21655","21655","3041","3"
"21657","21657","3042","1"
"21658","21658","3042","2"
"21659","21659","3042","3"
"21660","21660","3042","4"
"21661","21661","3043","1"
"21662","21662","3043","2"
"21663","21663","3043","3"
"21664","21664","3043","4"
"21665","21665","3042","5"
"21666","21666","3044","1"
"21667","21667","3044","2"
"21668","21668","3044","3"
"21669","21669","3044","4"
"21670","21670","3044","5"
"21671","21671","3044","6"
"21672","21672","3045","1"
"21673","21673","3045","2"
"21674","21674","3045","5"
"21675","21675","3045","6"
"21677","21677","3046","1"
"21678","21678","3046","2"
"21679","21679","3046","3"
"21681","21681","3047","1"
"21687","21687","3045","3"
"21688","21688","3049","1"
"21689","21689","3049","2"
"21690","21690","3049","3"
"21691","21691","3049","4"
"21692","21692","3049","5"
"21693","21693","3049","6"
"21694","21694","3049","7"
"21695","21695","3049","8"
"21696","21696","3050","1"
"21697","21697","3050","2"
"21698","21698","3050","3"
"21699","21699","3050","4"
"21700","21700","3050","5"
"21701","21701","3050","6"
"21702","21702","3050","7"
"21703","21703","3050","8"
"21705","21705","3045","7"
"21706","21706","3045","4"
"21707","21707","3051","1"
"21708","21708","3051","2"
"21709","21709","3051","3"
"21710","21710","3051","4"
"21711","21711","3051","5"
"21712","21712","3051","6"
"21713","21713","3051","7"
"21714","21714","3051","8"
"21715","21715","3052","1"
"21716","21716","3052","2"
"21717","21717","3052","3"
"21718","21718","3052","4"
"21719","21719","3052","5"
"21720","21720","3052","6"
"21721","21721","3052","7"
"21722","21722","3052","8"
"21749","21749","3058","1"
"21750","21750","3058","2"
"21751","21751","3058","3"
"21752","21752","3058","4"
"21753","21753","3058","5"
"21754","21754","3058","6"
"21755","21755","3058","7"
"21756","21756","3058","8"
"21757","21757","3059","1"
"21758","21758","3059","2"
"21759","21759","3059","3"
"21760","21760","3059","4"
"21761","21761","3059","5"
"21762","21762","3059","6"
"21763","21763","3059","7"
"21764","21764","3059","8"
"21765","21765","3060","1"
"21766","21766","3060","2"
"21767","21767","3060","3"
"21768","21768","3060","4"
"21769","21769","3060","5"
"21770","21770","3060","6"
"21771","21771","3060","7"
"21772","21772","3060","8"
"21773","21773","3061","1"
"21774","21774","3061","2"
"21775","21775","3061","3"
"21776","21776","3061","4"
"21777","21777","3061","5"
"21778","21778","3061","6"
"21779","21779","3061","7"
"21780","21780","3061","8"
"21781","21781","3062","1"
"21782","21782","3062","2"
"21783","21783","3062","3"
"21784","21784","3062","4"
"21785","21785","3062","5"
"21786","21786","3062","6"
"21787","21787","3062","7"
"21788","21788","3062","8"
"21953","21972","3093","1"
"21954","21973","3094","1"
"21955","21974","3094","2"
"21956","21975","3095","1"
"21957","21976","3095","2"
"21958","21977","3095","3"
"21959","21978","3095","4"
"21960","21979","3096","1"
"21961","21980","3096","2"
"21962","21981","3096","3"
"21963","21982","3096","4"
"21964","21983","3094","3"
"21965","21984","3097","1"
"21966","21985","3097","2"
"21967","21986","3097","3"
"21968","21987","3097","4"
"21969","21988","3097","5"
"21970","21989","3097","6"
"22027","22046","3094","4"
"22062","22081","3113","1"
"22063","22082","3113","2"
"22066","22085","3114","1"
"22067","22086","3114","2"
"22078","22097","3116","1"
"22079","22098","3116","2"
"22080","22099","3117","1"
"22081","22100","3117","2"
"22082","22101","3118","1"
"22083","22102","3118","2"
"22084","22103","3118","3"
"22087","22106","3120","1"
"22088","22107","3120","2"
"22089","22108","3120","3"
"22217","22236","3131","1"
"22231","22250","3155","1"
"22232","22251","3155","2"
"22233","22252","3155","3"
"22234","22253","3155","4"
"22235","22254","3155","5"
"22236","22255","3155","6"
"22242","22261","3155","7"
"22244","22263","3159","1"
"22245","22264","3159","2"
"22246","22265","3159","3"
"22247","22266","3159","4"
"22248","22267","3159","5"
"22249","22268","3159","6"
"22253","22272","3165","1"
"22254","22273","3165","2"
"22255","22274","3165","3"
"22256","22275","3165","4"
"22257","22276","3165","5"
"22259","22278","3166","1"
"22260","22279","3166","2"
"22261","22280","3166","3"
"22262","22281","3166","4"
"22391","22410","3181","1"
"22392","22411","3181","2"
"22393","22412","3181","3"
"22394","22413","3181","4"
"22395","22414","3181","5"
"22396","22415","3181","6"
"22397","22416","3182","1"
"22398","22417","3182","2"
"22399","22418","3182","3"
"22400","22419","3182","4"
"22401","22420","3182","5"
"22402","22421","3182","6"
"22845","22864","3226","1"
"22846","22865","3226","2"
"22847","22866","3226","3"
"22848","22867","3226","4"
"22849","22868","3226","5"
"22851","22870","3227","1"
"22852","22871","3227","2"
"22853","22872","3227","3"
"22854","22873","3227","4"
"22855","22874","3227","5"
"22856","22875","3227","6"
"22857","22876","3227","7"
"22858","22877","3227","8"
"22859","22878","3227","9"
"22881","22900","3231","1"
"22882","22901","3231","2"
"22883","22902","3231","3"
"22884","22903","3231","4"
"22885","22904","3232","1"
"22886","22905","3232","2"
"22887","22906","3232","3"
"22888","22907","3232","4"
"22889","22908","3233","1"
"22890","22909","3233","2"
"22891","22910","3233","3"
"22892","22911","3233","4"
"22893","22912","3234","1"
"22894","22913","3234","2"
"22895","22914","3234","3"
"22896","22915","3234","4"
"22988","23007","3245","1"
"22989","23008","3245","2"
"22990","23009","3245","3"
"22991","23010","3246","1"
"22992","23011","3246","2"
"22993","23012","3246","3"
"23922","23941","3368","1"
"23923","23942","3369","1"
"23924","23943","3370","1"
"23925","23944","3371","1"
"23926","23945","3372","1"
"23927","23946","3373","1"
"23928","23947","3374","1"
"23929","23948","3375","1"
"23930","23949","3376","1"
"23931","23950","3377","1"
"23932","23951","3378","1"
"23933","23952","3379","1"
"23934","23953","3380","1"
"23935","23954","3381","1"
"23936","23955","3382","1"
"23937","23956","3383","1"
"23938","23957","3384","1"
"23939","23958","3385","1"
"23940","23959","3386","1"
"23941","23960","3387","1"
"23942","23961","3389","1"
"23947","23966","3391","1"
"23948","23967","3392","1"
"23949","23968","3393","1"
"23950","23969","3394","1"
"23951","23970","3395","1"
"23952","23971","3396","1"
"23953","23972","3397","1"
"23954","23973","3398","1"
"23955","23974","3399","1"
"23956","23975","3400","1"
"23957","23976","3401","1"
"23958","23977","3402","1"
"23959","23978","3403","1"
"23960","23979","3404","1"
"23961","23980","3405","1"
"23962","23981","3406","1"
"23963","23982","3407","1"
"23964","23983","3408","1"
"23965","23984","3409","1"
"23966","23985","3410","1"
"23967","23986","3411","1"
"23968","23987","3412","1"
"23969","23988","3413","1"
"23970","23989","3414","1"
"23971","23990","3415","1"
"23972","23991","3416","1"
"23973","23992","3417","1"
"23974","23993","3418","1"
"23975","23994","3419","1"
"23976","23995","3420","1"
"23978","23997","3422","1"
"23979","23998","3423","1"
"23980","23999","3424","1"
"23984","24003","3426","1"
"23985","24004","3426","2"
"23987","24006","3427","1"
"23988","24007","3427","2"
"23989","24008","3428","1"
"23990","24009","3429","1"
"23991","24010","3427","3"
"23992","24011","3430","1"
"23993","24012","3431","1"
"23994","24013","3432","1"
"23995","24014","3432","2"
"23996","24015","3432","3"
"23997","24016","3432","4"
"23998","24017","3432","5"
"23999","24018","3433","1"
"24000","24019","3433","2"
"24001","24020","3433","3"
"24002","24021","3433","4"
"24003","24022","3433","5"
"24004","24023","3434","1"
"24005","24024","3434","2"
"24006","24025","3434","3"
"24007","24026","3434","4"
"24008","24027","3435","1"
"24009","24028","3435","2"
"24010","24029","3435","3"
"24011","24030","3436","1"
"24012","24031","3436","2"
"24013","24032","3437","1"
"24014","24033","3437","2"
"24015","24034","3437","3"
"24016","24035","3438","1"
"24017","24036","3438","2"
"24018","24037","3439","1"
"24019","24038","3439","2"
"24020","24039","3439","3"
"24021","24040","3439","4"
"24022","24041","3440","1"
"24023","24042","3440","2"
"24024","24043","3441","1"
"24025","24044","3441","2"
"24026","24045","3442","1"
"24027","24046","3442","2"
"24028","24047","3443","1"
"24029","24048","3443","2"
"24030","24049","3443","3"
"24031","24050","3443","4"
"24032","24051","3443","5"
"24033","24052","3443","6"
"24034","24053","3444","1"
"24035","24054","3444","2"
"24036","24055","3444","3"
"24037","24056","3445","1"
"24038","24057","3445","2"
"24039","24058","3445","3"
"24040","24059","3446","1"
"24041","24060","3446","2"
"24042","24061","3446","3"
"24043","24062","3447","1"
"24044","24063","3447","2"
"24045","24064","3447","3"
"24046","24065","3447","4"
"24047","24066","3447","5"
"24048","24067","3447","6"
"24049","24068","3448","1"
"24050","24069","3448","2"
"24051","24070","3448","3"
"24052","24071","3448","4"
"24053","24072","3448","5"
"24054","24073","3449","1"
"24055","24074","3449","2"
"24056","24075","3449","3"
"24057","24076","3449","4"
"24058","24077","3449","5"
"24059","24078","3449","6"
"24063","24082","3443","7"
"24064","24083","3451","1"
"24065","24084","3451","2"
"24066","24085","3451","3"
"24067","24086","3452","1"
"24068","24087","3452","2"
"24069","24088","3452","3"
"24070","24089","3453","1"
"24071","24090","3454","1"
"24072","24091","3455","1"
"24073","24092","3456","1"
"24074","24093","3457","1"
"24075","24094","3458","1"
"24077","24096","3459","1"
"24078","24097","3460","1"
"24079","24098","3460","2"
"24080","24099","3460","3"
"24081","24100","3460","4"
"24082","24101","3460","5"
"24083","24102","3460","6"
"24086","24105","3462","1"
"24440","24459","3515","1"
"24441","24460","3515","2"
"24442","24461","3515","3"
"24443","24462","3515","4"
