Id,Unknown0,Unknown1,Unknown2
"1117","10000","3855","5"
"1122","10000","3936","5"
"1123","10000","3929","5"
"1124","10000","3935","5"
"1125","10000","3931","5"
"1126","10000","3930","5"
"1147","5000","4915","5"
"1148","5000","4914","5"
"1152","10000","4998","5"
"1154","1000","5003","5"
"1159","10000","5364","5"
"1163","500","5372","5"
"1165","5000","5400","5"
"1167","10000","5417","5"
"1168","1000","5423","5"
"1173","500","5487","5"
"1175","500","5520","5"
"1194","10000","5562","5"
"1196","30000","5597","5"
"1197","3000","5605","5"
"1198","3000","5607","5"
"1199","3000","5606","5"
"1200","3000","5608","5"
"1201","3000","5609","5"
"1202","3000","5610","5"
"1203","3000","5611","5"
"1206","3000","5614","5"
"1207","3000","5615","5"
"1208","3000","5616","5"
"1209","3000","5617","5"
"1210","3000","5618","5"
"1212","300000","5468","5"
"1213","1000","5367","5"
"1214","1000","5365","5"
"1259","20000","6085","5"
"1265","3000","6208","5"
"1271","1000","6322","5"
"1272","1000","6323","5"
"1273","1000","6324","5"
"1274","1000","6325","5"
"1278","5000","6393","5"
"1284","1000","6674","5"
"1285","1000","6675","5"
"1286","1000","6676","5"
"1287","1000","6677","5"
"1288","1000","6678","5"
"1289","1000","6679","5"
"1290","1000","6680","5"
"1324","100000","7540","5"
"1341","2000","8053","5"
"1343","10000","8069","5"
"1345","10000","8081","5"
"1347","10000","8083","5"
"1348","10000","8084","5"
"1349","7000","8085","5"
"1350","15000","8086","5"
"1351","12000","8087","5"
"1359","15000","8133","5"
"1360","1000","8147","5"
"1361","1000","8148","5"
"1362","1000","8149","5"
"1363","1000","8150","5"
"1364","1000","8151","5"
"1365","1000","8152","5"
"1375","20000","8384","5"
"1376","15000","8387","5"
"1377","1000","8402","5"
"1379","5000","8407","5"
"1381","3000","8464","5"
"1387","5000","8673","5"
"1388","5000","8677","5"
"1390","10000","8678","5"
"1400","8000","9178","5"
"1401","3000","9180","5"
"1403","200","9225","5"
"1405","40000","9446","5"
"1406","40000","9447","5"
"1410","20000","9662","5"
"1502","100000","10591","5"
"1516","3000","10759","5"
"1517","3000","10760","5"
"1518","3000","10761","5"
"1519","3000","10762","5"
"1532","25000","11061","5"
"1536","30000","11269","5"
"1537","30000","11271","5"
"1538","40000","11276","5"
"1550","3000","11454","5"
"1552","15000","11459","5"
"1555","1000","11462","5"
"1558","3000","11465","5"
"1559","14000","11466","5"
"1560","20000","8891","5"
"1561","25000","8892","5"
"1562","5000","8908","5"
"1563","5000","8904","5"
"1564","5000","9623","5"
"1565","5000","9624","5"
"1566","5000","9625","5"
"1567","5000","8906","5"
"1568","5000","9173","5"
"1569","5000","9174","5"
"1570","5000","9175","5"
"1571","5000","9176","5"
"1572","5000","9177","5"
"1573","5000","9179","5"
"1574","5000","8905","5"
"1575","5000","8909","5"
"1576","5000","9169","5"
"1577","5000","9170","5"
"1578","5000","9171","5"
"1579","5000","8910","5"
"1580","5000","9166","5"
"1581","5000","8911","5"
"1582","5000","9167","5"
"1583","5000","9165","5"
"1584","5000","9168","5"
"1585","5000","11694","5"
"1589","15000","11781","5"
