Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
"32","4737","0","563","658","0","0","0","0","0","0","0","0","0"
"33","5596","297","0","581","0","0","0","0","0","0","902","0","0"
"34","278","365","0","0","0","0","0","0","0","0","946","0","0"
"35","278","393","0","0","0","0","0","0","0","0","946","0","0"
"55","5785","0","755","1046","675","0","0","0","0","0","1132","0","0"
"57","6209","0","745","0","0","0","0","0","0","0","1132","0","0"
"58","5785","0","756","1049","675","0","0","0","0","0","1132","0","0"
"65","6000","1876","0","575","0","0","0","0","0","0","1278","0","0"
"66","6000","669","0","576","0","0","0","0","0","0","1133","0","0"
"69","141","2085","0","0","0","0","0","0","0","1080","1335","0","0"
"70","141","2050","0","0","0","0","0","0","0","0","1335","0","0"
"71","1657","2063","0","0","0","0","0","0","0","1080","1335","0","0"
"72","6369","2016","0","0","0","0","0","0","0","1076","1330","0","0"
"73","6369","2090","0","0","0","0","0","0","0","0","1330","0","0"
"74","6468","0","766","1067","0","0","0","0","0","0","1324","0","0"
"75","362","2297","0","0","0","0","0","0","0","1105","1377","0","0"
"76","6747","2297","0","0","0","0","0","0","0","1105","1377","0","0"
"82","6785","2572","0","1173","0","0","0","0","0","0","0","0","0"
"83","6931","2572","0","1173","0","0","0","0","0","0","0","0","0"
"85","6943","2572","0","1173","0","0","0","0","0","0","0","0","0"
"86","6944","2572","0","1173","0","0","0","0","0","0","0","0","0"
"88","6722","3767","0","0","0","0","0","0","0","0","1509","0","0"
"89","7317","3888","0","0","0","0","0","0","0","0","1510","0","0"
"90","6945","3974","0","0","0","0","0","0","0","0","1543","0","0"
"91","6792","2593","0","0","0","0","0","0","0","0","1543","0","0"
"93","6793","3456","0","0","0","0","0","0","0","0","1457","0","0"
"96","513","1403","0","0","0","0","0","0","0","0","1563","0","0"
"97","6930","2572","0","1169","0","0","0","0","0","0","1565","0","0"
"98","4411","6666","0","1509","0","0","0","85","0","0","1656","0","0"
"99","4411","5286","0","1512","0","0","0","0","0","0","0","0","0"
"100","7656","6967","0","0","0","0","0","0","0","0","1669","0","0"
"101","7534","6967","0","0","0","0","0","0","0","0","1669","0","0"
"102","8234","5513","0","0","0","0","0","0","0","0","1710","0","0"
"103","8234","5552","0","0","0","0","0","0","0","0","1711","0","0"
"104","1519","5513","0","0","0","0","0","0","0","0","1710","0","0"
"105","4411","5513","0","0","0","0","0","0","0","0","1710","0","0"
"106","5151","5513","0","0","0","0","0","0","0","0","1710","0","0"
"107","6292","5513","0","0","0","0","0","0","0","0","1710","0","0"
"108","6292","5552","0","0","0","0","0","0","0","0","1711","0","0"
"109","1519","5552","0","0","0","0","0","0","0","0","1711","0","0"
"110","8456","5552","0","0","0","0","0","0","0","0","1711","0","0"
"111","8434","7725","0","1521","675","0","0","0","0","0","0","0","0"
"112","8384","7725","0","1521","675","0","0","0","0","0","0","0","0"
"113","8382","7725","0","1521","675","0","0","0","0","0","0","0","0"
"114","245","7892","0","0","0","0","0","0","0","0","1379","0","0"
