Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"1","100","100","0","0","1","0","0","7"
"2","100","100","0","0","2","0","0","256"
"3","100","100","0","0","3","0","0","256"
"4","100","100","0","0","4","0","0","256"
"5","100","100","0","0","5","0","0","256"
"6","100","100","0","0","6","0","0","256"
"7","100","100","0","0","7","0","0","256"
"8","100","100","0","0","8","0","0","256"
"9","100","100","0","0","9","0","0","256"
"10","100","100","0","0","10","0","0","256"
"11","100","100","0","0","11","0","0","256"
"12","100","100","0","0","12","0","0","256"
"13","100","100","0","0","13","0","0","256"
"14","100","100","0","0","14","0","0","256"
"15","100","100","0","0","15","0","0","256"
"16","100","100","0","0","16","0","0","256"
"17","100","100","0","0","17","0","0","256"
"18","100","100","0","0","18","0","0","256"
"19","100","100","0","0","19","0","0","256"
"20","100","100","0","0","20","0","0","256"
"21","100","100","0","0","21","0","0","256"
"22","100","100","0","0","22","0","0","256"
"23","100","100","0","0","23","0","0","256"
"24","100","100","0","0","24","0","0","256"
"25","100","100","0","0","25","0","0","256"
"26","100","100","0","0","26","0","0","256"
"27","100","100","0","0","27","0","0","256"
"28","100","100","0","0","28","0","0","256"
"29","100","100","0","0","29","0","0","256"
"30","100","100","0","0","30","0","0","256"
"31","100","100","0","0","31","0","0","256"
"32","100","100","0","0","32","0","0","256"
"33","100","100","0","0","33","0","0","256"
"34","100","100","0","0","34","0","0","256"
"35","100","100","0","0","35","0","0","256"
"36","100","100","0","0","36","0","0","256"
"37","100","100","0","0","37","0","0","256"
"38","100","100","0","0","38","0","0","256"
"39","100","100","0","0","39","0","0","256"
"40","100","100","0","0","40","0","0","256"
"41","100","100","0","0","41","0","0","256"
"42","100","100","0","0","42","0","0","256"
"43","100","100","0","0","43","0","0","256"
"44","100","100","0","0","44","0","0","256"
"45","100","100","0","0","45","0","0","256"
"46","100","100","0","0","46","0","0","256"
"47","100","100","0","0","47","0","0","256"
"48","100","100","0","0","48","0","0","256"
"49","100","100","0","0","49","0","0","256"
"50","100","100","0","0","50","0","0","256"
"51","100","100","0","0","51","0","0","256"
"52","100","100","0","0","52","0","0","256"
"53","100","100","0","0","53","0","0","256"
"54","100","100","0","0","54","0","0","256"
"55","100","100","0","0","55","0","0","256"
"56","100","100","0","0","56","0","0","256"
"57","100","100","0","0","57","69","0","15"
"58","100","100","0","0","58","68","59","527"
"59","100","100","0","0","60","0","0","0"
"60","100","100","0","0","61","0","0","0"
"61","100","100","0","0","62","0","0","0"
"65","100","100","0","0","66","293","67","14"
"66","100","100","0","0","70","75","71","762"
"67","100","100","0","0","76","77","78","256"
"68","100","100","0","0","79","0","0","256"
"69","100","100","0","0","80","81","82","96"
"71","0.25","50","72","0","83","0","0","6"
"72","1","100","0","0","84","0","0","199"
"73","100","100","0","0","85","87","86","14"
"75","100","100","0","0","89","719","90","264"
"77","100","100","0","0","92","0","93","1032"
"78","100","100","0","0","94","718","95","8"
"131","100","0","0","0","212","0","0","0"
"161","100","0","0","0","460","254","0","64"
"168","100","0","0","0","458","0","0","15"
"181","100","0","0","0","286","328","0","256"
"187","100","0","0","0","295","0","0","0"
"188","100","0","0","0","296","298","0","224"
"189","100","0","0","0","297","0","0","1280"
"192","100","0","193","0","303","0","0","0"
"193","100","0","0","0","306","305","304","0"
"194","100","0","0","0","307","384","0","259"
"195","1","0","196","0","308","310","309","352"
"196","2","0","0","0","313","312","311","0"
"197","100","0","0","0","315","314","0","0"
"198","0.75","0","199","0","316","0","0","66"
"199","1.5","0","0","0","317","0","0","66"
"201","0.7","0","202","0","319","0","0","0"
"202","2","0","0","0","321","0","0","224"
"203","100","0","0","0","322","0","0","256"
"205","100","0","0","0","327","326","0","66"
"206","100","0","0","0","461","0","0","263"
"207","100","0","0","0","332","331","0","3"
"208","100","0","0","0","333","0","0","259"
"209","100","0","0","0","335","334","0","256"
"210","100","0","0","0","336","0","0","263"
"211","100","0","0","0","337","0","0","263"
"212","100","0","0","0","340","339","338","256"
"213","100","0","0","0","343","342","341","256"
"216","100","0","0","0","457","348","0","12"
"217","100","0","0","0","350","349","0","12"
"218","100","0","0","0","464","351","0","263"
"219","100","0","0","0","352","353","0","256"
"220","1.5","0","0","0","354","0","0","0"
"222","100","0","0","0","465","356","0","259"
"223","100","0","0","0","357","0","0","259"
"224","100","0","0","0","358","0","0","259"
"225","100","0","0","0","462","359","0","263"
"226","1.5","0","0","0","360","0","0","0"
"227","100","0","0","0","459","363","0","256"
"228","100","0","0","0","366","365","364","14"
"229","100","0","0","0","463","368","0","256"
"230","100","0","0","0","370","369","0","256"
"231","100","0","0","0","373","372","371","487"
"232","100","0","0","0","376","375","374","14"
"233","100","0","0","0","379","378","377","14"
"234","100","0","0","0","380","0","0","320"
"235","100","0","0","0","382","381","0","259"
"236","100","0","0","0","383","0","0","259"
"237","100","0","0","0","385","389","0","258"
"238","100","0","0","0","386","390","0","322"
"239","100","0","0","0","387","391","0","322"
"240","100","0","0","0","388","392","0","322"
"241","100","0","0","0","467","394","395","259"
"242","100","0","0","0","468","398","396","256"
"243","100","0","0","0","400","399","0","256"
"244","100","0","0","0","402","401","0","256"
"245","100","0","0","0","469","403","0","352"
"246","100","0","0","1","404","0","0","0"
"247","0.5","0","248","0","405","0","0","0"
"248","0.8","0","0","0","406","0","0","0"
"250","0.5","0","251","0","408","0","0","0"
"251","0.8","0","0","0","409","0","0","0"
"255","100","0","0","0","415","414","413","256"
"256","100","0","0","0","418","417","416","256"
"258","0.8","0","259","0","421","0","0","0"
"259","1","0","0","0","422","0","0","0"
"260","0.8","0","261","0","423","0","0","0"
"261","1","0","0","0","424","0","0","0"
"262","100","0","0","0","425","801","800","0"
"263","100","0","0","0","426","646","0","0"
"264","100","0","0","0","428","427","0","256"
"265","100","0","0","0","431","430","429","0"
"266","100","0","0","0","433","432","0","0"
"267","100","0","0","0","434","0","0","256"
"268","0.075","0","269","0","435","0","0","0"
"269","0.15","0","0","0","436","0","0","0"
"270","0.075","0","271","0","437","0","0","0"
"271","0.15","0","0","0","438","0","0","0"
"272","100","0","0","0","439","0","0","259"
"273","100","0","0","0","441","440","0","111"
"274","100","0","0","0","442","918","0","1024"
"276","100","0","0","0","448","447","0","0"
"277","100","0","0","0","470","451","449","256"
"301","100","0","0","0","538","537","0","0"
"327","100","0","0","0","598","0","0","256"
"341","100","0","0","0","635","634","633","0"
"346","100","100","0","0","648","647","0","322"
"347","100","0","0","0","651","650","0","0"
"348","100","100","0","0","652","653","0","256"
"349","100","0","0","0","655","654","0","259"
"350","100","0","0","0","657","656","0","256"
"351","100","0","0","0","659","658","0","0"
"352","100","0","0","0","660","0","0","320"
"353","100","100","0","0","661","0","0","256"
"357","100","0","0","0","669","668","667","256"
"358","100","0","0","0","670","0","0","320"
"360","100","0","0","0","674","0","0","320"
"361","100","0","0","0","676","675","0","0"
"362","100","0","0","0","678","677","0","64"
"363","100","100","0","0","680","0","0","15"
"364","100","100","0","0","681","0","0","7"
"365","1","0","0","0","683","682","0","71"
"367","100","0","0","0","688","687","689","0"
"368","100","0","0","0","691","690","692","0"
"369","100","0","0","0","694","693","0","263"
"370","100","100","0","0","697","696","0","1024"
"371","100","100","0","0","700","757","0","256"
"372","100","0","0","0","703","702","0","12"
"373","100","0","0","0","705","704","0","12"
"374","100","0","0","0","708","707","706","268"
"376","100","0","0","0","713","712","714","224"
"377","100","0","0","0","717","716","715","0"
"381","100","0","0","0","725","724","0","12"
"382","100","0","0","0","727","726","0","64"
"383","100","100","0","0","729","728","0","256"
"384","100","0","0","0","731","730","0","15"
"385","100","100","0","0","732","0","0","256"
"386","100","100","0","0","733","0","0","279"
"387","100","0","0","0","735","734","0","263"
"388","100","0","0","0","738","737","736","3"
"389","100","0","0","0","740","739","0","256"
"391","100","0","0","0","748","747","746","0"
"392","100","0","0","0","751","750","749","487"
"393","100","0","0","0","753","752","0","256"
"395","100","100","0","0","759","758","0","256"
"396","100","100","0","0","761","760","0","256"
"397","100","100","0","0","763","762","0","263"
"398","100","100","0","0","765","764","0","263"
"399","100","100","0","0","767","766","0","1024"
"400","100","0","0","0","769","768","0","256"
"401","100","0","0","0","771","770","0","263"
"402","100","100","0","0","774","773","772","256"
