Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","30","3","50","59"
"3","30","4","60","69"
"5","489","0","10","19"
"7","489","1","20","29"
"9","489","2","30","39"
"11","489","3","40","49"
"13","529","0","10","19"
"15","529","1","20","29"
"17","529","2","30","39"
"19","529","3","40","49"
"20","559","0","10","19"
"22","559","1","20","29"
"24","559","2","30","39"
"26","559","3","40","49"
"28","559","4","50","59"
"30","559","5","60","69"
"32","559","6","70","79"
"34","559","7","80","89"
"36","562","0","10","19"
"38","562","1","20","29"
"40","562","2","30","39"
"42","562","3","40","49"
"44","562","4","50","59"
"46","562","5","60","69"
"48","562","6","70","79"
"50","562","7","80","89"
"52","566","0","15","19"
"53","566","3","40","49"
"55","572","0","10","19"
"57","572","1","20","29"
"59","572","2","30","39"
"61","572","3","40","49"
"63","572","4","50","59"
"65","572","5","60","69"
"67","572","6","70","79"
"69","572","7","80","89"
"71","607","0","50","59"
"72","607","2","70","79"
"74","617","0","10","19"
"76","617","1","20","29"
"78","617","2","30","39"
"80","617","3","40","49"
"82","617","4","50","59"
"84","617","5","60","69"
"86","617","6","70","79"
"88","617","7","80","89"
"90","618","0","10","19"
"91","618","1","20","29"
"92","618","2","30","39"
"94","618","3","40","49"
"98","618","4","50","59"
"100","618","5","60","69"
"102","618","6","70","79"
"104","618","7","80","89"
"106","628","0","55","59"
"107","628","3","80","89"
"128","726","0","30","39"
"144","761","0","25","29"
"148","489","4","50","59"
"150","489","5","60","69"
"152","489","6","70","79"
"154","489","7","80","89"
"156","566","4","50","59"
"158","566","5","60","69"
"160","566","6","70","79"
"162","566","7","80","89"
"165","529","4","50","59"
"167","529","5","60","69"
"169","529","6","70","79"
"171","529","7","80","89"
"173","30","0","20","29"
"177","607","3","80","89"
"179","30","5","70","79"
"181","30","6","80","89"
"631","998","0","40","49"
"637","1010","0","150","150"
"650","727","0","35","39"
"669","968","0","110","110"
"672","628","5","100","100"
"713","1105","0","45","49"
"774","618","8","90","99"
"775","618","9","100","100"
"792","30","8","100","100"
"793","529","10","101","109"
"794","562","9","100","100"
"795","617","9","100","100"
"796","1105","6","100","100"
"797","566","9","100","100"
"798","559","9","100","100"
"799","572","9","100","100"
"800","727","7","100","100"
"801","607","5","100","100"
"802","998","6","100","100"
"803","761","8","100","100"
"804","1134","1","100","100"
"805","980","1","100","100"
"806","726","7","100","100"
"807","489","9","100","100"
"808","1280","0","10","19"
"809","1280","1","20","29"
"810","1280","2","30","39"
"811","1280","3","40","49"
"812","1280","4","50","59"
"813","1280","5","60","69"
"814","1280","6","70","79"
"815","1280","7","80","89"
"817","1280","9","100","100"
"837","566","1","20","29"
"838","566","2","30","39"
"839","30","1","30","39"
"840","30","2","40","49"
"841","761","1","30","39"
"842","761","2","40","49"
"843","761","3","50","59"
"844","761","4","60","69"
"845","761","5","70","79"
"846","761","6","80","89"
"847","726","1","40","49"
"848","726","2","50","59"
"849","726","3","60","69"
"850","726","4","70","79"
"851","726","5","80","89"
"852","727","1","40","49"
"853","727","2","50","59"
"854","727","3","60","69"
"855","727","4","70","79"
"856","727","5","80","89"
"858","998","1","50","59"
"859","998","2","60","69"
"860","998","3","70","79"
"861","998","4","80","89"
"863","1105","1","50","59"
"864","1105","2","60","69"
"865","1105","3","70","79"
"866","1105","4","80","89"
"868","607","1","60","69"
"869","628","1","60","69"
"870","628","2","70","79"
"871","30","7","90","99"
"872","529","8","90","99"
"873","562","8","90","99"
"874","617","8","90","99"
"875","1105","5","90","99"
"876","566","8","90","99"
"877","628","4","90","99"
"878","559","8","90","99"
"879","572","8","90","99"
"880","727","6","90","99"
"881","607","4","90","99"
"882","998","5","90","99"
"883","761","7","90","99"
"884","1134","0","90","99"
"885","980","0","90","99"
"886","726","6","90","99"
"887","489","8","90","99"
"888","1280","8","90","99"
"891","1171","0","110","110"
"897","1505","9","100","100"
"898","30","10","110","110"
"900","1504","1","110","110"
"901","562","11","110","110"
"902","617","11","110","110"
"903","1105","8","110","110"
"904","566","11","110","110"
"905","628","7","110","110"
"906","559","11","110","110"
"907","1505","11","110","110"
"908","572","11","110","110"
"909","727","9","110","110"
"910","1280","11","110","110"
"911","607","7","110","110"
"912","998","8","110","110"
"913","761","10","110","110"
"914","1134","3","110","110"
"915","980","3","110","110"
"916","726","9","110","110"
"917","489","11","110","110"
"926","1552","1","110","110"
"945","618","11","110","110"
"996","529","9","100","100"
"997","529","11","110","110"
"998","1280","10","101","109"
"999","628","6","101","109"
"1000","618","10","101","109"
"1001","30","9","101","109"
"1002","562","10","101","109"
"1003","617","10","101","109"
"1004","1105","7","101","109"
"1005","566","10","101","109"
"1006","559","10","101","109"
"1007","572","10","101","109"
"1008","727","8","101","109"
"1009","607","6","101","109"
"1010","998","7","101","109"
"1011","761","9","101","109"
"1012","1134","2","101","109"
"1013","980","2","101","109"
"1014","726","8","101","109"
"1015","489","10","101","109"
"1016","1504","0","101","109"
"1017","1505","10","101","109"
"1018","1552","0","101","109"
"1037","1672","0","80","89"
"1038","1672","1","90","99"
"1039","1672","2","100","100"
"1040","1672","3","101","109"
"1041","1672","4","110","110"
"1064","1505","8","90","99"
"1065","1505","0","10","19"
"1066","1505","1","20","29"
"1067","1505","2","30","39"
"1068","1505","3","40","49"
"1069","1505","4","50","59"
"1070","1505","5","60","69"
"1071","1505","6","70","79"
"1072","1505","7","80","89"
