Id,Unknown0,Unknown1,Unknown2
"1","3","0","1"
"2","7","0","1"
"3","11","0","1"
"4","14","0","2"
"5","20","0","2"
"6","26","0","2"
"7","29","0","1"
"8","32","0","2"
"9","35","0","1"
"10","38","0","2"
"11","41","0","1"
"12","44","0","2"
"13","47","0","1"
"14","5","0","1"
"15","9","0","1"
"16","12","0","2"
"17","15","0","1"
"18","18","0","2"
"19","21","0","1"
"20","24","0","2"
"21","23","0","1"
"22","17","0","1"
"23","27","0","1"
"24","30","0","2"
"25","33","0","1"
"26","36","0","2"
"27","39","0","1"
"28","42","0","2"
"29","45","0","1"
"30","48","0","2"
"31","50","1","3"
"32","50","2","19"
"113","49","0","22"
"116","50","0","40"
"117","50","3","4"
"162","50","4","18"
"163","50","5","247"
"164","50","6","49"
"165","50","7","46"
"166","50","8","41"
"167","50","9","20"
"172","1","0","22"
"173","2","0","2"
"174","4","0","2"
"175","6","0","2"
"176","8","0","2"
"177","10","0","2"
"178","13","0","1"
"179","16","0","2"
"180","19","0","1"
"181","22","0","2"
"182","25","0","1"
"183","28","0","2"
"184","31","0","1"
"185","34","0","2"
"186","37","0","1"
"187","40","0","2"
"188","43","0","1"
"189","46","0","2"
