Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"3","208683","195710","","0","0","0","0","0","255"
"4","214027","195710","","0","1","0","0","0","255"
"5","196029","195710","","0","2","0","0","0","255"
"9","199890","0","","2","0","0","9","0","255"
"10","199892","0","","2","1","0","9","0","255"
"11","199954","0","","2","2","0","9","0","255"
"12","213400","0","","4","0","0","9","265","255"
"13","213398","0","","4","1","0","9","265","255"
"15","200290","0","","5","0","0","9","265","255"
"16","212371","0","","5","1","0","9","265","255"
"17","86121","0","","5","2","0","9","265","255"
"18","212295","0","","3","2","0","9","0","255"
"19","221711","0","","3","0","0","9","0","255"
"20","221703","0","","3","1","0","9","0","255"
"23","198490","0","","2","0","0","1","0","255"
"24","198492","0","","2","1","0","1","0","255"
"25","198500","0","","2","2","0","1","0","255"
"26","198614","0","","3","0","0","1","0","255"
"27","198571","0","","3","1","0","1","73","0"
"28","198621","0","","3","2","0","1","0","255"
"29","198807","0","","4","1","0","1","71","255"
"30","198765","0","","4","2","0","1","71","255"
"31","198802","0","","5","0","0","1","71","255"
"32","198821","0","","5","1","0","1","71","255"
"33","198817","0","","5","2","0","1","71","255"
"34","198758","100","","4","0","0","1","71","255"
"35","195416","0","","1","0","0","0","0","2"
"37","195425","0","","1","2","0","0","0","2"
"38","199725","0","","4","2","0","6","252","255"
"39","199724","0","","4","1","0","6","252","255"
"40","199722","0","","4","0","0","6","252","255"
"41","77606","0","","2","1","0","6","0","255"
"42","51052","0","","2","2","0","6","0","255"
"43","199642","0","","3","2","0","6","0","255"
"44","199719","0","","3","1","0","6","0","255"
"45","199720","0","","3","0","0","6","0","255"
"49","201216","0","","2","1","0","11","104","255"
"50","201259","0","","2","2","0","11","104","255"
"51","201522","0","","3","0","0","11","104","255"
"52","201664","0","","3","2","0","11","104","255"
"53","198062","0","","2","0","0","8","0","255"
"56","198111","0","","3","0","0","8","0","255"
"57","198096","0","","3","1","0","8","0","255"
"58","198100","0","","3","2","0","8","0","255"
"59","233673","0","","2","0","0","11","105","1"
"61","198155","0","","4","0","0","8","62","255"
"62","198151","0","","4","1","0","8","62","255"
"65","210805","0","","4","2","0","8","62","255"
"66","198126","0","","4","0","0","8","64","255"
"67","198120","0","","4","1","0","8","64","255"
"68","198123","0","","4","2","0","8","64","255"
"69","159534","0","","2","0","0","10","0","255"
"70","216255","0","","2","1","0","10","0","255"
"71","201201","0","","2","2","0","10","0","255"
"72","216074","0","","3","0","0","10","270","1"
"73","201318","0","","3","1","0","10","269","255"
"74","201325","0","","3","2","0","10","269","255"
"77","201372","0","","4","2","0","10","269","255"
"80","199424","0","","3","1","0","2","0","255"
"81","199428","0","","3","2","0","2","0","255"
"82","199441","0","","4","0","0","2","65","255"
"85","199452","0","","4","1","0","2","65","255"
"86","210378","0","","4","2","0","2","65","255"
"87","199456","0","","5","0","0","2","65","255"
"88","199454","0","","5","1","0","2","65","255"
"89","216331","31842","","5","2","0","2","65","255"
"90","216868","0","","4","0","0","2","66","255"
"91","199542","0","","5","1","0","2","66","255"
"92","216853","0","","4","2","0","2","66","255"
"93","216860","0","","5","0","0","2","66","255"
"94","228049","86659","","5","2","0","2","66","255"
"97","216855","0","","4","1","0","2","66","255"
"98","196162","0","","2","0","0","5","0","255"
"99","213654","0","","2","1","0","5","0","255"
"100","196439","0","","2","2","0","5","256","255"
"101","213610","0","","2","2","0","5","257","255"
"102","199144","0","","2","0","0","5","258","255"
"103","199131","0","","2","1","0","5","258","255"
"104","199388","0","","2","2","0","5","258","255"
"106","199259","0","","3","0","0","5","258","255"
"108","221661","0","","3","1","0","5","0","255"
"109","196879","0","","3","2","0","5","0","255"
"110","199408","0","","3","2","0","5","258","255"
"111","197535","0","","4","0","0","5","256","255"
"112","215960","0","","4","2","0","5","257","255"
"113","199445","0","","4","0","0","5","258","255"
"114","197469","0","","4","1","0","5","256","255"
"115","196559","0","","4","1","0","5","257","255"
"117","197590","0","","4","2","0","5","256","255"
"118","196601","0","","4","0","0","5","257","255"
"119","199484","0","","4","2","0","5","258","255"
"120","211681","0","","5","0","0","5","256","255"
"121","196602","0","","5","0","0","5","257","255"
"123","197862","0","","5","1","0","5","256","255"
"124","215982","20711","","5","1","0","5","257","255"
"125","215776","0","","5","1","0","5","258","255"
"126","197871","0","","5","2","0","5","256","255"
"127","197268","0","","5","2","0","5","257","255"
"128","108968","0","","5","2","0","5","258","255"
"129","197000","0","","2","0","0","4","0","255"
"130","197007","0","","2","1","0","4","259","2"
"131","197020","0","","2","2","0","4","0","255"
"132","198020","0","","3","0","0","4","0","255"
"133","198032","0","","3","1","0","4","0","255"
"134","197044","0","","4","0","0","4","259","255"
"135","198265","0","","4","0","0","4","260","255"
"136","198952","0","","4","0","0","4","261","255"
"137","197050","0","","4","1","0","4","259","255"
"138","212217","0","","4","1","0","4","260","255"
"139","212210","0","","4","2","0","4","260","255"
"140","213981","0","","4","2","0","4","261","255"
"141","198092","0","","5","0","0","4","259","255"
"142","212035","0","","5","0","0","4","260","255"
"143","216883","0","","5","0","0","4","261","255"
"144","198128","0","","5","1","0","4","259","255"
"145","207777","0","","5","1","0","4","260","2"
"146","212081","0","","5","1","0","4","261","255"
"147","198145","0","","5","2","0","4","259","255"
"149","223829","0","","5","2","0","6","252","255"
"150","198529","0","","5","2","0","4","260","255"
"151","201934","0","","5","0","0","6","252","255"
"152","210128","0","","5","1","0","6","252","255"
"153","207736","0","","5","2","0","4","261","255"
"154","212623","0","","4","2","0","9","266","255"
"155","233577","0","","4","1","0","9","267","255"
"156","212619","0","","4","1","0","9","266","255"
"157","200586","0","","5","1","0","9","267","255"
"158","212618","0","","4","0","0","9","266","255"
"159","212282","0","","4","0","0","9","267","255"
"161","233581","0","","5","0","0","9","267","255"
"162","212459","0","","5","1","0","9","266","255"
"163","201995","0","","2","0","0","6","0","255"
"164","200546","80240","","5","2","0","9","267","255"
"165","201996","0","","5","2","0","9","266","255"
"166","199148","0","","4","0","0","1","72","255"
"167","199127","0","","2","1","0","1","73","255"
"168","213871","0","","2","2","0","1","73","255"
"169","199037","0","","4","0","0","1","73","255"
"170","213857","0","","4","1","0","1","72","255"
"171","199023","0","","4","1","0","1","73","255"
"172","199202","0","","4","2","0","1","72","255"
"173","198912","0","","4","2","0","1","73","255"
"174","199204","0","","5","0","0","1","72","255"
"175","199045","0","","5","0","0","1","73","255"
"177","198877","0","","5","1","0","1","72","255"
"178","199086","0","","5","1","0","1","73","255"
"179","199261","0","","5","2","0","1","72","255"
"180","233754","0","","2","2","0","11","102","2"
"181","200549","0","","4","0","0","11","0","255"
"182","200567","0","","3","0","0","11","102","2"
"183","200726","0","","3","1","0","11","102","255"
"184","233750","0","","3","2","0","11","102","255"
"185","209740","0","","4","2","0","11","102","255"
"191","213951","0","","4","0","0","11","104","255"
"192","202085","33917","","4","1","0","11","104","255"
"193","202110","0","","4","2","0","11","104","255"
"194","228431","0","","5","0","0","11","104","255"
"195","202226","0","","5","1","0","11","104","255"
"196","202246","0","","5","2","0","11","104","255"
"197","202043","0","","3","1","0","11","104","255"
"198","195338","0","","1","0","0","0","0","0"
"201","202626","0","","2","2","0","11","103","255"
"202","202790","0","","3","0","0","11","103","255"
"203","213200","0","","3","1","0","11","103","255"
"204","202727","0","","4","0","0","6","250","255"
"205","202731","0","","4","1","0","6","250","255"
"206","47476","0","","4","2","0","6","250","255"
"601","202808","0","","3","2","0","11","103","255"
"602","203052","0","","4","0","0","11","103","255"
"604","203116","0","","4","1","0","11","103","255"
"607","233411","0","","5","1","0","6","250","255"
"608","233412","0","","5","0","0","6","250","255"
"609","203173","0","","5","2","0","6","250","255"
"611","203197","0","","4","2","0","11","103","255"
"612","203224","0","","5","1","0","11","103","255"
"620","203242","0","","5","2","0","11","103","255"
"632","198148","0","","5","0","0","8","64","255"
"633","206431","0","","5","1","0","8","64","255"
"634","198144","12472","","5","2","0","8","64","255"
"635","210476","0","","5","0","0","8","62","255"
"636","213220","0","","5","1","0","8","62","255"
"637","198158","0","","5","2","0","8","62","255"
"640","199324","0","","2","0","0","2","0","255"
"641","199325","0","","2","1","0","2","0","255"
"642","199330","0","","2","2","0","2","65","1"
"643","203275","0","","4","0","0","8","63","255"
"644","203280","0","","4","1","0","8","63","255"
"645","203282","0","","4","2","0","8","63","255"
"646","203283","0","","5","0","0","8","63","255"
"647","203284","0","","5","1","0","8","63","255"
"648","203286","0","","5","2","0","8","63","255"
"649","202589","0","","2","0","0","3","0","255"
"650","202624","0","","2","1","0","3","0","255"
"651","202746","0","","2","2","0","3","0","255"
"652","202797","0","","3","0","0","3","0","255"
"653","202900","0","","3","1","0","3","0","255"
"654","202914","0","","3","2","0","3","0","255"
"656","213691","0","","4","1","0","3","254","255"
"657","209789","0","","4","2","0","3","254","255"
"658","203129","0","","5","0","0","3","254","255"
"659","203133","0","","5","1","0","3","254","255"
"660","203155","0","","5","2","0","3","254","255"
"661","203235","0","","4","0","0","3","255","255"
"662","212640","0","","4","1","0","3","255","255"
"663","53271","0","","4","2","0","3","255","255"
"664","203264","0","","5","0","0","3","255","255"
"665","212638","0","","5","2","0","3","255","255"
"666","202107","0","","3","1","0","10","268","255"
"667","202126","0","","3","2","0","10","268","255"
"668","202162","0","","4","0","0","10","268","255"
"669","202200","0","","4","1","0","10","268","255"
"670","213658","0","","4","2","0","10","268","255"
"671","202272","0","","5","0","0","10","268","255"
"672","202335","0","","5","1","0","10","268","255"
"673","202370","0","","5","2","0","10","268","255"
"675","202077","0","","5","2","0","10","269","255"
"676","216113","0","","3","1","0","10","270","255"
"677","209520","0","","3","2","0","10","270","255"
"678","202424","0","","4","0","0","10","270","255"
"679","202428","0","","4","1","0","10","270","255"
"680","202577","0","","4","2","0","10","270","255"
"681","216913","0","","5","0","0","10","270","255"
"682","202523","0","","5","1","0","10","270","255"
"683","205234","0","","5","2","0","10","270","255"
"686","203340","0","","5","1","0","3","255","255"
"687","195330","0","","1","0","0","0","0","1"
"688","195483","0","","1","1","0","0","0","1"
"689","210294","0","","1","2","0","2","65","1"
"690","203374","0","","4","1","0","11","105","255"
"691","203399","0","","4","2","0","11","105","255"
"692","203454","0","","4","0","0","11","105","255"
"693","212668","0","","4","0","0","3","253","255"
"697","203727","0","","2","1","0","11","105","255"
"700","206852","0","","3","2","0","11","105","255"
"701","204080","0","","4","0","0","6","251","255"
"702","233396","0","","4","2","0","6","251","255"
"703","204132","0","","5","0","0","6","251","255"
"704","204135","0","","4","1","0","6","251","255"
"705","233394","0","","5","1","0","6","251","255"
"706","204160","0","","5","2","0","6","251","255"
"707","204330","0","","2","0","0","7","0","255"
"708","204331","0","","2","1","0","7","0","255"
"709","204332","0","","2","2","0","7","0","255"
"711","204261","0","","3","1","0","7","0","255"
"712","204264","0","","3","2","0","7","0","255"
"713","204268","0","","4","0","0","7","264","1"
"714","206642","0","","4","1","0","7","264","1"
"715","204336","0","","4","2","0","7","264","1"
"716","204269","0","","5","0","0","7","264","1"
"717","204288","0","","5","1","0","7","264","1"
"718","204293","98008","","5","2","0","7","264","1"
"719","204349","0","","4","0","0","7","263","2"
"720","211062","0","","4","1","0","7","263","2"
"721","204357","0","","4","2","0","7","263","2"
"722","193876","0","","5","0","0","7","263","2"
"723","204365","0","","5","1","0","7","263","2"
"725","204366","0","","5","2","0","7","263","2"
"726","204389","0","","4","0","0","7","262","2"
"727","204385","0","","4","1","0","7","262","2"
"728","204393","77756","","4","2","0","7","262","2"
"729","204398","0","","5","0","0","7","262","2"
"730","204403","0","","5","1","0","7","262","2"
"731","204437","0","","5","2","0","7","262","2"
"739","228630","0","","3","1","0","5","258","2"
"740","209793","0","","4","0","0","3","254","2"
"741","199422","0","","3","0","0","2","0","255"
"751","210323","0","","4","0","0","2","70","2"
"752","210256","0","","4","1","0","2","70","2"
"753","204927","0","","4","2","0","2","70","2"
"754","204898","0","","5","0","0","2","70","2"
"755","204914","0","","5","1","0","2","70","2"
"756","204939","0","","5","2","0","2","70","2"
"757","204979","0","","2","0","0","2","70","2"
"758","212669","0","","4","1","0","3","253","2"
"760","206743","0","","4","0","0","10","269","2"
"763","211522","0","","5","0","0","5","258","2"
"764","199572","0","","4","1","0","5","258","2"
"765","205147","0","","3","0","0","10","268","0"
"802","211509","0","","2","0","0","12","0","255"
"805","205603","0","","3","0","0","12","577","2"
"806","205604","0","","3","1","0","12","0","255"
"807","206649","0","","3","2","0","12","0","255"
"808","205598","0","","4","0","0","12","577","2"
"809","205601","0","","4","1","0","12","577","2"
"810","207293","0","","4","2","0","12","577","2"
"811","205596","0","","5","0","0","12","0","255"
"812","206803","0","","5","1","0","12","577","2"
"813","203704","0","","5","2","0","12","577","2"
"814","205625","0","","4","1","0","12","581","0"
"815","205626","0","","4","0","0","12","581","0"
"816","205627","0","","4","2","0","12","581","0"
"818","205629","0","","5","1","0","12","581","0"
"819","205630","0","","5","2","0","12","581","0"
"820","205673","0","","5","0","0","11","103","2"
"821","204190","0","","4","2","0","3","253","2"
"822","232546","0","","4","1","0","11","102","2"
"824","212670","0","","5","0","0","3","253","2"
"825","208652","0","","5","1","0","3","253","2"
"828","198064","0","","2","2","0","8","0","255"
"829","206317","0","","3","2","0","4","0","255"
"830","206328","0","","4","2","0","4","259","2"
"831","206572","0","","5","2","0","1","73","0"
"833","213915","23920","","2","0","0","1","73","0"
"834","233755","0","","5","1","0","11","102","2"
"835","203553","0","","5","0","0","11","105","1"
"836","209749","0","","5","2","0","11","102","2"
"838","200931","0","","3","1","0","11","105","1"
"839","203651","0","","5","2","0","11","105","1"
"841","207018","56222","","1","1","0","6","250","0"
"842","207017","6795","","1","1","0","11","104","0"
"843","207025","115546","","1","1","0","10","268","0"
"844","207028","62124","","1","1","0","2","66","0"
"845","205800","355","","1","1","0","1","73","0"
"846","198675","0","","4","1","0","4","261","2"
"847","209730","0","","2","1","0","11","0","255"
"852","233765","0","","3","0","0","10","269","2"
"853","209752","0","","2","1","0","4","260","2"
"855","209780","0","","3","1","0","5","256","1"
"856","197899","0","","2","1","0","4","261","2"
"857","209753","0","","5","0","0","11","102","2"
"858","204934","0","","2","2","0","2","70","2"
"859","216327","0","","3","2","0","2","65","1"
"860","210341","0","","2","2","0","2","66","0"
"861","215652","0","","2","0","0","2","66","0"
"862","198063","0","","2","1","0","8","0","255"
"863","204247","0","","3","0","0","7","0","255"
"1204","203468","0","","2","1","0","12","577","2"
"1205","205628","0","","2","1","0","12","0","255"
"1206","227635","0","","2","2","0","12","577","2"
"1208","221622","0","","3","2","0","4","260","2"
"1209","212182","0","","3","2","0","4","261","2"
"1211","212284","0","","4","2","0","9","267","2"
"1213","212628","0","","5","0","0","9","266","2"
"1214","205691","0","","5","2","0","3","253","2"
"1215","203624","0","","5","1","0","11","105","1"
"1216","233752","0","","2","0","0","11","102","2"
"1217","33786","0","","3","0","0","11","105","1"
