Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"1","130731","4726","18","0","60","8"
"2","130732","4713","18","0","50","0"
"3","130733","4728","18","0","0","0"
"4","130734","0","18","0","20","0"
"5","433904","0","18","0","0","0"
"6","130738","4699","18","0","100","8"
"7","130735","0","18","0","30","0"
"8","130736","4695","18","0","40","0"
"9","130737","0","18","0","0","0"
"10","587744","4702","18","0","70","0"
"11","587741","4730","18","0","90","0"
"12","523824","4681","18","0","0","0"
"13","165434","0","19","0","0","0"
"14","587634","0","19","0","0","0"
"15","166362","0","34","0","0","0"
"16","166364","0","18","0","0","0"
"36","587744","4702","34","0","0","0"
"37","0","4770","18","0","80","0"
"38","587744","4702","19","0","0","0"
"39","587634","0","34","0","0","0"
"40","0","0","18","0","0","0"
"41","199907","0","19","0","0","0"
"42","200316","0","19","0","0","0"
"43","0","4704","18","0","0","0"
"46","167093","0","19","0","0","0"
"47","165658","0","19","0","0","0"
"48","165434","0","18","0","0","0"
"49","199926","0","19","0","0","1"
"50","0","0","19","0","0","1"
"51","650616","0","18","0","65","0"
"52","650619","0","18","0","105","0"
"53","165434","0","19","0","0","1"
"54","327767","0","18","0","0","0"
"55","650036","0","18","0","0","0"
"56","587634","0","19","0","0","1"
"57","199918","0","19","0","0","0"
"59","521015","0","19","0","0","0"
"60","0","4720","18","0","80","0"
"62","165434","0","18","0","0","1"
"63","587744","4702","19","0","0","1"
"64","526842","0","18","0","0","0"
"65","587634","0","18","0","0","0"
"66","587741","0","18","0","90","0"
"68","0","0","18","0","80","0"
"69","587744","4702","18","0","0","1"
"71","0","0","18","0","0","2"
"72","667489","0","18","0","0","0"
"73","0","4731","18","0","0","0"
"74","0","4697","18","0","0","0"
"76","587744","0","18","0","70","0"
"77","199912","0","19","0","0","1"
"78","587744","0","18","0","0","1"
"79","165434","0","34","0","0","0"
"80","165434","0","19","0","0","2"
"81","200317","0","19","0","0","0"
"84","0","4770","18","0","0","2"
"85","587744","0","20","0","70","0"
"88","0","4715","18","0","80","0"
"89","0","4733","18","0","80","0"
"90","0","4716","18","0","80","0"
"91","0","4727","18","0","80","0"
"95","587741","4730","18","0","90","1"
"98","166364","0","19","0","0","1"
"99","587744","4702","34","0","70","1"
"102","587634","0","19","0","0","3"
"103","166027","0","18","0","0","0"
"104","0","4721","19","11","70","2"
"105","0","0","19","11","70","2"
"106","0","4770","18","0","80","2"
"108","0","4721","18","0","80","0"
"116","0","4734","18","0","80","0"
"119","0","4704","18","0","0","2"
"120","0","4704","18","0","80","0"
"121","0","4729","18","0","0","0"
"122","165434","0","19","11","0","0"
"123","0","0","19","11","0","0"
"124","0","4701","19","11","0","0"
"125","0","4701","19","12","0","0"
"126","0","0","19","14","80","0"
"127","0","4716","18","0","1","0"
"128","0","4738","18","0","0","0"
"131","0","4690","18","14","0","4"
"132","0","4701","19","11","70","0"
"133","0","4703","18","0","0","0"
"136","1014460","4720","19","0","80","0"
"137","0","4727","19","14","1","0"
"140","199950","0","19","13","0","0"
"142","327861","0","19","14","0","0"
"143","0","0","19","0","0","0"
"144","130732","4713","18","0","40","0"
"145","166808","0","19","0","0","1"
"146","0","4773","19","0","50","0"
"147","0","4778","19","0","0","0"
"151","0","0","18","12","0","0"
"152","0","4721","19","15","70","2"
"153","0","0","19","15","70","2"
"154","0","4721","19","16","70","2"
"155","0","0","19","16","70","2"
"156","130731","0","18","0","100","0"
"157","0","0","19","14","80","4"
"158","0","4721","19","11","70","6"
"159","0","0","19","11","70","6"
"162","199907","0","19","13","0","0"
"163","0","0","19","13","0","0"
"164","343984","0","18","0","0","1"
"165","0","4705","18","0","80","0"
"166","0","4721","19","15","70","6"
"167","1087509","0","18","0","0","0"
"169","0","0","19","15","70","6"
"170","0","4777","19","0","0","0"
"171","0","4772","19","0","50","0"
"172","0","4770","18","0","0","0"
"173","0","4705","18","0","0","0"
"174","0","4711","18","0","0","0"
"176","0","5639","18","0","0","0"
"178","0","4737","18","0","80","0"
"181","0","4721","19","0","70","2"
"182","587744","4702","18","13","0","0"
"184","0","4716","18","15","80","0"
"185","587741","4730","20","0","1","0"
"201","0","4729","18","0","80","0"
"203","0","4781","18","0","1","0"
"204","0","4782","18","0","1","0"
"205","0","0","19","14","90","4"
"206","165434","4721","19","11","70","2"
"207","0","5073","18","0","0","0"
"208","0","5074","18","0","0","0"
"209","0","5075","18","0","0","0"
"210","0","5076","18","0","0","0"
"213","0","4701","19","23","70","0"
"214","130731","4726","18","0","100","0"
"215","587741","4730","18","11","90","0"
"217","1417649","4692","18","0","60","8"
"218","1444889","6088","18","0","60","8"
"219","1444892","6089","18","0","60","8"
"220","0","5930","18","0","80","0"
"221","0","5931","18","0","80","0"
"222","0","4705","18","11","80","0"
"223","0","4721","19","0","70","0"
"224","165434","0","19","11","70","2"
"225","0","4721","19","24","70","0"
"227","0","6270","19","14","80","0"
"202","587634","0","19","0","0","0"
"97","0","0","18","0","0","0"
"118","0","0","18","0","0","0"
"100","199907","0","19","0","0","0"
"61","200316","0","19","0","0","0"
"70","199926","0","19","0","0","1"
"75","0","4720","18","0","80","0"
"82","0","0","18","0","80","0"
"93","0","0","18","0","80","0"
"101","0","0","18","0","0","2"
"107","0","0","18","0","0","2"
"183","0","4731","18","0","0","0"
"129","0","4770","18","0","0","2"
"92","0","4733","18","0","80","0"
"149","0","4703","18","0","0","0"
"168","0","4703","18","0","0","0"
"212","0","4727","19","14","1","0"
"180","0","0","19","13","0","0"
"175","0","4705","18","0","0","0"
"186","0","4705","18","0","0","0"
"198","0","4711","18","0","0","0"
"211","0","5073","18","0","0","0"
