Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","Group","0","0","0"
"21","Class","0","0","0"
"41","PvP","0","0","0"
"62","Raid","0","0","0"
"81","Dungeon","0","0","0"
"82","World Event","0","0","0"
"83","Legendary","0","0","0"
"84","Escort","0","0","0"
"85","Heroic","0","0","0"
"88","Raid (10)","0","0","0"
"89","Raid (25)","0","0","0"
"98","Scenario","0","0","0"
"102","Account","0","0","0"
"104","Side Quest","0","0","0"
"107","Artifact","0","0","0"
"109","World Quest","0","2","0"
"110","Epic World Quest","0","2","12"
"111","Elite World Quest","0","2","2"
"112","Epic Elite World Quest","0","2","14"
"113","PvP World Quest","0","3","0"
"114","First Aid World Quest","129","1","0"
"115","Battle Pet World Quest","0","4","0"
"116","Blacksmithing World Quest","164","1","0"
"117","Leatherworking World Quest","165","1","0"
"118","Alchemy World Quest","171","1","0"
"119","Herbalism World Quest","182","1","0"
"120","Mining World Quest","186","1","0"
"121","Tailoring World Quest","197","1","0"
"122","Engineering World Quest","202","1","0"
"123","Enchanting World Quest","333","1","0"
"124","Skinning World Quest","393","1","0"
"125","Jewelcrafting World Quest","755","1","0"
"126","Inscription World Quest","773","1","0"
"128","Emissary Quest","0","5","0"
"129","Archaeology World Quest","794","1","0"
"130","Fishing World Quest","356","1","0"
"131","Cooking World Quest","185","1","0"
"135","Rare World Quest","0","2","1"
"136","Rare Elite World Quest","0","2","11"
"137","Dungeon World Quest","0","6","11"
"140","Rated Reward","0","3","16"
