Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"270941","3","73284","Captured Frostwolves Freed","33145","0","1","0","0"
"272313","6","82196","","34076","0","0","0","0"
"272763","12","75483","","34496","0","0","0","0"
"272770","1","78896","","34501","0","0","2","1"
"272771","1","78893","","34501","0","1","0","1"
"272772","1","78764","","34501","0","2","1","1"
"272776","20","74249","Mushroom Juice collected","34504","0","1","1","0"
"272779","12","78870","Frostwolves thawed","34505","0","1","0","0"
"272897","7","79432","Young Prowlers calmed","34639","0","1","0","0"
"272904","4","79520","Zorka's Void Gates Sealed","34660","0","0","1","0"
"272913","8","79499","Draenei spirits released","34667","0","0","0","0"
"272914","10","79503","Demons slain","34667","0","1","1","0"
"272916","4","88822","Shadowgaze Batriders shot down","34667","0","2","2","0"
"272965","30","79581","Orc Soldiers slain","34723","0","0","0","0"
"272972","1","79588","Iron Horde Commander Kull'krosh slain","34723","0","3","1","0"
"272973","1","79651","Highmaul Emissary Rezlorg slain","34723","0","2","2","0"
"272974","12","230653","Dock Supply Crates destroyed","34723","2","1","3","0"
"272975","8","79658","","34728","0","1","0","0"
"272976","1","79681","","34728","0","2","1","0"
"272977","14","111559","","34728","1","0","2","0"
"273017","1","79409","Frenzied Ancient slain","34639","0","0","1","1"
"273119","6","79544","","34660","0","1","0","0"
"273213","12","76534","Pale slain","34724","0","0","0","0"
"273214","15","76548","Egg Sacs destroyed","34724","0","1","1","0"
"273215","1","76496","Gorg the Host slain","34724","0","2","2","0"
"273631","6","75815","","35236","0","0","0","0"
"273632","20","112994","","35236","1","1","1","0"
"273633","6","75815","","35237","0","0","0","0"
"273634","20","112994","","35237","1","1","1","0"
"273681","3","79148","","34076","0","2","1","0"
"273769","10","78758","Shiverblood Pale slain","34501","0","3","3","0"
"273770","15","81902","","35379","0","0","0","0"
"273799","1","82202","","35379","0","3","1","0"
"273800","1","82205","","35379","0","1","2","0"
"273801","1","82209","","35379","0","2","3","0"
"273843","6","82220","Orc spirits slain","34076","0","1","2","0"
"273921","1","0","Bloodmaul Stronghold Assaulted","35637","15","0","0","0"
"273928","1","0","Bloodmaul Stronghold Assaulted","35641","15","0","0","0"
"273938","3","233035","Barrel of Harvested Toxin destroyed","35649","2","1","1","0"
"273939","20","82130","Shattered Hand Slain","35649","0","3","0","0"
"274153","20","83450","Frenzied Podlings slain","35881","0","0","0","0"
"274154","8","83467","Ancient jars looted","35881","0","1","3","0"
"274155","1","83452","Malkor slain","35881","0","2","2","0"
"274241","1","0","Darktide Roost Assaulted","35974","15","0","0","0"
"274244","1","0","Darktide Roost Assaulted","35977","15","0","0","0"
"274299","1","0","Arakkoa Forces Thwarted","36069","15","0","0","0"
"274300","1","0","Arakkoa Forces Thwarted","36070","15","0","0","0"
"274611","10","78791","","34505","0","0","1","0"
"274612","8","72953","Grimfrost ogres slain","33145","0","0","1","0"
"274613","12","76382","Pale creatures slain","34504","0","0","0","0"
"274617","1","0","Shadow Council Assaulted","36338","15","0","0","0"
"274629","1","0","Socrethar's Rise Disrupted","36347","15","0","0","0"
"274630","1","0","Socrethar's Rise Disrupted","36348","15","0","0","0"
"274647","100","85000","Defeat Normal Enemies","36338","0","2","0","92"
"274650","34","85195","Defeat Lieutenant Enemies","36338","0","3","1","92"
"274652","500","85197","Defeat Minus Enemies","36338","0","1","3","92"
"274653","34","85103","Captured Guards","36338","0","12","4","92"
"274655","20","234433","Caches","36338","2","5","6","92"
"274656","4","85200","Defeat Miniboss Enemies","36338","0","4","7","92"
"274657","45","84754","Siege Cannons","36338","0","6","8","92"
"274658","50","83856","Soul Crystals","36338","0","7","9","92"
"274659","50","84279","Fel Fires","36338","0","8","10","92"
"274672","1","0","Blackrock Foundry Assaulted","36383","15","0","0","0"
"274673","100","85228","Kill Iron Horde","36383","0","1","1","92"
"274674","20","85229","Kill Iron Horde","36383","0","2","0","92"
"274675","5","85230","Kill Iron Horde","36383","0","3","2","92"
"274678","500","85260","Slay Minus Mobs","35637","0","1","0","92"
"274679","100","85261","Slay Normal Mobs","35637","0","2","1","92"
"274680","50","85265","Collect/Interact (Minor)","35637","0","3","2","92"
"274683","34","82531","Slay High HP Mobs","35637","0","4","4","92"
"274717","500","85260","Slay Minus Mobs","35641","0","1","0","92"
"274718","100","85261","Slay Normal Mobs","35641","0","2","1","92"
"274719","50","85265","Collect/Interact (Minor)","35641","0","3","2","92"
"274721","34","82531","Slay High HP Mobs","35641","0","4","4","92"
"274723","13","85262","Slay Elite Mobs","35641","0","5","6","92"
"274724","5","85263","Slay Rare Elites/Events/Minibosses","35641","0","6","7","92"
"274729","500","85079","Defeat Minus Enemies","36347","0","1","0","92"
"274730","100","85319","Defeat Tier 1 Enemies","36347","0","2","1","92"
"274731","77","81542","Defeat Tier 2 Enemies","36347","0","3","2","92"
"274732","34","84945","Defeat Tier 2+ Enemies","36347","0","4","3","92"
"274733","20","84908","Defeat Tier 3 Enemies","36347","0","5","4","92"
"274734","16","81543","Defeat Tier 3+ Enemies","36347","0","6","5","92"
"274735","4","85321","Defeat Minibosses","36347","0","7","6","92"
"274736","500","85079","Defeat Minus Enemies","36348","0","1","0","92"
"274737","100","85319","Defeat Tier 1 Enemies","36348","0","2","1","92"
"274738","77","81542","Defeat Tier 2 Enemies","36348","0","3","2","92"
"274739","34","84945","Defeat Tier 2+ Enemies","36348","0","4","3","92"
"274740","20","84908","Defeat Tier 3 Enemies","36348","0","5","4","92"
"274741","16","81543","Defeat Tier 3+ Enemies","36348","0","6","5","92"
"274742","4","85321","Defeat Minibosses","36348","0","7","6","92"
"274748","10","85370","Arkonite Crystals","36338","0","9","12","92"
"274753","100","85393","Orc Bodies","36338","0","11","13","92"
"274791","5","85429","Varashian Vilefang slain","35649","0","2","2","0"
"274797","1","85219","Taskmaster Banegore slain","35649","0","0","3","0"
"274799","25","81786","Monsters slain","36473","0","0","0","0"
"274800","5","85524","Ancient Seedbearer burned","36473","0","1","1","0"
"274803","15","85528","Goren or Gronnling slain","36476","0","0","2","0"
"274804","10","75091","Grom'kar Grunt slain","36476","0","1","3","0"
"274806","8","85540","Dying Grom'kar Peon executed","36476","0","2","0","0"
"274816","5","81246","","36480","0","0","1","0"
"274817","20","81775","","36480","0","1","4","0"
"274818","15","85567","Goren Eggs broken","36480","0","2","5","0"
"274832","1","0","Blackrock Foundry Assaulted","36489","15","0","0","0"
"274833","100","85228","Kill Iron Horde","36489","0","1","1","92"
"274834","20","85229","Kill Iron Horde","36489","0","2","0","92"
"274835","5","85230","Kill Iron Horde","36489","0","3","2","92"
"274836","1","0","Pillars of Fate Disrupted","36490","15","0","0","0"
"274837","100","85609","Defeat Minus Enemies","36490","0","2","0","92"
"274838","40","85607","Defeat Tier 1 Enemies","36490","0","3","1","92"
"274839","20","85608","Defeat - Elite","36490","0","4","2","92"
"274840","9","85611","Defeat Rare Elites","36490","0","6","3","92"
"274841","5","85037","Defeat - 5-man Miniboss","36490","0","7","4","92"
"274844","13","85610","Defeat - Vignette / Rare Elite","36490","0","5","7","92"
"274845","1","0","Pillars of Fate Disrupted","36491","15","0","0","0"
"274846","100","85609","Defeat Tier 1 Enemy","36491","0","2","0","92"
"274847","40","85607","Defeat Tier 2 Enemies","36491","0","3","1","92"
"274848","20","85608","Defeat - Elite","36491","0","4","2","92"
"274849","13","85610","Defeat - Vignette / Rare Elite","36491","0","5","7","92"
"274850","9","85611","Defeat Rare Elites","36491","0","6","3","92"
"274851","5","85037","Defeat - 5-man Miniboss","36491","0","7","4","92"
"274855","12","81617","Infested slain","36500","0","0","0","0"
"274857","1","81634","","36500","0","1","2","1"
"274858","10","85726","Kill Iron Horde Vignette","35974","0","5","0","92"
"274859","100","83800","Kill Iron Horde Soldier","35974","0","8","1","92"
"274862","100","234587","Collect Rylak Eggs","35974","2","3","2","92"
"274868","10","81575","","36504","0","0","1","0"
"274869","1","82062","","36504","0","1","3","1"
"274870","3","81553","","36504","0","2","4","0"
"274874","20","235826","Collect Giant Rylak Eggs","35974","2","1","3","92"
"274875","34","235823","Collect Large Rylak Eggs","35974","2","2","4","92"
"274876","34","85728","Kill Iron Horde Elite","35974","0","6","5","92"
"274877","50","85727","Kill Iron Horde Boss","35974","0","7","6","92"
"274878","334","85729","Kill Iron Horde Peon","35974","0","9","7","92"
"274879","100","78183","Injured Rylak","35974","3","10","8","92"
"274880","25","85732","Toxic Slimemold squished","36500","0","2","1","0"
"274881","20","235826","Collect Giant Rylak Eggs","35977","2","1","0","92"
"274882","34","235823","Collect Large Rylak Eggs","35977","2","2","1","92"
"274883","100","234587","Collect Rylak Eggs","35977","2","3","2","92"
"274884","10","85726","Kill Iron Horde Vignette","35977","0","5","3","92"
"274885","34","85728","Kill Iron Horde Elite","35977","0","6","4","92"
"274886","50","85727","Kill Iron Horde Boss","35977","0","7","5","92"
