Id,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"54097","0","35","12","0","0","0","0"
"54124","0","40","12","0","0","0","0"
"54126","0","40","12","0","0","0","0"
"54127","0","40","12","0","0","0","0"
"54129","0","16","12","0","0","0","0"
"54132","0","16","12","0","0","0","0"
"54133","0","40","12","0","0","0","0"
"54134","0","24","12","0","0","0","0"
"54135","0","24","12","0","0","0","0"
"54136","0","26","12","0","0","0","0"
"54137","0","26","12","0","0","0","0"
"54138","0","26","12","0","0","0","0"
"54139","0","26","12","0","0","0","0"
"54140","0","26","12","0","0","0","0"
"54141","0","26","12","0","0","0","0"
"54828","0","16","0","0","0","0","0"
"54830","0","16","0","0","0","0","0"
"54832","0","17","12","0","0","0","0"
"54834","0","17","12","0","0","0","0"
"54838","0","17","12","0","0","0","0"
"54862","0","38","12","0","0","0","0"
"54864","0","38","12","0","0","0","0"
"55348","0","16","0","0","0","0","0"
"55350","0","34","12","0","0","0","0"
"55352","0","34","12","0","0","0","0"
"55354","1","42","12","0","0","0","0"
"55356","1","43","12","0","0","0","0"
"55398","1","43","12","0","0","0","0"
"55400","1","43","12","0","0","0","0"
"55402","1","43","12","0","0","0","0"
"55404","1","81","12","0","0","0","0"
"55406","1","81","12","0","0","0","0"
"55408","1","81","12","0","0","0","0"
"55410","1","607","12","0","0","0","0"
"55412","1","181","12","0","0","0","0"
"55414","1","181","12","0","0","0","0"
"55416","0","36","12","0","0","0","0"
"55418","1","101","12","0","0","0","0"
"55420","1","101","12","0","0","0","0"
"55422","1","101","12","0","0","0","0"
"55424","1","101","12","0","0","0","0"
"55426","1","101","12","0","0","0","0"
"55428","1","101","12","0","0","0","0"
"55434","0","19","12","0","0","0","0"
"55436","0","19","12","0","0","0","0"
"55438","0","28","12","0","0","0","0"
"55440","0","28","12","0","0","0","0"
"55442","0","29","12","0","0","0","0"
"55444","0","29","12","0","0","0","0"
"55446","0","29","12","0","0","0","0"
"55448","0","23","12","0","0","0","0"
"55450","0","23","12","0","0","0","0"
"55452","0","23","12","0","0","0","0"
"55454","0","37","12","0","0","0","0"
"55456","0","37","12","0","0","0","0"
"55458","0","37","12","0","0","0","0"
"55460","0","37","12","0","0","0","0"
"55462","0","37","12","0","0","0","0"
"55464","0","37","12","0","0","0","0"
"55466","0","37","12","0","0","0","0"
"55468","0","37","12","0","0","0","0"
"55470","0","673","12","0","0","0","0"
"55472","0","673","12","0","0","0","0"
"55474","0","673","12","0","0","0","0"
"55476","0","673","12","0","0","0","0"
"55478","0","22","12","0","0","0","0"
"55480","0","22","12","0","0","0","0"
"55482","0","22","12","0","0","0","0"
"55755","1","141","12","0","0","0","0"
"55757","1","141","12","0","0","0","0"
"56327","1","121","12","0","0","0","0"
"56329","1","121","12","0","0","0","0"
"56331","1","121","12","0","0","0","0"
"56333","1","121","12","0","0","0","0"
"56335","1","121","12","0","0","0","0"
"56337","1","121","12","0","0","0","0"
"56339","1","121","12","0","0","0","0"
"56341","1","121","12","0","0","0","0"
"56343","1","182","12","0","0","0","0"
"56345","1","182","12","0","0","0","0"
"56347","1","182","12","0","0","0","0"
"56349","1","182","12","0","0","0","0"
"56351","1","281","12","0","0","0","0"
"56354","1","281","12","0","0","0","0"
"56356","1","281","12","0","0","0","0"
"56358","1","607","12","0","0","0","0"
"56360","1","281","0","0","0","0","0"
"56362","1","607","12","0","0","0","0"
"56364","1","161","12","0","0","0","0"
"56367","1","161","12","0","0","0","0"
