Id,Unknown0,Unknown1,Unknown2,Unknown3
"43","80686","15","1","0"
"44","80687","15","1","0"
"45","80688","15","1","0"
"46","80689","15","1","0"
"47","80690","15","1","0"
"48","80691","15","1","0"
"49","80692","15","1","0"
"50","80693","15","1","0"
"51","80694","15","1","0"
"52","80695","16","1","1"
"53","80696","16","1","1"
"54","80697","16","1","1"
"55","80698","16","1","1"
"56","80699","16","1","1"
"57","80700","16","1","1"
"58","80701","16","1","1"
"59","80702","16","1","1"
"60","80703","16","1","1"
"61","80704","17","1","0"
"62","80705","17","1","0"
"63","80706","17","1","0"
"64","80707","17","1","0"
"65","80708","17","1","0"
"66","80709","17","1","0"
"67","80710","17","1","0"
"68","80711","17","1","0"
"69","80712","17","1","0"
"70","80713","18","1","0"
"71","80714","18","1","0"
"72","80715","18","1","0"
"73","80716","18","1","0"
"74","80717","18","1","0"
"75","80718","18","1","0"
"76","80719","18","1","0"
"77","80720","18","1","0"
"78","80721","18","1","0"
"79","80722","19","1","0"
"80","80723","19","1","0"
"81","80724","19","1","0"
"82","80725","19","1","0"
"83","80726","19","1","0"
"84","80727","19","1","0"
"85","80728","19","1","0"
"86","80729","19","1","0"
"87","80730","19","1","0"
"88","80731","20","1","0"
"89","80732","20","1","0"
"90","80733","20","1","0"
"91","80734","20","1","0"
"92","80735","20","1","0"
"93","80736","20","1","0"
"94","80737","20","1","0"
"95","80738","20","1","0"
"96","80739","20","1","0"
"97","80740","21","1","0"
"98","80741","21","1","0"
"99","80742","21","1","0"
"100","80743","21","1","0"
"101","80744","21","1","0"
"102","80745","21","1","0"
"103","80746","21","1","0"
"104","80747","21","1","0"
"105","80748","21","1","0"
"106","80749","22","1","0"
"107","80750","22","1","0"
"108","80751","22","1","0"
"109","80752","22","1","0"
"110","80753","22","1","0"
"111","80754","22","1","0"
"112","80755","22","1","0"
"113","80756","22","1","0"
"114","80757","22","1","0"
"115","80758","23","1","0"
"116","80759","23","1","0"
"117","80760","23","1","0"
"118","80761","23","1","0"
"119","80762","23","1","0"
"120","80763","24","1","0"
"121","80764","24","1","0"
"122","80765","24","1","0"
"123","80766","24","1","0"
"124","80767","24","1","0"
"125","80768","25","1","0"
"126","80769","25","1","0"
"127","80770","25","1","0"
"128","80771","25","1","0"
"129","80772","25","1","0"
"130","80773","26","1","1"
"131","80774","26","1","1"
"132","80775","26","1","1"
"133","80776","26","1","1"
"134","80777","26","1","1"
"135","80778","27","1","1"
"136","80779","27","1","1"
"137","80780","27","1","1"
"138","80781","27","1","1"
"139","80782","27","1","1"
"140","80783","28","1","0"
"141","80784","28","1","0"
"142","80785","28","1","0"
"143","80786","28","1","0"
"144","80787","28","1","0"
