Id,Unknown0,Unknown1
"1","Epic","0"
"21","Hallow's End","0"
"22","Seasonal","0"
"23","Cataclysm","0"
"24","Herbalism","0"
"25","Battlegrounds","0"
"41","Day of the Dead","0"
"61","Warlock","0"
"81","Warrior","0"
"82","Shaman","0"
"101","Fishing","0"
"121","Blacksmithing","0"
"141","Paladin","0"
"161","Mage","0"
"162","Rogue","0"
"181","Alchemy","0"
"182","Leatherworking","0"
"201","Engineering","0"
"221","Treasure Map","0"
"241","Tournament","3"
"261","Hunter","0"
"262","Priest","0"
"263","Druid","0"
"264","Tailoring","0"
"284","Special","0"
"304","Cooking","0"
"324","First Aid","0"
"344","Legendary","0"
"364","Darkmoon Faire","0"
"365","Ahn'Qiraj War","0"
"366","Lunar Festival","0"
"367","Reputation","0"
"368","Invasion","0"
"369","Midsummer","0"
"370","Brewfest","0"
"371","Inscription","0"
"372","Death Knight","0"
"373","Jewelcrafting","0"
"374","Noblegarden","0"
"375","Pilgrim's Bounty","0"
"376","Love is in the Air","0"
"377","Archaeology","0"
"378","Children's Week","0"
"379","Firelands Invasion","0"
"380","The Zandalari","0"
"381","Elemental Bonds","0"
"391","Pandaren Brewmasters","0"
"392","Scenario","0"
"394","Battle Pets","2"
"395","Monk","0"
"396","Landfall","0"
"397","Pandaren Campaign","0"
"398","Riding","0"
"399","Brawler's Guild","0"
"400","Proving Grounds","0"
"401","Garrison Campaign","0"
"402","Assault on the Dark Portal","0"
"403","Garrison Support","0"
"404","Logging","0"
"405","Pickpocketing","0"
"406","Artifact","0"
"407","Demon Hunter","0"
"408","Mining","0"
"409","Weekend Event","0"
"410","Enchanting","0"
"411","Skinning","0"
"412","World Quest","0"
"413","Death Knight Campaign","0"
"416","Demon Hunter Campaign","0"
"417","Druid Campaign","0"
"418","Hunter Campaign","0"
"419","Monk Campaign","0"
"420","Mage Campaign","0"
"421","Priest Campaign","0"
"422","Paladin Campaign","0"
"423","Shaman Campaign","0"
"424","Rogue Campaign","0"
"425","Warlock Campaign","0"
"426","Warrior Campaign","0"
"427","Order Hall","0"
"429","The Hunt for Illidan Stormrage","0"
"430","Pirates' Day","0"
