Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9
"1","0","10","20","40","60","80","100","120","160","0"
"2","0","15","45","85","130","170","215","255","340","0"
"3","0","25","65","125","190","250","315","380","500","0"
"4","0","35","90","180","270","355","445","540","710","0"
"5","0","45","110","225","335","450","560","670","900","0"
"6","0","65","160","315","475","630","790","950","1260","0"
"7","0","85","210","415","625","830","1040","1250","1660","0"
"8","0","105","265","530","795","1060","1330","1590","2120","0"
"9","0","130","325","650","975","1300","1630","1950","2600","0"
"10","0","155","390","780","1170","1560","1950","2340","3120","0"
"11","0","185","460","920","1380","1840","2300","2760","3680","0"
"12","0","215","540","1075","1615","2150","2690","3230","4300","0"
"13","0","245","620","1235","1855","2470","3090","3710","4940","0"
"14","0","280","705","1405","2110","2810","3510","4220","5620","0"
"15","0","315","795","1585","2380","3170","3960","4760","6340","0"
"16","0","340","855","1705","2560","3410","4260","5120","6820","0"
"17","0","355","890","1775","2665","3550","4440","5330","7100","0"
"18","0","370","925","1845","2770","3690","4610","5540","7380","0"
"19","0","380","955","1910","2865","3820","4780","5730","7640","0"
"20","0","395","990","1980","2970","3960","4950","5940","7920","0"
"21","0","410","1025","2050","3075","4100","5130","6150","8200","0"
"22","0","425","1060","2115","3175","4230","5290","6350","8460","0"
"23","0","435","1095","2185","3280","4370","5460","6560","8740","0"
"24","0","450","1125","2250","3375","4500","5630","6750","9000","0"
"25","0","465","1160","2320","3480","4640","5800","6960","9280","0"
"26","0","480","1195","2390","3585","4780","5980","7170","9560","0"
"27","0","490","1230","2455","3685","4910","6140","7370","9820","0"
"28","0","505","1265","2525","3790","5050","6310","7580","10100","0"
"29","0","520","1300","2595","3895","5190","6490","7790","10380","0"
"30","0","530","1330","2660","3990","5320","6650","7980","10640","0"
"31","0","545","1365","2730","4095","5460","6830","8190","10920","0"
"32","0","560","1400","2800","4200","5600","7000","8400","11200","0"
"33","0","575","1435","2865","4300","5730","7160","8600","11460","0"
"34","0","585","1470","2935","4405","5870","7340","8810","11740","0"
"35","0","600","1505","3005","4510","6010","7510","9020","12020","0"
"36","0","615","1535","3070","4605","6140","7680","9210","12280","0"
"37","0","630","1570","3140","4710","6280","7850","9420","12560","0"
"38","0","640","1605","3210","4815","6420","8030","9630","12840","0"
"39","0","655","1640","3275","4915","6550","8190","9830","13100","0"
"40","0","670","1675","3345","5020","6690","8360","10040","13380","0"
"41","0","685","1710","3415","5125","6830","8540","10250","13660","0"
"42","0","695","1740","3480","5220","6960","8700","10440","13920","0"
