Id,Unknown0,Unknown1
"1","10969","7"
"2","17453","7"
"3","10873","7"
"4","17454","7"
"5","23225","7"
"6","23223","7"
"7","23222","7"
"8","17459","7"
"9","15779","7"
"10","63638","7"
"11","22719","7"
"12","6777","3"
"13","6898","3"
"14","6899","3"
"15","23239","3"
"16","23240","3"
"17","23238","3"
"18","17461","3"
"19","17460","3"
"20","63636","3"
"21","65643","3"
"22","22720","3"
"23","65642","7"
"24","63232","1"
"25","65640","1"
"26","22717","1"
"27","472","1"
"28","6648","1"
"29","458","1"
"30","23229","1"
"31","23228","1"
"32","23227","1"
"33","16082","1"
"34","16083","1"
"35","34406","11"
"36","35710","11"
"37","35711","11"
"38","35713","11"
"39","35712","11"
"40","35714","11"
"41","63639","11"
"42","65637","11"
"43","48027","11"
"44","8394","4"
"45","10789","4"
"46","10793","4"
"47","23338","4"
"48","23219","4"
"49","23221","4"
"50","16056","4"
"51","16055","4"
"52","63637","4"
"53","65638","4"
"54","22723","4"
"55","64977","5"
"56","17464","5"
"57","17463","5"
"58","17462","5"
"59","17465","5"
"60","23246","5"
"61","63643","5"
"62","65645","5"
"63","22722","5"
"64","18990","6"
"65","18989","6"
"66","64657","6"
"67","23249","6"
"68","23248","6"
"69","23247","6"
"70","18991","6"
"71","18992","6"
"72","63641","6"
"73","65641","6"
"74","22718","6"
"81","580","2"
"82","6653","2"
"83","6654","2"
"84","64658","2"
"85","23250","2"
"86","23252","2"
"87","23251","2"
"88","16080","2"
"89","16081","2"
"90","63640","2"
"91","65646","2"
"92","22724","2"
"93","8395","8"
"94","10796","8"
"95","10799","8"
"96","23241","8"
"97","23242","8"
"98","23243","8"
"99","16084","8"
"100","17450","8"
"101","63635","8"
"102","65644","8"
"103","22721","8"
"104","35022","10"
"105","35020","10"
"106","34795","10"
"107","35018","10"
"108","35025","10"
"109","35027","10"
"110","33660","10"
"111","63642","10"
"112","65639","10"
"113","35028","10"
"121","470","1"
"122","66846","5"
"123","66847","4"
"141","87090","9"
"145","87091","9"
"163","103195","22"
"167","103196","22"
