Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","Dwarf","Interface\Archeology\Arch-Race-Dwarf","52843","384","1"
"2","Draenei","Interface\Archeology\Arch-Race-Draenei","64394","398","1"
"3","Fossil","Interface\Archeology\Arch-Race-Fossil","0","393","1"
"4","Night Elf","Interface\Archeology\Arch-Race-NightElf","63127","394","1"
"5","Nerubian","Interface\Archeology\Arch-Race-Nerubian","64396","400","1"
"6","Orc","Interface\Archeology\Arch-Race-Orc","64392","397","1"
"7","Tol'vir","Interface\Archeology\Arch-Race-Tolvir","64397","401","1"
"8","Troll","Interface\Archeology\Arch-Race-Troll","63128","385","1"
"27","Vrykul","Interface\Archeology\Arch-Race-Vrykul","64395","399","1"
"29","Mantid","Interface\Archeology\Arch-Race-Mantid","95373","754","1"
"229","Pandaren","Interface\Archeology\Arch-Race-Pandaren","79868","676","1"
"231","Mogu","Interface\Archeology\Arch-Race-Mogu","79869","677","1"
"315","Arakkoa","Interface\ARCHEOLOGY\Arch-Race-Arakkoa","109585","829","1"
"350","Draenor Clans","Interface\ARCHEOLOGY\Arch-Race-DraenorOrc","108439","821","1"
"382","Ogre","Interface\ARCHEOLOGY\Arch-Race-Ogre","109584","828","1"
"404","Highborne","Interface\ARCHEOLOGY\Arch-Race-HighborneNightElves","130903","1172","1"
"406","Highmountain Tauren","Interface\ARCHEOLOGY\Arch-Race-HighmountainTauren","130904","1173","1"
"408","Demonic","Interface\ARCHEOLOGY\Arch-Race-Demons","130905","1174","1"
