Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"1","2000000","0","0","0","0","0"
"2","0","0","0","1","0","0"
"3","0","0","0","0","0","292"
"4","0","0","0","0","0","0"
"16","0","1","0","0","467","0"
"17","0","1","0","0","0","0"
"18","0","1","0","0","464","0"
"20","0","1","0","0","465","0"
"21","0","1","0","0","466","0"
"22","20000000","1","0","0","0","0"
"26","500000","1","0","0","0","0"
"34","150000","1","0","0","0","0"
"35","250000","1","0","0","0","0"
"52","0","1","0","0","0","156"
"53","0","1","0","0","0","157"
"54","0","1","0","0","0","158"
"55","0","1","0","0","0","166"
"57","15000000","1","0","0","0","0"
"61","0","1","0","0","0","159"
"76","0","1","0","0","0","2"
"78","0","1","0","0","0","160"
"81","0","1","0","0","0","129"
"82","0","1","0","0","0","175"
"83","0","1","0","0","0","177"
"85","0","1","0","0","0","176"
"89","0","1","0","0","0","116"
"91","0","1","0","0","0","299"
"92","1250000","1","0","0","0","0"
"94","0","1","0","0","0","117"
"95","0","1","0","0","0","118"
"96","0","1","0","0","0","119"
"97","0","1","0","0","0","120"
"98","0","1","0","0","0","121"
"99","0","1","0","0","0","122"
"100","0","1","0","0","0","123"
"101","0","1","0","0","0","124"
"102","0","1","0","0","0","125"
"103","0","1","0","0","0","126"
"104","0","1","0","0","0","173"
"105","0","1","0","0","0","168"
"106","0","1","0","0","0","169"
"107","0","1","0","0","0","172"
"108","0","1","0","0","0","171"
"109","0","1","0","0","0","170"
"110","0","1","0","0","0","127"
"112","0","1","0","0","0","324"
"113","0","1","0","0","0","161"
"114","0","1","0","0","0","162"
"115","0","1","0","0","0","163"
"116","0","1","0","0","0","164"
"117","0","1","0","0","0","165"
"120","0","1","0","0","0","167"
"128","3750000","1","0","0","0","0"
"129","0","1","0","0","0","174"
"130","7500000","1","0","0","0","0"
"131","0","1","0","0","0","189"
"132","0","1","0","0","0","190"
"133","0","1","0","0","0","191"
"134","0","1","0","0","0","192"
"135","0","1","0","0","0","193"
"136","0","1","0","0","0","194"
"137","0","1","0","0","0","195"
"138","0","1","0","0","0","196"
"139","0","1","0","0","0","197"
"140","0","1","0","0","0","198"
"141","0","1","0","0","0","199"
"142","0","1","0","0","0","200"
"143","0","1","0","0","0","201"
"144","0","1","0","0","0","202"
"145","0","1","0","0","0","203"
"146","0","1","0","0","0","204"
"147","0","1","0","0","0","205"
"148","0","1","0","0","0","206"
"149","0","1","0","0","0","207"
"150","0","1","0","0","0","208"
"151","0","1","0","0","0","209"
"152","0","1","0","0","0","210"
"153","0","1","0","0","0","211"
"154","0","1","0","0","0","212"
"155","0","1","0","0","0","213"
"156","0","1","0","0","0","214"
"157","0","1","0","0","0","215"
"158","0","1","0","0","0","216"
"159","0","1","0","0","0","217"
"160","0","1","0","0","0","218"
"161","0","1","0","0","0","219"
"162","0","1","0","0","0","220"
"163","0","1","0","0","0","221"
"164","0","1","0","0","0","222"
"165","0","1","0","0","0","223"
"166","0","1","0","0","0","224"
"167","0","1","0","0","0","225"
"168","0","1","0","0","0","226"
"169","0","1","0","0","0","227"
"170","0","1","0","0","0","228"
"171","0","1","0","0","0","229"
"172","0","1","0","0","0","230"
"173","0","1","0","0","0","231"
"174","0","1","0","0","0","232"
"175","0","1","0","0","0","233"
"176","0","1","0","0","0","234"
"177","0","1","0","0","0","235"
"178","0","1","0","0","0","236"
"179","0","1","0","0","0","237"
"180","0","1","0","0","0","238"
"181","0","1","0","0","0","239"
"182","0","1","0","0","0","240"
"183","0","1","0","0","0","241"
"184","0","1","0","0","0","242"
"185","0","1","0","0","0","243"
"186","0","1","0","0","0","244"
