Id,Unknown0,Unknown1,Unknown2
"21","134026","17","1"
"22","134026","19","1"
"23","140228","4","1"
"28","133803","26","1"
"29","133804","27","1"
"30","141889","2","1"
"39","139777","40","1"
"40","140233","41","1"
"41","140408","42","1"
"42","140232","43","1"
"43","140230","44","1"
"44","140407","45","1"
"45","134031","46","1"
"46","134032","47","1"
"47","134034","48","1"
"48","140452","49","1"
"49","140453","50","1"
"50","140454","51","1"
"52","137209","56","1"
"53","139020","58","1"
"55","124124","60","1"
"56","143786","61","1"
"57","139026","62","1"
"58","139024","63","1"
"59","139023","64","1"
"60","139025","65","1"
"61","139021","66","1"
"62","139467","67","1"
"63","140152","68","1"
"64","139484","69","1"
"65","139486","70","1"
"66","139487","71","1"
"67","139488","72","1"
"68","140148","73","1"
"69","140154","74","1"
"70","140150","75","1"
"72","141023","90","1"
"74","141028","87","1"
"76","141154","93","1"
"97","139879","118","1"
"99","116415","59","20"
"104","139025","126","1"
"107","142247","236","1"
"111","137642","240","1"
"116","116415","121","5"
"117","143786","245","1"
"118","143844","246","1"
"119","142381","247","1"
