Id,Unknown0,Unknown1,Unknown2,Unknown3
"15","Unga Ingoo","0","0","0"
"39","Crypt of Forgotten Kings","0","0","0"
"40","Greenstone Village","0","0","0"
"44","Temple of the Jade Serpent","0","1","1"
"45","Stormstout Brewery","0","1","1"
"46","Shadow-Pan Monastery","0","1","1"
"48","Gate of the Setting Sun","0","1","1"
"49","Siege of Niuzao Temple","0","1","1"
"50","Mogu'shan Palace","0","1","1"
"51","Scholomance","0","1","1"
"52","Scarlet Halls","0","1","1"
"53","Scarlet Monastery","0","1","1"
"58","Arena of Annihilation","0","0","0"
"63","Brewmoon Festival","0","0","0"
"65","A Brewing Storm","0","0","0"
"68","Temple of Kotmogu","0","0","0"
"70","Theramore's Fall","0","0","0"
"179","Dagger in the Dark","0","0","0"
"180","Diamond Island","0","0","0"
"181","Assault on Zan'vess","0","0","0"
"182","Battle on the High Seas","0","0","0"
"183","A Little Patience","0","0","0"
"184","Lion's Landing","0","0","0"
"187","Domination Point","0","0","0"
"200","Pursuing the Black Harvest","0","0","0"
"204","Tear Down This Wall!","0","0","0"
"205","Stormsea Landing","0","0","0"
"206","Assault on Zeb'tula","0","0","0"
"207","To the Skies!","0","0","0"
"208","The Fall of Shan Bu","0","0","0"
"210","Blood in the Snow","0","0","0"
"211","The Thunder Forge","0","0","0"
"212","Assault on Shaol'mara","0","0","0"
"215","Troves of the Thunder King","0","0","0"
"216","Dark Heart of Pandaria","0","0","0"
"219","The Secrets of Ragefire","0","0","0"
"237","Proving Grounds: Select a Trial","0","2","0"
"247","Scenario Template","0","0","0"
"248","Proving Grounds","0","2","0"
"254","Prototype Scenario","0","2","0"
"256","Death of the Ox","0","0","0"
"257","Celestial Tournament","0","0","0"
"269","Finding the Secret Ingredient","0","0","0"
"275","The Purge of Grommar","0","0","0"
"278","Noodle Time","0","0","0"
"294","Razorfen Kraul","0","0","0"
"318","The Mines of Draenor","0","0","0"
"320","Gorgrond Finale","0","0","0"
"322","Dawson's Creek","0","0","0"
"323","Bonetown Scenario","0","0","0"
"324","The Battle of Thunder Pass","0","0","0"
"329","Upper Blackrock Spire","0","26","3"
"331","The Battle for Shattrath","0","0","0"
"333","Blackfathom Deeps","0","10","3"
"423","Skyreach","0","1","1"
"425","Bloodmaul Slag Mines","0","1","1"
"426","Iron Docks","0","1","1"
"427","Auchindoun","0","1","1"
"428","Shadowmoon Burial Grounds","0","1","1"
"429","Grimrail Depot","0","1","1"
"430","The Everbloom","0","1","1"
"432","Upper Blackrock Spire","0","1","1"
"449","Defense of Karabor","0","0","0"
"450","Fate of Karabor","0","0","0"
"499","Something Rumbling This Way Comes","0","0","0"
"508","The Might of the Alliance","0","0","0"
"509","The Might of the Horde","0","0","0"
"510","The Stockade","0","10","3"
"511","Ragefire Chasm","0","10","3"
"515","Wailing Caverns","0","10","3"
"516","Shadowfang Keep","0","10","3"
"524","Siege of Niuzao Temple","0","10","3"
"526","Gate of the Setting Sun","0","10","3"
"528","Mogu'shan Palace","0","10","3"
"531","Shado-Pan Monastery","0","10","3"
