Id,Unknown0,Unknown1
"61","0","0"
"62","0","1"
"63","90","3"
"147","21055","2"
"169","21063","2"
"170","21065","2"
"171","21067","2"
"172","21069","2"
"173","21071","2"
"271","5","4"
"285","22735","2"
"292","22744","2"
"293","22746","2"
"377","21061","2"
"445","130","4"
"447","90","4"
"448","150","4"
"449","170","4"
"450","320","4"
"455","210","4"
"456","240","4"
"459","270","4"
"460","300","4"
"464","360","4"
"465","390","4"
"468","400","4"
"469","440","4"
"470","480","4"
"485","28126","2"
"486","25","4"
"886","110","4"
"888","280","4"
"889","410","4"
"1003","2","4"
"1178","10","4"
"1287","31304","2"
"1288","31306","2"
"1289","31308","2"
"1316","31540","2"
"1317","31542","2"
"1318","31544","2"
"1324","31627","2"
"1686","32316","2"
"1744","32554","2"
"1859","9","4"
"1868","7","4"
"1899","1","4"
"1922","33336","2"
"1923","33338","2"
"1924","33340","2"
"1925","33342","2"
"1926","33344","2"
"1927","33346","2"
"1928","33348","2"
"1929","33350","2"
"1930","33352","2"
"1931","33354","2"
"1932","33356","2"
"1933","33358","2"
"1934","33360","2"
"1975","33308","2"
"1978","5","3"
"1986","33928","2"
"1992","33331","2"
"2485","35","4"
"2487","70","4"
"2488","80","4"
"2711","60","4"
"2743","43605","2"
"2786","43642","2"
"2807","43648","2"
"2824","45","4"
"2827","43613","2"
"2837","45878","2"
"2878","43805","2"
"2879","43807","2"
"2899","43887","2"
"2908","43926","2"
"2911","43932","2"
"2913","43934","2"
"2989","44327","2"
"3007","44376","2"
"3027","44386","2"
"3028","44388","2"
"3032","44508","2"
"3033","30","4"
"3040","44566","2"
"3076","0","2"
"3097","45050","2"
"3113","45823","2"
"3123","75","5"
"3127","45283","2"
"3140","45096","2"
"3151","45100","2"
"3152","45102","2"
"3154","44047","2"
"3161","45140","2"
"3162","45142","2"
"3169","45231","2"
"3170","45235","2"
"3171","45237","2"
"3179","45239","2"
"3181","45241","2"
"3182","45243","2"
"3186","45267","2"
"3189","45271","2"
"3190","3","4"
"3193","45275","2"
"3194","45279","2"
"3230","45814","2"
"3231","45816","2"
"3234","45825","2"
"3282","15","4"
"3317","20","4"
"3407","45985","2"
"3408","45989","2"
"3444","46034","2"
"3445","46036","2"
"3446","46038","2"
"3489","46044","2"
"3542","46180","2"
"3558","46236","2"
"3560","46238","2"
"3567","46250","2"
"3677","46399","2"
"3678","46401","2"
"3714","6","4"
"3735","8","4"
"3851","46562","2"
"3861","46571","2"
"3942","46674","2"
"3952","46369","2"
"4029","46827","2"
"4030","46829","2"
"4228","47067","2"
"4258","47091","2"
"4276","47124","2"
"4323","45995","2"
"4328","47186","2"
"4332","47188","2"
"4346","47194","2"
"4357","47202","2"
"4401","47237","2"
"4604","47409","2"
"4704","47652","2"
"4705","47674","2"
"4712","47676","2"
"4714","47688","2"
"4715","47692","2"
"4752","47884","2"
"4753","47886","2"
"4763","47898","2"
"4769","47902","2"
"4820","48006","2"
"4844","48027","2"
"4845","48029","2"
"4846","48031","2"
"4849","48035","2"
"4912","48095","2"
"4922","48112","2"
"4947","30","5"
"4960","60","5"
"4962","20","5"
"5002","85","5"
"5033","48534","2"
"5098","48554","2"
"5114","50","5"
"5115","70","5"
"5129","48572","2"
"5131","48574","2"
"5144","48580","2"
"5145","48582","2"
"5167","48600","2"
"5168","48602","2"
"5175","4","4"
"5189","35","5"
"5203","48734","2"
"5204","48736","2"
"5205","48738","2"
"5221","48802","2"
"5229","48804","2"
"5232","48808","2"
"5234","48810","2"
"5259","48822","2"
"5280","25","5"
"5281","15","5"
"5282","55","5"
"5494","40","5"
"5497","90","5"
"5697","49473","2"
"5701","46854","2"
"5702","46856","2"
"5710","65","5"
"5755","33","5"
"5769","49600","2"
"5813","45","5"
"5925","47228","2"
"5926","47230","2"
"6014","10","5"
"6275","13","4"
"6424","53046","2"
"6454","53074","2"
"6468","120","4"
"6512","53220","2"
"6516","40","4"
"6517","3","5"
"6520","53257","2"
"6521","53259","2"
"6524","51","5"
"6525","57","5"
"6526","69","5"
"6536","96","5"
"6561","53560","2"
"6925","83","5"
"64","0","0"
"138","0","0"
"140","0","0"
"144","0","0"
"148","0","0"
"149","0","0"
"150","0","0"
"151","0","0"
"153","0","0"
"154","0","0"
"155","0","0"
"156","0","0"
"157","0","0"
"164","0","0"
"201","0","0"
"204","0","0"
"205","0","0"
"207","0","0"
"208","0","0"
"212","0","0"
"213","0","0"
"214","0","0"
"219","0","0"
"221","0","0"
"225","0","0"
"228","0","0"
"231","0","0"
"237","0","0"
"253","0","0"
"254","0","0"
"255","0","0"
"256","0","0"
"267","0","0"
"268","0","0"
"269","0","0"
"270","0","0"
"284","0","0"
"286","0","0"
"287","0","0"
"288","0","0"
"289","0","0"
"290","0","0"
"291","0","0"
"294","0","0"
"295","0","0"
"296","0","0"
"297","0","0"
"301","0","0"
"302","0","0"
"329","0","0"
"330","0","0"
"331","0","0"
"332","0","0"
"333","0","0"
"334","0","0"
"335","0","0"
"336","0","0"
"337","0","0"
"357","0","0"
"358","0","0"
"360","0","0"
"362","0","0"
"363","0","0"
"364","0","0"
"367","0","0"
"375","0","0"
"378","0","0"
"379","0","0"
"382","0","0"
"383","0","0"
"384","0","0"
"388","0","0"
"399","0","0"
"400","0","0"
"401","0","0"
"404","0","0"
"405","0","0"
"406","0","0"
"411","0","0"
"413","0","0"
"414","0","0"
"415","0","0"
"416","0","0"
"427","0","0"
"428","0","0"
"429","0","0"
"432","0","0"
"433","0","0"
"434","0","0"
"435","0","0"
"436","0","0"
"437","0","0"
"439","0","0"
"440","0","0"
"441","0","0"
"442","0","0"
"474","0","0"
"475","0","0"
"484","0","0"
"491","0","0"
"884","0","0"
"885","0","0"
"890","0","0"
"891","0","0"
"894","0","0"
"905","0","0"
"991","0","0"
"992","0","0"
"993","0","0"
"994","0","0"
"995","0","0"
"1000","0","0"
"1006","0","0"
"1016","0","0"
"1019","0","0"
"1021","0","0"
"1022","0","0"
"1023","0","0"
"1024","0","0"
"1028","0","0"
"1030","0","0"
"1032","0","0"
"1034","0","0"
"1037","0","0"
"1038","0","0"
"1039","0","0"
"1040","0","0"
"1041","0","0"
"1042","0","0"
"1043","0","0"
"1048","0","0"
"1050","0","0"
"1056","0","0"
"1139","0","0"
"1140","0","0"
"1141","0","0"
"1142","0","0"
"1143","0","0"
"1144","0","0"
"1145","0","0"
"1146","0","0"
"1147","0","0"
"1148","0","0"
"1149","0","0"
"1150","0","0"
"1151","0","0"
"1152","0","0"
"1153","0","0"
"1154","0","0"
"1155","0","0"
"1156","0","0"
"1157","0","0"
"1158","0","0"
"1159","0","0"
"1160","0","0"
"1161","0","0"
"1162","0","0"
"1163","0","0"
"1164","0","0"
"1165","0","0"
"1167","0","0"
"1168","0","0"
"1169","0","0"
"1170","0","0"
