Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"24","Bring Brewmaster Bo to the Unga Ingoo Brewing Cauldron.","Escort Brewmaster Bo","21004","15","0","0","0","0","0"
"25","Bring 200 Unga Jungle Brew to the Brewing Cauldron.","Fill the Brewing Cauldron","27707","15","0","0","1","0","0"
"26","Defeat Captain Ook.","Defeat Captain Ook","21008","15","0","0","2","0","0"
"114","Defeat the corrupted Shado-Pan Leader.","End the Terror","21048","39","0","0","0","0","0"
"115","Delve deeper into the crypt and search the bottom level.","Search the Crypt","22065","39","0","0","2","0","0"
"116","Defeat the monsters attacking the Greenstone villagers.","Rescue the Villagers","20975","40","0","0","0","0","0"
"117","Defeat Vengeful Hui.","Defeat Vengeful Hui","20982","40","0","0","4","0","0"
"118","Find burgled brew barrels in the forest and return them to the village dojo.","Recover Burgled Barrels","21059","40","0","0","2","0","0"
"123","Defeat the Sha corrupted forces inside the Temple of the Jade Serpent.","Temple of the Jade Serpent","21078","44","0","0","0","0","0"
"124","Defeat the forces creating chaos within the Stormstout Brewery.","Stormstout Brewery","21087","45","0","0","0","0","0"
"125","Defeat the forces opposing you within the Shado-Pan Monastery.","Shado-Pan Monastery","21095","46","0","0","0","0","0"
"127","Defeat the Mantid forces assaulting the Gate of the Setting Sun.","Gate of the Setting Sun","21100","48","0","0","0","0","0"
"128","Defeat the Mantid forces sieging the Niuzao Temple.","Siege of Niuzao Temple","21105","49","0","0","0","0","0"
"129","","Mogu'shan Palace","21110","50","0","0","0","0","0"
"130","Defeat the necromantic forces within Scholomance.","Scholomance","21120","51","0","0","0","0","0"
"131","Defeat the forces of the Scarlet Crusade.","Scarlet Halls","21130","52","0","0","0","0","0"
"132","Travel to the Masons' Quarter and awaken the unconscious villagers.","Rescue Greenstone Masons","21126","40","0","0","3","0","0"
"133","Defeat the forces of the Scarlet Crusade inside their monastery.","Scarlet Monastery","21134","53","0","0","0","0","0"
"138","Summon and defeat the mighty dragon turtle, Scar-Shell.","Scar-Shell","21323","58","0","0","0","0","0"
"139","Summon and defeat the grummle-eating, snow-stalking horror, Jol'Grum.","Jol'Grum","21325","58","0","0","1","0","0"
"140","Summon and defeat the playful fire spirit, Liuyang.","Little Liuyang","21327","58","0","0","2","0","0"
"141","Summon and defeat the wandering yaungol warrior, Chagan Firehoof.","Chagan Firehoof","21332","58","0","0","3","0","0"
"142","Summon and defeat the final challenger and then claim your reward from Wodin!","Defeat the Final Challenger!","21334","58","0","0","4","0","0"
