Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","0","0","14400","0","0"
"2","0","0","900","0","0"
"3","0","0","3600","0","0"
"4","0","0","14400","3600","0"
"5","0","0","14400","7200","0"
"6","0","0","14400","10800","0"
"7","0","0","86400","0","0"
"8","0","0","21600","0","0"
"9","0","0","259200","0","0"
"11","0","2","604800","0","1"
"12","0","0","604800","432000","0"
"13","0","2","604800","0","0"
"14","0","0","28800","0","0"
"31","0","0","172800","0","0"
"32","0","0","345600","0","0"
"33","0","0","10","0","0"
"36","0","0","10800","0","0"
"38","0","0","43200","0","0"
"39","0","2","1209600","0","0"
"40","0","2","1209600","9676800","0"
"41","0","0","7200","0","0"
"43","0","0","64800","0","0"
"44","0","0","345600","0","0"
