Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"5","2","7","3","4","100"
"6","0","8","3","1","300"
"8","0","41","3","3","0"
"12","0","14","3","1","0"
"14","2","7","3","5","100"
"16","2","32","3","2","900"
"30","2","7","3","2","100"
"44","0","13","2","1","1000"
"45","0","7","3","1","0"
"74","0","9","3","1","0"
"94","2","7","3","1","100"
"99","2","9","3","3","0"
"102","2","7","3","4","0"
"103","0","9","3","1","50"
"110","2","9","3","3","500"
"111","2","7","3","4","400"
"112","0","7","3","3","100"
"113","2","38","3","2","0"
"114","0","44","3","1","1000"
"115","0","39","0","1","0"
"118","2","9","3","4","99"
"119","0","9","3","1","850"
"120","0","9","0","1","0"
"121","0","3","3","1","0"
"122","0","40","2","1","0"
"174","0","43","3","1","0"
"197","0","9","3","1","150"
"234","2","9","3","2","450"
"244","0","44","3","2","0"
"253","0","13","2","1","0"
"263","0","7","3","3","0"
"311","0","46","3","7","1000"
"322","0","46","3","5","0"
"331","0","31","3","1","0"
"19","2","7","3","4","100"
"29","2","7","3","4","100"
"95","2","7","3","2","100"
"179","2","7","3","2","100"
"46","0","7","3","1","0"
"61","0","7","3","1","0"
"100","0","7","3","1","0"
"129","0","7","3","1","0"
"130","0","7","3","1","0"
"254","0","7","3","1","0"
"255","0","7","3","1","0"
"256","0","7","3","1","0"
"117","2","7","3","1","100"
"104","0","9","3","1","50"
"105","0","9","3","1","50"
