Id,Unknown1,Unknown2
"1","1328","5"
"6","36","4"
"7","32","4"
"8","1341","1"
"10","178","1"
"12","1330","131"
"15","174","130"
"18","1588","9"
"19","1326","91"
"20","116","91"
"33","98","103"
"34","142","5"
"35","144","24"
"36","270","24"
"46","148","27"
"50","201","28"
"51","1231","28"
"98","1581","30"
"100","103","30"
"101","104","30"
"102","105","30"
"103","1582","31"
"104","1583","31"
"105","106","32"
"106","107","32"
"110","1946","31"
"111","1947","31"
"112","673","31"
"113","1584","33"
"114","1585","33"
"119","1945","34"
"120","1586","34"
"121","267","34"
"123","674","35"
"124","675","35"
"125","1948","35"
"126","268","35"
"127","672","35"
"128","677","36"
"129","678","36"
"130","679","36"
"131","1587","36"
"132","1588","36"
"179","192","52"
"180","973","52"
"185","1523","53"
"186","1172","53"
"187","274","53"
"188","1171","54"
"189","1522","54"
"190","1521","53"
"191","1173","53"
"192","1298","55"
"193","1426","56"
"194","556","56"
"195","273","57"
"196","965","57"
"197","1423","57"
"198","1443","57"
"199","1467","57"
"200","1567","57"
"201","1621","57"
"202","1869","57"
"203","2346","31"
"204","206","55"
"205","1560","55"
"206","1453","58"
"207","1448","58"
"208","1457","58"
"210","1442","58"
"212","1406","59"
"214","1395","59"
"215","198","59"
"217","1390","60"
"218","202","60"
"219","1949","58"
"220","111","58"
"222","653","61"
"224","659","61"
"225","1154","61"
"226","112","62"
"227","118","62"
"228","660","63"
"229","670","63"
"230","1153","63"
"231","1159","64"
"233","974","64"
"234","1524","64"
"235","1408","64"
"236","1404","64"
"237","1780","64"
"238","1396","65"
"239","200","65"
"247","306","68"
"248","957","68"
"250","1275","71"
"253","1157","71"
"254","942","71"
"255","275","71"
"256","307","71"
"257","308","71"
"258","972","73"
"259","1413","73"
"260","1256","28"
"261","1938","63"
"262","1391","74"
"269","1432","75"
"270","1532","75"
"271","1591","75"
"272","1270","76"
"273","1274","76"
"274","1295","76"
"275","1179","76"
"276","1180","76"
"277","1412","77"
"278","1365","76"
"279","1565","76"
"280","1397","77"
"281","1410","77"
"285","196","79"
"286","1394","79"
"290","862","80"
"292","194","81"
"294","250","82"
"297","1387","81"
"301","1570","82"
"302","1416","81"
"305","652","83"
"306","309","83"
"308","1277","83"
"310","1400","85"
"322","191","85"
"326","1322","74"
"327","695","86"
"328","697","86"
"330","1334","80"
"333","696","87"
"334","1533","87"
"335","1590","87"
"339","1176","90"
"340","949","90"
"341","963","91"
"343","1402","89"
"344","205","89"
"345","1325","89"
"347","1158","89"
"348","1455","91"
"349","204","92"
"350","1424","92"
"351","1388","92"
"352","1251","92"
"353","1156","92"
"356","1399","93"
"357","1409","93"
"365","979","97"
"366","109","97"
"369","1398","93"
"371","1439","98"
"372","958","99"
"373","1160","31"
"374","1465","91"
"376","1331","98"
"377","115","100"
"378","1429","100"
"379","1053","101"
"381","110","101"
"382","1174","101"
"383","114","102"
"384","167","102"
"385","1389","31"
"386","203","31"
"388","1178","103"
"389","193","104"
"390","1386","104"
"391","1257","103"
"392","2347","105"
"393","908","105"
"395","1375","106"
"399","922","108"
"400","920","108"
"409","252","110"
"410","251","111"
