Id,Unknown0
"11","1116"
"12","1160"
"18","1159"
"19","1158"
"23","1191"
"25","1203"
"32","1152"
"33","1153"
"34","1154"
"38","1277"
"40","1207"
"43","1331"
"44","1330"
"46","1329"
"49","1402"
"54","1220"
"55","1626"
"57","1464"
"60","1478"
"62","1502"
"63","0"
"64","1539"
"65","1549"
"66","1550"
"67","1480"
"68","1528"
"70","1533"
"73","1489"
"79","1616"
"82","1620"
"84","1617"
"86","1612"
"90","1495"
"91","646"
"92","1503"
"94","1611"
"95","870"
"96","1526"
"98","1609"
"99","571"
"100","1599"
"101","1"
"102","1498"
"104","1545"
"115","1511"
"119","1662"
"22","1116"
"24","1116"
"31","1116"
"37","1116"
"39","1116"
"41","1116"
"45","1116"
"48","1116"
"56","1116"
"42","1277"
"47","1329"
"58","1220"
"59","1220"
"61","1220"
"80","1220"
"85","1220"
"87","1220"
"89","1220"
"103","1220"
"105","1220"
"106","1220"
"118","1220"
"121","1220"
"69","0"
"81","0"
"83","0"
"93","0"
"78","1539"
"111","1539"
"113","1539"
"114","1539"
"71","1533"
"72","1533"
"117","1495"
"107","1498"
"116","1511"
"120","1662"
