Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"59","4294924288","4294966918","0","1","0.25","0.5","1","1","-1","0"
"61","4294956800","4294910976","0","1","0.25","0.5","1","1","-1","1"
"68","4278203706","4278231551","10","1","0","0","1","1","19","0"
"74","4278236415","4278198271","0.5","1","0.1","0.2","1","1","2","1"
"75","4278236415","4278198271","0.5","1","0.1","0.2","1","1","1","1"
"93","4294956800","0","0","1","1","1","1","1","-1","0"
"94","4287319463","4283052212","0","0.75","1","1","1","1","11","0"
"96","4281822208","0","0.35","0.9","0","0.15","1","1","2","0"
"97","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"98","4284743483","4287758123","0.2","1","0.1","0","1","1","-1","0"
"104","4283232042","4292945960","0","1","0.5","0.5","1","1","1","1"
"105","4285689780","4280753489","0.5","0.8","0","1","1","1","-1","1"
"112","0","0","0","0","0","0","0.2312312","0.2312312","-1","1"
"113","0","0","0","0","0","0","1","1","-1","0"
"114","4292558912","4293241137","0","1","0","0","0.3","1","-1","0"
"125","4283508441","4292880172","0","1","0.25","0.25","1","1","-1","1"
"136","4278250751","4278240166","0.3","1","0.15","0.3","1","1","2","1"
"138","4278250751","4278240166","0.3","1","0.15","0.3","1","1","1","1"
"142","4294756607","4292037119","4","0.25","0","1","1","1","-1","1"
"144","4294689279","4291504639","0","0.25","1.75","0","1","1","-1","1"
"145","4289670143","0","0","0.75","0","0.25","1","1","-1","0"
"150","4291817514","0","0.6","1","0","0.2","1","1","1","0"
"151","4292995864","0","0.6","1","0","0.2","1","1","2","0"
"165","4278190080","4278219775","0","1","0","1","0.8","0.2","-1","1"
"166","4278224639","0","0","0.35","0.2","0.2","1","1","1","0"
"167","4278222847","0","1.5","0.7","1.3","0.2","1","1","1","0"
"180","0","4279466761","0","1","1","1","0.8","0.2","-1","1"
"181","0","4282846585","0","0.3","0","2","1","1","-1","1"
"182","4278386739","4281533269","0","0.21","0","0","1","1","-1","1"
"183","4278452290","4282454627","0","0.19","0","0","1","1","-1","1"
"184","4278452290","4282454627","0","0.17","0","0","1","1","-1","1"
"185","4278452290","4282786399","0","0.15","0","0","1","1","-1","1"
"186","0","4287251374","0","0.5","1","1","0.9","0.1","-1","1"
"187","4278190080","4294508288","0","1","1","1","0.75","0.3","-1","1"
"188","0","4292816835","0","0.5","1","1","0.9","0.2","-1","1"
"189","4294967295","4278206975","0","0.5","0.35","0.25","0","1","-1","1"
"190","4294967295","4294950400","0","0.5","0.35","0.25","0","1","-1","1"
"191","4286039551","4280380671","0.2","1","0","0.5","1","1","1","1"
"192","4286039551","4280380671","0.2","1","0","0.5","1","1","2","1"
"196","0","4281204480","0","1","1","1","0.6","0.3","-1","1"
"197","4283731613","4278234367","0.6","0.2","0","0","1","1","1","0"
"198","4278190080","4278222591","0","1","0.1","0.2","0","0","1","1"
"199","4278190080","4278222591","0","1","0.1","0.2","0","0","2","1"
"203","0","4283165248","0","0.5","1","1","1","1","-1","1"
"205","4279280898","0","0.5","0.9","0","0.25","1","1","2","0"
"206","4279280898","0","0.5","0.9","0","0.25","1","1","1","0"
"208","4278813363","0","0","0.3","1","0","1","1","-1","0"
"209","4280294736","4282190177","0","0.14","0","0","1","1","-1","1"
"210","4281215592","4282318955","0","0.09","0","0","1","1","-1","1"
"211","4281215592","4282318955","0","0.15","0","0","1","1","-1","1"
"212","4278452290","4282786399","0","0.08","0","0","1","1","-1","1"
"221","4290699805","0","0.6","0.9","0.1","0.1","1","1","1","0"
"223","0","4278199807","0","1","1","1","0.8","0.2","-1","1"
"225","4278190080","4278294715","0","1","1","1","0.8","0.2","-1","1"
"226","0","4294312191","0","1","1","1","0.8","0.2","-1","1"
"227","0","4278255366","0","1","1","1","0.8","0.2","-1","1"
"228","4278473324","4278221098","0","1","0.2","0.2","0.9","0.4","-1","0"
"229","0","4278255562","0","1","1","1","0.8","0.2","-1","1"
"230","0","4278239487","0","1","1","1","0.8","0.2","-1","1"
"231","4290807258","4292102143","0","1","0","0","0.2","0.6","-1","1"
"238","0","4278219775","0","1","1","1","0.8","0.2","-1","1"
"244","4290576364","0","0","1","0","0","1","1","19","0"
"245","4287103130","0","0","0.8","0.25","0.25","1","1","1","0"
"246","4278190080","4284154111","0","1","1","1","0.6","0.5","-1","1"
"248","4278190080","4294902272","0","0.7","1","1","0.8","0.2","-1","1"
"250","4292502542","4293073670","0","0.9","0","0","0.5","1","-1","1"
"252","4294901760","4294901760","0","1","0","0","1","1","-1","4"
"255","0","4290726997","0","0.5","0","0","1","1","-1","5"
"256","4278233087","4278190080","0","0.75","0","0","0.5","0.5","-1","0"
"258","4294909440","4294913792","0.1","1","0","0.5","1","1","19","1"
"262","4282009679","4282075719","0","1","0","0","1","0.1","-1","5"
"263","4278937364","4278190080","0","0.35","0","0","1","1","-1","0"
"264","4278190080","4279856321","0","1","0.15","0.3","1","1","-1","5"
"265","4287976686","0","0","0.8","1","1","1","1","-1","0"
"271","4278190080","4284045949","0.5","0.2","0","0","1","1","-1","1"
"273","4279771903","4289283753","0","1","1","1","1","0.5","-1","5"
"274","0","4285352054","0","0.8","0","0","0.8","0.2","-1","1"
"279","0","4286634196","0","0.5","0.5","0.5","0.8","0.2","-1","1"
"292","4286791096","0","0","0.4","0","0","1","1","-1","0"
"293","4289421823","4284161268","0","1","0","0","0.8","0.2","-1","1"
"294","4289340671","4291988223","0","1","0","0","0.1","0.5","-1","0"
"296","4292973567","0","0","1","0","0","0.75","0.25","-1","1"
"297","4283826294","0","0","1","0","0","0.75","0.25","-1","1"
"299","4285921023","0","0","0.3","0","0","0.7","1","-1","0"
"300","4278190080","4284612863","15","0.4","1","1","0","0.15","-1","1"
"304","0","4278219775","0","1","0","1","0.8","0.2","-1","1"
"305","0","4278219775","0","1","0","1","0.8","0.2","-1","0"
"306","0","4281438228","0","0.75","1","1","0.5","0.4","-1","1"
"307","4294956800","4294910976","0","0.25","0.25","0.5","1","1","-1","1"
"308","4291105032","4289534477","0","1","0.2","0.2","0.9","0.4","-1","0"
"309","4280076570","4280589370","0","1","0.2","0.2","0.9","0.4","-1","0"
"311","0","4288106703","0","0.5","0","0","1","1","-1","0"
"312","4289296881","0","0","0.5","0","0","0.8","0.2","-1","1"
"315","4293948714","0","0.6","1","0","0.2","1","1","1","0"
"316","4293948714","0","0.6","1","0","0.2","1","1","2","0"
"318","4294967275","4294967184","0","1","0","1","0.8","0.2","-1","1"
"319","4288933375","0","0","0.6","0","0","0.75","0.25","-1","0"
"322","4283672421","0","0","0.7","0","0","0.75","0.25","-1","0"
"323","0","4280614206","0","1","0","0","0.8","0.2","-1","1"
"324","4293316160","4294967295","0","0.5","0","0","1","1","-1","0"
"326","4278190080","4285219951","0","1","0.5","0.5","0.8","0.2","-1","1"
"328","4284088463","4290665215","0","0.5","0","0","0.7","0.3","-1","0"
"329","4278190080","4291344339","0","0.25","0","0","0.8","0.2","-1","1"
"330","4278190080","4291344339","0","0.5","0","0","0.8","0.2","-1","1"
"331","0","4284253256","1","0.5","0","9","0.1","0.5","-1","1"
"332","4289414375","0","0","0.25","0","0","1","1","-1","0"
"333","0","4283134274","0","1","0","0","0.2","0.8","19","1"
"336","4278190080","4278193663","0","1","0","1","0.5","0.2","-1","1"
"337","0","4288046740","0","0.75","0.5","3","0.8","0.2","-1","1"
"338","4288762316","4287910579","0.1","1","0","0.15","1","1","2","0"
"339","4284881041","4289471724","0.1","0.8","0","0.3","1","1","1","1"
"340","4294902528","0","0","0.1","0","0","1","1","-1","0"
"342","4284212527","0","0","1","0","0","0.5","1","-1","0"
"343","0","4286754170","0","0.8","0","0","0.8","0.2","-1","1"
"344","0","4286754170","0","0.8","0","0","0.8","0.2","34","1"
"345","4283433068","0","0.35","0.9","0","0.3","1","1","2","0"
"346","4283433068","0","0.35","0.6","0","0.3","1","1","1","0"
"348","4282570030","4278190080","4.5","0.9","0.25","0.25","1","1","1","0"
"349","0","4280549120","0.5","1","0","1","1","1","-1","0"
"350","4280925836","4278190080","4.5","0.9","0.25","0.25","1","1","2","0"
"351","0","4280549120","0","1","1.5","0","1","1","-1","0"
"353","4293984000","4294949120","0","1","0","0","1","1","-1","1"
"354","4278190080","4294920778","0","1","0","1","0.2","0.8","-1","1"
"355","0","4285082487","0","0.75","10","10","0.2","0.8","-1","1"
"356","4290152131","0","0","0.5","3","3","0.1","1","-1","0"
"360","4281822208","0","0.35","0.6","0","0.15","1","1","27","0"
"364","4281822208","0","0.35","0.6","0","0.15","1","1","26","0"
"378","4294060031","4283367587","1","0","0","0","0.8","0.2","-1","0"
"379","4294060031","4283367587","1","1","0.2","0.2","0.8","0.2","-1","1"
"380","4293132543","0","0","1","0","0","1","1","-1","0"
"383","4281829337","0","0","0.3","0.15","0.15","1","1","1","0"
"384","4281829337","0","0","0.3","0.15","0.15","1","1","2","0"
"386","4287106998","0","0","0.5","0.15","0.15","1","1","34","0"
"390","4283236096","4278190080","0","0.2","0","0","1","1","-1","0"
"398","4278190080","4289855743","0","1","0","1","0.8","0.2","-1","1"
"400","4284406313","4294506744","0","1","0","0","1","1","34","0"
"403","4289977583","4293899213","0","0.85","0.1","0.1","0.4","1","-1","0"
"404","4278190080","4283039943","0","1","1","1","0.8","0.2","-1","0"
"406","4291438068","0","0","0.8","0","0","0.8","1","-1","1"
"407","0","4283627289","0","0.5","1","1","1","1","-1","0"
"408","4278190080","4294377338","0","0.8","0","1","0.8","0.2","-1","1"
"410","0","4289368500","0","0.5","0.25","0.75","0.8","0.2","-1","1"
"413","0","4283975006","0","1","0.25","0.75","0.9","0.1","-1","1"
"417","4286452926","0","0.6","1","0","0.2","1","1","1","0"
"418","4286452926","0","0.6","1","0","0.2","1","1","2","0"
"419","4278190080","4287577539","0","0.5","0","0","1","0.5","1","1"
"420","4278190080","4287577539","0","0.5","0","0","0.5","1","2","1"
"422","0","4278198527","0","0.75","0","0","0.8","0.4","-1","1"
"427","4281675918","4278714623","0","0.65","1","1","0.35","1","-1","1"
"435","4294964612","0","0","0.25","0.5","0.5","1","1","-1","0"
"438","0","4288330375","0","0.8","0","0","0.2","0.8","-1","1"
"442","4278190080","4278208438","0","1","1","1","0.8","0.2","-1","1"
"443","0","4278976501","0","1","0","0","0.8","0.2","-1","1"
"445","0","4278252543","0","0.75","0","0","0.5","0.5","-1","1"
"450","0","4278252543","0","0.75","0","0","0.5","0.5","-1","0"
"452","0","4278198527","0","0.5","0","0","0.6","0.4","-1","1"
"457","4280051999","4281589279","0","0.75","0","0","0.5","1","-1","1"
"460","0","4289855381","0","1","1","1","0.8","0.2","-1","1"
"462","4278190080","4281270016","0","0.5","1","1","0.8","0.2","-1","1"
"466","0","4288014203","0","0.25","1","1","0.8","0.2","-1","1"
"469","0","4287103199","1","1","1","1","0.8","0.2","-1","1"
"478","0","4289951999","0","1","0.1","0.2","0.8","0.2","-1","1"
"479","0","4289951999","0","1","0.1","0.2","0.8","0.2","-1","0"
"481","0","4289679359","2","1","0.1","0.2","0.8","0.2","-1","1"
"483","0","4291204607","0","1","1","1","0.8","0.2","-1","1"
"484","0","4284480849","1","1","0.1","0.8","0.2","0.8","-1","1"
"489","4278976256","4292083606","0","1","0","0","0.2","0.8","-1","0"
"77","4278236415","4278198271","0.5","1","0.1","0.2","1","1","2","1"
"78","4278236415","4278198271","0.5","1","0.1","0.2","1","1","1","1"
"359","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"361","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"363","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"365","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"367","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"369","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"371","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"373","4281822208","0","0.35","0.6","0","0.15","1","1","1","0"
"123","4285689780","4280753489","0.5","0.8","0","1","1","1","-1","1"
"399","4285689780","4280753489","0.5","0.8","0","1","1","1","-1","1"
"401","4285689780","4280753489","0.5","0.8","0","1","1","1","-1","1"
"437","4285689780","4280753489","0.5","0.8","0","1","1","1","-1","1"
"391","4291817514","0","0.6","1","0","0.2","1","1","1","0"
"414","4291817514","0","0.6","1","0","0.2","1","1","1","0"
"392","4292995864","0","0.6","1","0","0.2","1","1","2","0"
"415","4292995864","0","0.6","1","0","0.2","1","1","2","0"
"397","4278190080","4278219775","0","1","0","1","0.8","0.2","-1","1"
"204","4278386739","4281533269","0","0.21","0","0","1","1","-1","1"
"213","4278452290","4282454627","0","0.19","0","0","1","1","-1","1"
"214","4278452290","4282454627","0","0.17","0","0","1","1","-1","1"
"215","4278452290","4282786399","0","0.15","0","0","1","1","-1","1"
"202","4278190080","4294508288","0","1","1","1","0.75","0.3","-1","1"
"288","0","4283165248","0","0.5","1","1","1","1","-1","1"
"357","4279280898","0","0.5","0.9","0","0.25","1","1","2","0"
"423","4279280898","0","0.5","0.9","0","0.25","1","1","2","0"
"358","4279280898","0","0.5","0.9","0","0.25","1","1","1","0"
"424","4279280898","0","0.5","0.9","0","0.25","1","1","1","0"
"219","4280294736","4282190177","0","0.14","0","0","1","1","-1","1"
"218","4281215592","4282318955","0","0.09","0","0","1","1","-1","1"
"217","4281215592","4282318955","0","0.15","0","0","1","1","-1","1"
"216","4278452290","4282786399","0","0.08","0","0","1","1","-1","1"
"310","4278473324","4278221098","0","1","0.2","0.2","0.9","0.4","-1","0"
"249","4278190080","4294902272","0","0.7","1","1","0.8","0.2","-1","1"
"254","4278190080","4294902272","0","0.7","1","1","0.8","0.2","-1","1"
"266","4278190080","4279856321","0","1","0.15","0.3","1","1","-1","5"
"375","4289340671","4291988223","0","1","0","0","0.1","0.5","-1","0"
"393","4293948714","0","0.6","1","0","0.2","1","1","1","0"
"394","4293948714","0","0.6","1","0","0.2","1","1","2","0"
"335","0","4283134274","0","1","0","0","0.2","0.8","19","1"
"395","4278190080","4278193663","0","1","0","1","0.5","0.2","-1","1"
"411","4288762316","4287910579","0.1","1","0","0.15","1","1","2","0"
"412","4284881041","4289471724","0.1","0.8","0","0.3","1","1","1","1"
"362","4281822208","0","0.35","0.6","0","0.15","1","1","27","0"
"366","4281822208","0","0.35","0.6","0","0.15","1","1","26","0"
"368","4281822208","0","0.35","0.6","0","0.15","1","1","26","0"
"370","4281822208","0","0.35","0.6","0","0.15","1","1","26","0"
"372","4281822208","0","0.35","0.6","0","0.15","1","1","26","0"
"374","4281822208","0","0.35","0.6","0","0.15","1","1","26","0"
