Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"43","Swords","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"44","Axes","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"45","Bows","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"46","Guns","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"54","Maces","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"55","Two-Handed Swords","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"95","Defense","Higher defense improves your chance to dodge, parry, and block attacks, makes you harder to hit,  and makes monsters less likely to land a critical strike against you.","","1","640","6","0","0"
"98","Language: Common","","","1","128","10","0","0"
"101","Racial - Dwarf","Racial - Dwarf","","1","33938","9","0","0"
"109","Language: Orcish","","","1","128","10","0","0"
"111","Language: Dwarven","","","1","128","10","0","0"
"113","Language: Darnassian","","","1","128","10","0","0"
"115","Language: Taurahe","","","1","128","10","0","0"
"118","Dual Wield","Dual Wield","","1","146","6","0","0"
"124","Racial - Tauren","Racial - Tauren","","1","33938","9","0","0"
"125","Racial - Orc","Racial - Orc","","1","32914","9","0","0"
"126","Racial - Night Elf","Racial - Night Elf","","1","33938","9","0","0"
"129","First Aid","Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.","","504","4224","9","1","0"
"136","Staves","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"137","Language: Thalassian","","","1","128","10","0","0"
"138","Language: Draconic","","","1","128","10","0","0"
"139","Language: Demon Tongue","The twisted language of demons.","","3430","128","10","0","0"
"140","Language: Titan","","","1","128","10","0","0"
"141","Language: Old Tongue","","","1","128","10","0","0"
"142","Survival","","","1","0","9","0","0"
"148","Horse Riding","","","1","1170","9","0","0"
"149","Wolf Riding","","","1","1170","9","0","0"
"150","Tiger Riding","","","1","1170","9","0","0"
"152","Ram Riding","","","1","1170","9","0","0"
"155","Swimming","","","1","0","9","0","0"
"160","Two-Handed Maces","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"162","Unarmed","Higher skill increases your chance to hit.","","1","128","6","0","0"
"164","Blacksmithing","Higher smithing skill allows you to learn higher level smithing plans.  Blacksmithing plans can be found on trainers around the world as well as from quests and monsters.","Modify","335","4224","11","1","0"
"165","Leatherworking","Higher leatherworking skill allows you to learn higher level leatherworking patterns.  Leatherworking patterns can be found on trainers around the world as well as from quests and monsters.","Emboss","346","4224","11","1","0"
"171","Alchemy","Higher alchemy skill allows you to learn higher level alchemy recipes.  Alchemy recipes can be found on trainers around the world as well as from quests and monsters.","Refill","339","4224","11","1","0"
"172","Two-Handed Axes","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"173","Daggers","Higher weapon skill increases your chance to hit.","","1","128","6","0","0"
"182","Herbalism","Higher herbalism skill allows you to harvest more difficult herbs around the world.  If you cannot harvest a specific herb, then increase your skill by harvesting easier to gather herbs in lower level areas.","","345","4224","11","0","0"
"183","GENERIC (DND)","General skills.","","1","1170","12","0","0"
"185","Cooking","Higher cooking skill allows you to learn higher level cooking recipes.  Recipes can be found on trainers around the world as well as from quests and as drops from monsters.","","1467","128","9","1","0"
"186","Mining","Higher mining skill allows you to harvest more difficult minerals nodes around the world.  If you cannot harvest a specific mineral, then increase your skill by mining easier to mine minerals in lower level areas.","","2418","4224","11","0","0"
"188","Pet - Imp","","","1","0","7","0","0"
"189","Pet - Felhunter","","","1","0","7","0","0"
"197","Tailoring","Higher tailoring skill allows you to learn higher level tailoring patterns.  Tailoring patterns can be found on trainers around the world as well as from quests and monsters.","Embroider","341","4224","11","1","0"
"202","Engineering","Higher engineering skill allows you to learn higher level engineering schematics.  Schematics can be found on trainers around the world as well as from quests and monsters.","Tinker","333","4224","11","1","0"
"203","Pet - Spider","","","1","0","7","0","0"
"204","Pet - Voidwalker","","","217","0","7","0","0"
"205","Pet - Succubus","","","1","0","7","0","0"
"206","Pet - Infernal","","","1","0","7","0","0"
"207","Pet - Doomguard","Doomguard","","1","0","7","0","0"
"208","Pet - Wolf","","","1","0","7","0","0"
"209","Pet - Cat","","","1","0","7","0","0"
