Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
"246","264","0","0","0","45","1","0","0","0","0","2","1","13"
"248","196","0","0","0","44","1","0","0","0","0","2","1","2671"
"251","266","0","0","0","46","1","0","0","0","0","2","1","13"
"252","201","0","0","0","43","1","0","0","0","0","2","1","2991"
"254","198","0","0","0","54","1","0","0","0","0","2","1","1659"
"256","202","0","0","0","55","1","0","0","0","0","2","1","39"
"490","204","0","0","0","95","1","0","0","0","0","2","1","0"
"590","668","18875469","0","0","98","1","0","0","0","0","2","1","0"
"592","669","33555378","0","0","109","1","0","0","0","0","2","1","0"
"594","672","4","0","0","111","1","0","0","0","0","2","1","0"
"596","671","8","0","0","113","1","0","0","0","0","2","1","0"
"598","670","32","0","0","115","1","0","0","0","0","2","1","0"
"610","674","0","0","0","118","1","0","0","0","0","2","1","2573"
"689","81","0","0","0","95","1","0","0","0","0","2","1","0"
"700","227","0","0","0","136","1","0","0","0","0","2","1","2005"
"724","815","0","0","0","139","1","0","0","0","0","2","1","0"
"725","814","0","0","0","138","1","0","0","0","0","2","1","0"
"726","817","0","0","0","141","1","0","0","0","0","2","1","0"
"727","813","512","0","0","137","1","0","0","0","0","2","1","0"
"728","816","0","0","0","140","1","0","0","0","0","2","1","0"
"736","825","0","0","0","149","1","0","0","0","0","0","1","0"
"737","828","0","0","0","150","1","0","0","0","0","1","1","0"
"739","826","0","0","0","152","1","0","0","0","0","1","1","0"
"1236","203","0","0","0","162","1","0","0","0","0","2","1","0"
"1283","2018","0","0","0","164","1","1","1","1","0","0","1","0"
"1328","2108","0","0","0","165","1","1","1","1","0","0","1","0"
"1353","2149","0","0","0","165","1","70","40","2","258","1","1","0"
"1355","2153","0","0","0","165","30","75","45","3","257","0","1","0"
"1356","2152","0","0","0","165","1","60","30","4","249","1","1","0"
"1359","2158","0","0","0","165","45","150","120","5","258","0","1","0"
"1360","2159","0","0","0","165","1","135","105","6","259","0","1","0"
"1362","2160","0","0","0","165","50","100","70","7","253","0","1","0"
"1363","2161","0","0","0","165","65","115","85","8","258","0","1","0"
"1364","2162","0","0","0","165","65","120","90","9","259","0","1","0"
"1365","2163","0","0","0","165","70","120","90","10","253","0","1","0"
"1366","2164","0","0","0","165","70","135","105","11","255","0","1","0"
"1367","2165","0","0","0","165","75","130","115","12","249","0","1","0"
"1368","2166","0","0","0","165","125","170","145","13","253","0","1","0"
"1369","2167","0","0","0","165","100","150","125","14","258","0","1","0"
"1370","2168","0","0","0","165","110","160","135","15","259","0","1","0"
"1371","2169","0","0","0","165","100","150","125","16","253","0","1","0"
"1374","2259","0","0","0","171","1","1","1","1","0","0","1","0"
"1377","2330","0","0","0","171","1","95","55","2","134","1","1","0"
"1378","2329","0","0","0","171","1","95","55","3","135","1","1","0"
"1379","2331","0","0","0","171","30","105","65","4","134","0","1","0"
"1380","2332","0","0","0","171","40","110","70","5","134","0","1","0"
"1382","2334","0","0","0","171","50","120","80","6","135","0","1","0"
"1383","2335","0","0","0","171","60","130","90","7","134","0","1","0"
