Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"4","4294967295","95","640","0","1","0","65535"
"5","4294967295","183","1170","0","1","0","65535"
"6","4294967295","162","128","0","1","0","65535"
"21","4294967295","293","128","0","1","1","3"
"27","4294967295","356","16512","23","0","0","65535"
"28","4294967295","182","4256","2","0","0","65535"
"29","4294967295","186","4256","2","0","0","65535"
"30","4294967295","393","4256","161","0","0","65535"
"40","18875469","98","128","0","1","0","65535"
"41","33555378","98","160","21","0","0","65535"
"42","8","113","128","0","1","0","65535"
"43","60819447","113","160","21","0","0","65535"
"44","4","111","128","0","1","0","65535"
"45","60819451","111","160","21","0","0","65535"
"46","64","313","128","0","1","0","65535"
"47","60819391","313","160","21","0","0","65535"
"48","33555378","109","128","0","1","0","65535"
"49","18875469","109","160","21","0","0","65535"
"50","32","115","128","0","1","0","65535"
"51","60819423","115","160","21","0","0","65535"
"52","128","315","128","0","1","0","65535"
"53","60819327","315","160","21","0","0","65535"
"68","4","101","33938","0","1","0","65535"
"69","8","126","33938","0","1","0","65535"
"70","2","125","32914","0","1","0","65535"
"71","32","124","33938","0","1","0","65535"
"72","16","220","33938","0","1","0","65535"
"84","4294967295","139","160","21","0","0","2047"
"85","2099199","138","128","0","0","0","1535"
"86","4294967295","129","4224","63","0","0","4063"
"87","1","148","1170","181","0","0","1535"
"88","2099199","141","160","21","0","0","1535"
"89","2097156","152","1170","181","0","0","1535"
"91","60818943","137","160","21","0","0","65535"
"92","8","150","1170","181","0","0","1503"
"93","2099199","140","128","0","0","0","1535"
"94","2","149","1170","181","0","0","1503"
"124","4294967295","160","128","0","1","0","1123"
"127","4294967295","45","128","0","1","0","13"
"131","4294967295","118","146","0","1","1","12"
"134","4294967295","46","128","0","1","0","13"
"136","4294967295","229","128","0","1","0","1575"
"138","4294967295","136","128","0","1","0","2005"
"144","4294967295","228","146","0","1","0","400"
"145","4294967295","413","128","0","1","1","68"
"146","4294967295","413","128","0","1","0","35"
"147","4294967295","414","128","0","1","0","3695"
"148","4294967295","415","128","0","1","0","65535"
"241","4294967295","171","4256","41","0","0","65535"
"243","4294967295","164","4256","41","0","0","65535"
"244","4294967295","202","4256","41","0","0","65535"
"246","4294967295","433","128","0","1","0","67"
"281","4294967295","333","4256","62","0","0","65535"
"282","4294967295","185","128","61","0","0","65535"
"284","4294967295","197","4256","62","0","0","65535"
"330","4294967295","473","130","0","1","0","3661"
"441","2097374","148","1170","182","0","0","1535"
"442","2097371","152","1170","182","0","0","1535"
"443","509","149","1170","182","0","0","1535"
"445","128","533","1170","181","0","0","1535"
"446","95","533","1170","182","0","0","1503"
"461","64","553","1170","181","0","0","1535"
"463","16","554","1170","181","0","0","1503"
"464","207","554","1170","182","0","0","1535"
"481","215","150","1170","182","0","0","1535"
"501","4","553","1170","182","0","0","1535"
"628","4294967295","44","128","0","1","0","2671"
"632","4294967295","173","128","0","1","0","3549"
"741","16","673","128","0","1","0","65535"
"742","60819439","673","160","21","0","0","65535"
"781","2097407","713","1170","181","0","0","1535"
"841","128","733","33938","0","1","0","65535"
"861","64","753","33938","0","1","0","65535"
"862","1","754","33938","0","1","0","65535"
"865","2047","142","0","0","0","0","1535"
"866","4294967295","755","4256","41","0","0","65535"
"867","512","756","32914","0","1","0","65535"
"872","4294967295","43","128","0","1","0","2991"
"875","1024","759","128","0","1","0","65535"
"876","60818431","759","0","21","0","0","65535"
"877","1024","760","32914","0","1","0","65535"
"879","4294967295","226","128","0","1","0","13"
"882","512","137","128","0","1","0","65535"
"883","4294967295","118","402","0","2","0","64"
"888","4294967295","54","128","0","1","0","1659"
"890","58722303","762","144","223","0","0","1757"
"892","4294967295","769","1040","0","0","0","65535"
"899","4294967295","165","4256","41","0","0","65535"
"900","4294967295","773","4256","41","0","0","65535"
"901","4294967295","55","128","0","1","0","39"
"906","4294967295","293","128","0","1","0","32"
"913","2099199","118","146","0","1","0","32"
"925","4294967295","129","4224","63","1","0","32"
"934","2099199","762","144","223","1","0","2080"
"938","4294967295","777","2","0","1","0","65535"
"939","4294967295","778","2","0","0","0","65535"
"960","2097152","789","42130","0","1","0","1535"
"961","256","790","42130","0","1","0","1535"
"962","256","792","128","0","1","0","65535"
"963","60819199","792","160","21","0","0","65535"
"964","2097152","791","128","0","0","0","65535"
"965","58722303","791","160","21","0","0","65535"
"970","4294967295","172","128","0","1","0","103"
"978","4294967295","794","128","224","0","0","65535"
"980","4294967295","795","1048","0","1","0","4"
"982","4294967295","796","1048","0","1","0","32"
"983","2099199","798","1048","0","1","0","1024"
"985","4294967295","800","1048","0","1","0","2"
"991","4294967295","804","1048","0","1","0","16"
"998","4294967295","810","130","0","1","0","65535"
"1003","2097152","762","144","223","1","20","1437"
"1004","2047","762","144","223","1","20","258"
"1011","4294967295","821","2","0","0","0","65535"
"1029","4294967295","829","1048","0","1","0","512"
"1084","4294967295","840","1048","0","1","0","1"
"1099","4294967295","849","1052","0","1","0","256"
"1127","58720256","899","32914","0","1","0","65535"
"1133","4294967295","904","1048","0","1","0","128"
"1134","58720256","905","0","0","1","0","65535"
"1150","4294967295","921","1048","0","1","0","8"
"1155","4294967295","924","1048","0","1","0","64"
"1160","4294967295","934","0","0","1","0","65535"
"1180","4294967295","960","128","0","0","0","32"
"1188","4294967295","975","0","230","0","0","65535"
"1189","4294967295","976","0","233","0","0","65535"
"1190","4294967295","977","0","236","0","0","65535"
"1191","4294967295","978","0","237","0","0","65535"
"1192","4294967295","979","0","235","0","0","65535"
"1193","4294967295","980","0","234","0","0","65535"
"1194","2099199","905","0","0","0","0","65535"
"1196","4294967295","981","0","61","0","0","65535"
"1197","4294967295","982","0","61","0","0","65535"
"1645","0","1830","6","41","1","1","0"
"1660","4294967295","1848","1048","0","1","0","2048"
"1661","520","118","146","0","1","0","2048"
"1718","4294967295","1945","128","295","0","0","65535"
"1750","4294967295","2000","2","0","0","0","65535"
"1853","4294967295","2152","128","0","1","0","2048"
"1873","4294967295","139","160","0","1","0","2048"
"947","4294967295","778","2","0","0","0","65535"
"1012","4294967295","778","2","0","0","0","65535"
"1027","4294967295","778","2","0","0","0","65535"
