Id,Unknown0,Unknown1,Unknown2
"125","757","25245","25245"
"131","770","25500","25500"
"132","775","25500","25500"
"133","778","25500","25500"
"134","779","25500","25500"
"135","779","25539","25539"
"136","779","25540","25540"
"137","778","25541","25541"
"150","796","25539","25539"
"152","801","25604","25604"
"153","804","25604","25604"
"154","805","25610","25610"
"155","806","25500","25500"
"158","809","25644","25644"
"159","806","25644","25644"
"170","829","25855","25855"
"171","829","25856","25856"
"172","829","25857","25857"
"173","829","25858","25858"
"215","902","26776","0"
"217","958","27189","27189"
"218","937","27189","27189"
"219","960","27190","27190"
"220","960","27189","27189"
"221","962","27186","27186"
"222","952","27187","27187"
"223","954","27187","27187"
"225","965","27222","27222"
"228","968","27231","27231"
"230","970","27235","27235"
"232","971","27189","27189"
"233","972","27235","27235"
"235","973","27238","27239"
"239","976","27243","27243"
"240","976","27244","27244"
"241","977","27246","27246"
"242","978","27246","27246"
"243","979","27248","27248"
"246","982","27253","27253"
"247","983","27253","27253"
"248","983","27188","27188"
"249","984","27253","27253"
"254","985","32023","32023"
"255","985","27243","27243"
"261","991","27271","27271"
"262","993","27244","27244"
"273","1005","26776","0"
"276","1007","31824","31824"
"277","1010","31841","31841"
"279","1013","27188","27188"
"280","1014","31923","31923"
"281","1014","26776","26776"
"282","1014","31924","31924"
"283","1015","31824","31824"
"284","1016","31824","31824"
"285","1016","31981","31981"
"286","1016","31979","31979"
"287","1017","31824","31824"
"288","1017","31981","31981"
"289","1017","31980","31980"
"290","985","32010","32010"
"291","1018","27190","27190"
"294","1019","32091","32091"
"296","1019","32095","32095"
"297","1019","32094","32094"
"298","1019","32092","32092"
"299","1021","32091","32091"
"300","1021","32095","32095"
"301","1021","32094","32094"
"302","1021","32092","32092"
"304","997","32081","32081"
"305","918","32084","32080"
"315","1029","32166","32166"
"316","1029","32165","32165"
"317","1029","32756","32756"
"319","1031","32177","32177"
"320","1031","32179","32179"
"321","1031","32180","32180"
"322","1032","32183","32183"
"323","1033","32188","0"
"325","1036","32259","32259"
"326","1037","32177","32177"
"327","1038","32177","32177"
"328","1038","32267","32267"
"329","1029","32757","32757"
"330","1042","27189","27189"
"331","1042","32974","32974"
"332","1042","27186","27186"
"333","1042","32023","32023"
"335","1018","33056","33056"
"336","1043","32080","32083"
"337","1043","33117","33117"
"338","1043","33118","33118"
"339","1044","33173","33173"
"341","1046","33214","33214"
"342","1046","33213","33213"
"343","1046","33212","33212"
"344","1046","33257","33257"
"345","1047","27187","27187"
"346","1047","33287","33287"
"347","916","33350","33350"
"348","916","33348","33348"
"349","918","33347","33347"
"350","919","0","33349"
"351","919","0","33352"
"352","919","33392","33392"
"353","1048","33343","33343"
"354","996","33350","33350"
"355","996","33395","33395"
"356","996","33348","33348"
"357","997","33413","33413"
"358","1049","33214","33214"
"359","1049","33213","33213"
"360","1049","33212","33212"
"361","1049","33257","33257"
"362","1050","32756","32756"
"363","1051","32756","32756"
"364","1052","32756","32756"
"365","1052","25500","25500"
"366","1051","25500","25500"
"367","1050","25500","25500"
"368","1053","32188","32188"
"369","930","33572","33572"
"370","930","33571","33571"
"371","925","33574","33574"
"372","926","33575","33575"
"373","802","33572","33572"
"374","802","33595","33595"
"375","1044","33601","33601"
"376","1054","33619","33619"
"377","1054","33621","33621"
"378","1055","33632","33632"
"379","1055","33633","33633"
"380","1055","33634","33634"
"381","1055","33635","33635"
"382","1056","33633","33633"
"383","1056","33635","33635"
"386","918","0","33665"
"387","976","33712","33712"
"388","1058","27246","27246"
"389","1060","27244","27244"
"390","1060","33926","33926"
"392","1061","33926","33926"
"393","1012","33717","33717"
"394","1012","34612","34612"
"395","1066","34951","34951"
"396","1066","34952","34952"
"397","1066","34953","34953"
"398","1066","34954","34954"
"399","1066","34946","34946"
"400","1066","34947","34947"
"401","1066","34948","34948"
"402","1066","34949","34949"
"403","1067","33173","33173"
"405","1068","35010","35010"
"406","1068","35011","35011"
"407","1069","35017","35017"
"408","1069","35018","35018"
"409","1069","35019","35019"
"410","1070","35021","35021"
"413","1069","35022","35022"
"414","1071","35023","35023"
"415","1071","35024","35024"
"416","1071","35025","35025"
"418","1072","35028","35028"
"419","1072","35029","35029"
"420","1073","35033","35033"
"422","1073","35034","35034"
"423","1074","35036","35036"
"424","1074","35037","35037"
"425","1075","35028","35028"
"426","1075","35029","35029"
"427","1076","35044","35044"
"428","1077","35044","35044"
"429","1077","35046","35046"
"430","1077","35047","35047"
