Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
"1","1","1","0","0","128","0","128","0","128","128","22"
"2","0.95","0.95","1","0","120","0","120","0","254","255","0"
"3","0.9","0.9","1","0","20","0","20","0","35","30","2"
"4","0.95","0.92","1","1","20","0","20","0","20","20","1"
"5","1","1","2","1","50","0","50","0","50","50","24"
"6","1","1","5","0","140","0","140","0","5","5","25"
"7","1","1","5","0","140","0","140","0","5","5","26"
"8","0.95","0.9","5","0","60","0","60","0","10","10","27"
"9","1","1","5","0","50","0","50","0","5","5","28"
"10","1","1","5","0","140","0","140","0","10","10","29"
"11","1","1","5","0","60","0","60","0","15","15","30"
"12","0.75","0.5","2","0","140","0","140","0","100","100","31"
"13","1","1","1","1","40","0","40","0","20","20","3"
"14","0.85","0.85","2","0","100","0","100","0","65","65","36"
"15","0.9","0.9","2","0","80","0","80","0","30","30","38"
"16","0.9","0.9","12","0","140","0","140","0","25","25","34"
"17","1","1","15","0","80","0","80","0","20","20","49"
"18","1","1","14","0","100","0","100","0","10","10","39"
"19","1","0.75","12","0","220","0","220","0","5","5","35"
"20","1","1","13","1","128","0","128","0","5","5","11"
"22","1","0.75","12","0","230","30","230","30","15","15","32"
"24","1","1","14","0","120","0","120","0","5","5","37"
"25","1","1","1","1","128","0","128","0","30","30","6"
"26","1","1","4","1","128","0","128","0","20","20","8"
"27","1","1","2","0","128","0","128","0","15","15","7"
"28","0.9","0.9","3","0","128","0","128","0","20","20","9"
"29","1","1","1","1","128","0","128","0","30","30","10"
"184","1","0.75","12","0","180","0","180","0","20","20","40"
"185","1","1","14","0","100","0","100","0","15","15","43"
"186","1","0.75","12","0","200","0","200","0","15","15","48"
"187","1","1","5","0","80","0","80","0","10","10","47"
"188","1","1","14","0","120","0","120","0","5","5","45"
"189","1","0.75","12","0","240","0","240","0","15","15","41"
"190","1","1","14","0","140","0","140","0","10","10","44"
"191","1","0.75","12","0","160","0","160","0","20","20","46"
"192","1","1","14","0","100","0","100","0","15","15","42"
"193","1","1","2","1","30","0","30","0","5","5","33"
"197","0.9","0.9","2","0","245","30","250","30","30","30","54"
"198","1","1","5","0","50","0","50","0","15","15","55"
"209","1","0.75","12","0","210","30","210","30","30","30","56"
"210","0.5","0.5","15","0","80","0","80","0","6","6","57"
"211","1","0.75","2","0","200","0","200","0","25","25","58"
"213","1","1","1","1","128","0","128","0","75","75","5"
"224","1","0.9","12","0","190","0","190","0","10","10","60"
"225","1","1","5","0","90","0","90","0","10","10","59"
"226","1","1","14","0","130","0","130","0","5","5","61"
"227","1","1","0","0","128","0","128","0","255","255","22"
"228","1","1","227","1","40","0","40","0","20","20","3"
"229","1","1","228","1","128","0","128","0","5","5","11"
"230","1","1","227","0","20","0","20","0","20","20","2"
"231","1","1","230","0","128","0","128","0","20","20","9"
"232","1","1","227","1","128","0","128","0","30","30","6"
"233","1","1","227","1","128","0","128","0","30","30","10"
"234","0.95","0.95","227","0","120","0","120","0","254","255","0"
"235","1","0.75","234","0","200","0","200","0","50","50","58"
"236","0.9","0.8","234","0","245","30","250","30","25","25","54"
"237","1","1","234","1","30","0","30","0","15","15","33"
"238","0.85","0.85","234","0","100","0","100","0","80","80","36"
"239","1","1","238","0","120","0","120","0","10","10","37"
"240","1","1","238","0","100","0","100","0","15","15","43"
"241","1","1","238","0","100","0","100","0","15","15","42"
"242","1","1","238","0","120","0","120","0","10","10","45"
"243","1","1","238","0","140","0","140","0","10","10","44"
"244","1","1","238","0","100","0","100","0","15","15","39"
"245","1","1","238","0","130","0","130","0","10","10","61"
"246","1","1","234","0","128","0","128","0","15","15","7"
"247","1","1","234","0","80","0","80","0","30","30","38"
"248","0.5","0.5","247","0","80","0","80","0","6","6","57"
"249","1","1","247","0","80","0","80","0","20","20","49"
"250","0.75","0.5","234","0","140","0","140","0","150","150","31"
"251","0.9","0.9","250","0","140","0","140","0","25","25","34"
"252","1","0.75","250","0","210","30","210","30","30","30","56"
"253","1","0.75","250","0","220","0","220","0","5","5","35"
"254","1","0.75","250","0","180","0","180","0","20","20","40"
"255","1","0.75","250","0","190","0","190","0","10","10","60"
"256","1","0.75","250","0","240","0","240","0","15","15","41"
"257","1","0.75","250","0","160","0","160","0","25","25","46"
"258","1","0.75","250","0","200","0","200","0","15","15","48"
"259","1","0.75","250","0","230","30","230","30","15","15","32"
"260","1","1","234","0","50","0","50","0","80","80","24"
"261","1","1","260","0","60","0","60","0","15","15","30"
"262","0.95","0.9","260","0","60","0","60","0","10","10","27"
"263","1","1","260","0","140","0","140","0","10","10","29"
"264","1","1","260","0","50","0","50","0","15","15","55"
"265","1","1","260","0","50","0","50","0","10","10","28"
"266","1","1","260","0","140","0","140","0","5","5","26"
"267","1","1","260","0","80","0","80","0","10","10","47"
"268","1","1","260","0","140","0","140","0","5","5","25"
"269","1","1","260","0","90","0","90","0","10","10","59"
"270","0.95","0.92","227","1","20","0","20","0","20","20","1"
"271","1","1","270","1","128","0","128","0","20","20","8"
"272","1","1","227","1","128","0","128","0","255","255","5"
"274","1","1","1","1","30","0","30","0","10","10","62"
