Id,Name
"0","SFX"
"1","Music"
"2","Ambience"
"3","Dialog"
"4","Suppressors"
"5","Cinematic"
"6","Master_Script"
"7","SFX_Script"
"8","Music_Script"
"9","Ambience_Script"
"10","Racial Cinematic"
"11","Vocal Error"
"12","old Splashes"
"13","old Exertion"
"14","old Swoosh"
"15","old Wound"
"16","old WoundLocal Player"
"17","old Footstep"
"18","old Impact"
"19","old Exertion EX"
"20","old Wound EX"
"21","old Player Footstep"
"22","Master"
"23","Voice Chat"
"24","new SFX_Player"
"25","new SFX_Player_Footstep"
"26","new SFX_Player_Foley"
"27","new SFX_Player_Combat"
"28","new SFX_Player_EEE"
"29","new SFX_Player_Splash"
"30","new SFX_Player_Spell"
"31","new SFX_NPC"
"32","new SFX_NPC_Footstep"
"33","new SFX_UI"
"34","new SFX_NPC_EEE"
"35","new SFX_NPC_Splash"
"36","new SFX_Boss"
"37","new SFX_Boss_Footstep"
"38","new SFX_Special"
"39","new SFX_Boss_EEE"
"40","new SFX_NPC_Spell"
"41","new SFX_NPC_Foley"
"42","new SFX_Boss_Combat"
"43","new SFX_Boss_Spell"
"44","new SFX_Boss_Splash"
"45","new SFX_Boss_Foley"
"46","new SFX_NPC_Combat"
"47","new_SFX_Player_Spell_Missile"
"48","new_SFX_NPC_Spell_Missile"
"49","new SFX_Special_Spells"
"50","new SFX_Special_Vignettes"
"51","new SFX_Special_Scenarios"
"52","new SFX_Special_InGame_Cutscene"
"53","new SFX_Boss_Spell_Missle"
"54","new SFX_Game_Objects2"
"55","new SFX_Player_Special"
"56","new_SFX_NPC_Loops"
"57","new_SFX_Special_Mulitstrike"
"58","new_SFX_Area_Trigger_Loops"
"59","new SFX_Player_Combat_Whoosh"
"60","new SFX_NPC_Combat_Whoosh"
"61","new SFX_Boss_Combat_Whoosh"
"62","Talking Head"
"64","unsued 64"
