Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1
"2","201.12","421.577","11.9446","3667"
"3","184.325","427.572","7.23573","3667"
"4","221.118","352.858","18.4494","3668"
"5","205.055","348.833","10.7354","3668"
"6","190.495","347.119","9.42762","3668"
"7","180.772","319.806","4.29368","3668"
"8","153.812","316.443","3.97667","3668"
"1593","4456.592","1136.019","104.5269","4303"
"1594","4444.417","1135.719","46.8771","4303"
"1597","4621.934","1243.436","111.3513","4309"
"1598","4633.436","1241.847","6.809977","4309"
"1603","4624.498","1411.627","138.8996","4312"
"1604","4641.91","1414.405","31.69889","4312"
"1605","4175.101","1251.859","546.555","4327"
"1606","4177.119","1251.219","473.8395","4327"
"1607","4089.325","313.2882","171.8022","4328"
"1608","4104.285","310.132","59.00112","4328"
"1609","4149.944","325.8941","17.87445","4328"
"1610","1938.363","-71.09375","454.1552","4386"
"1611","1948.172","-86.32813","402.0024","4386"
"1612","2024.238","-50.61632","437.8395","4387"
"1613","2028.78","-58.94792","393.4501","4387"
"1614","1987.611","-58.36111","452.7427","4392"
"1615","1989.531","-71.7934","420.2869","4392"
"1616","1987.089","-82.85764","392.1875","4392"
"1617","2231.958","-59.33854","376.9269","4396"
"1618","2215.771","-55.64931","420.0972","4396"
"1619","2141.974","-352.5417","382.6721","4416"
"1620","2155.714","-347.8142","304.8454","4416"
"1621","2149.253","-307.1181","382.9071","4417"
"1622","2169.615","-312.3142","308.1285","4417"
"1623","2156.313","-230.0608","387.1113","4418"
"1624","2170.592","-227.2448","303.7401","4418"
"1625","2152.33","-148.3455","386.9049","4421"
"1626","2172.95","-157.7934","312.4478","4421"
"1630","2430.507","-199.2656","283.4385","4428"
"1631","2441.67","-198.5868","186.7639","4428"
"1632","2449.276","-173.6823","2.489973","4428"
"1635","1641.12","-360.0608","364.7351","4467"
"1636","1670.017","-362.4896","364.3827","4467"
"1637","713.3611","275.2639","343.4217","4497"
"1638","740.4618","262.4184","343.0864","4497"
"1646","536.3698","-964.9636","171.7897","4525"
"1647","526.125","-975.1042","78.50916","4525"
"1648","-355.6476","-1891.776","118.9063","4551"
"1649","-364.0017","-1879.073","68.37695","4551"
"1650","-365.5052","-1844.439","50.96709","4551"
"1651","-374.2344","-1813.75","4.750338","4551"
"1652","-368.7517","-1827.146","38.30418","4551"
"1653","431.4635","-2531.792","172.3737","4561"
"1654","419.3142","-2534.943","106.516","4561"
"1655","401.5573","-2540.832","46.11575","4561"
"1656","432.8767","-2492.578","127.3874","4565"
"1657","429.158","-2482.002","85.05228","4565"
"1658","429.75","-2462.165","40.92974","4565"
"1659","1136.755","-2684.991","127.6139","4585"
"1660","1144.613","-2688.038","95.28704","4585"
"1661","1156.262","-2639.292","132.3343","4586"
"1662","1161.563","-2642.597","95.03342","4586"
"1663","1233.852","-2683.762","90.61662","4587"
"1664","1249.432","-2703.851","2.937509","4587"
"1665","1237.717","-2657.738","88.87311","4588"
"1666","1260.859","-2659.448","8.839216","4588"
"1667","1147.943","-2718.405","88.79966","4589"
"1668","1148.144","-2737.359","37.13173","4589"
"1669","1150.849","-2748.906","1.738091","4589"
"1670","1686.618","-2566.293","147.0072","4600"
"1671","1689.813","-2584.432","90.50061","4600"
"1672","1690.309","-2595.462","81.76202","4600"
"1673","1695.366","-2601.792","16.6618","4600"
"1674","1694.144","-2618.505","0.5060811","4600"
"1675","2576.232","-2270.535","118.751","4628"
"1676","2576.991","-2301.384","82.24034","4628"
"1677","2583.593","-2305.974","71.22099","4628"
"1678","2581.945","-2312.193","4.608622","4628"
"1679","2538.477","-1752.748","391.5947","4631"
"1680","2534.933","-1761.012","342.1634","4631"
"1681","2538.657","-1774.012","310.6481","4631"
"1682","2528.341","-1784.78","299.5779","4631"
"1683","2505.668","-1788.085","274.241","4631"
"1684","2478.42","-1809.061","253.9715","4631"
"1685","2595.819","-1376.464","452.7599","4646"
"1686","2590.108","-1369.196","389.2113","4646"
"1687","2303.884","-1008.7","511.3396","4654"
"1688","2296.505","-1007.535","455.4861","4654"
"1689","2274.925","-1031.91","449.0621","4654"
"1690","2265.722","-1044.163","427.6819","4654"
"1691","2256.505","-1056.783","426.1451","4654"
"1692","2211.979","-1097.073","417.7542","4658"
"1693","2199.964","-1101.516","404.1544","4658"
"1694","2192.309","-1101.161","367.2086","4658"
"1695","1629.266","-1912.311","376.8394","4665"
"1696","1618.837","-1900.535","258.2043","4665"
"1697","-1076.439","1412.165","6.40625","4683"
"1698","-1077.168","1412.958","132.4255","4683"
"1699","-1074.425","1383.306","131.5936","4683"
"1700","-1077.352","1381.399","6.097091","4683"
"1701","-681.1597","80.30903","119.7879","4690"
"1702","-710.5851","73.69097","24.65451","4690"
"1703","292.809","347.1736","184.4119","4712"
"1704","290.401","348.7205","143.4786","4712"
"1705","4186.733","1252.976","431.5482","4820"
"1706","4172.435","1238.474","556.3738","4820"
"1707","4171.466","1266.811","556.3933","4820"
"1708","4186.482","1253.148","432.6878","4820"
"1709","4190.594","1252.587","448.2314","4826"
"1710","4181.812","1239.245","462.7382","4826"
"1711","4175.899","1239.851","519.3208","4826"
"1712","4172.036","1237.405","557.3528","4826"
"1713","4171.241","1269.87","557.9802","4826"
"1714","4175.703","1268.462","516.8768","4826"
"1715","4179.269","1268.231","462.5556","4826"
"1716","4184.819","1252.967","440.998","4826"
"1717","4368.61","1113.894","175.1493","4857"
"1718","4357.302","1121.08","242.0426","4857"
"1719","4376.919","1125.977","240.3974","4857"
"1720","4369.805","1114.108","175.2839","4857"
"1721","4292.346","1120.012","209.3636","4858"
"1722","4280.608","1119.014","225.9801","4858"
"1723","4278.823","1128.163","289.2543","4858"
"1724","4303.187","1135.66","289.2014","4858"
"1725","4304.589","1126.08","224.487","4858"
"1726","4292.225","1120.021","209.528","4858"
"1727","4487.872","1218.988","180.9162","4859"
"1728","4474.596","1233.519","266.2185","4859"
"1729","4491.577","1237.101","267.0578","4859"
"1730","4487.699","1219.288","182.9666","4859"
"1731","4543.906","1289.167","272.4214","4868"
"1732","4549.385","1283.014","233.4326","4868"
"1733","4569.519","1252.413","214.6146","4869"
"1734","4572.659","1240.858","131.8112","4869"
"1735","4572.241","1358.944","266.8885","4885"
"1736","4593.051","1362.665","193.8222","4885"
"1737","4634.127","1412.497","70.0877","4886"
