Id,Unknown0,Unknown1
"1","49813","49814"
"2","49813","49819"
"136","50077","50076"
"345","53934","53937"
"355","40440","49813"
"356","40440","49814"
"357","40440","49819"
"364","56696","56724"
"385","57655","57652"
"386","57656","57657"
"391","57666","57665"
"393","57668","57667"
"394","57670","57659"
"396","57673","57672"
"398","57674","57672"
"399","57675","57661"
"400","57676","57657"
"401","57677","57661"
"403","57949","57950"
"407","58851","58852"
"411","58757","60199"
"412","58757","60200"
"418","61004","61005"
"421","61087","56209"
"427","62418","62419"
"431","58322","64043"
"432","58321","64044"
"433","64360","64359"
"434","64515","64516"
"436","64893","64874"
"439","67895","40865"
"441","68143","68144"
"442","68143","68146"
"443","68145","68161"
"447","68194","68195"
"448","68194","68196"
"455","69101","69100"
"457","69365","69367"
"459","69580","69582"
"460","69584","69583"
"461","69658","69659"
"462","69700","69699"
"463","69956","69957"
"464","69953","69954"
"465","69713","69958"
"466","70168","70174"
"467","70321","70323"
"468","70457","70458"
"470","59000","71098"
"478","71948","72134"
"479","68681","68678"
"481","73064","73066"
"482","64333","73113"
"483","73122","73121"
"485","73264","73260"
"487","73535","69699"
"488","69601","73535"
"489","73621","69699"
"490","73622","69699"
"491","73586","73633"
"494","73787","73790"
"497","73801","73797"
"500","73844","73841"
"501","73842","73843"
"502","68229","74095"
"504","74115","74113"
"505","74164","73841"
"506","74179","74182"
"507","74189","74190"
"510","74218","74219"
"511","74212","74220"
"512","74319","74220"
"513","74120","74373"
"514","74381","74382"
"516","74446","74113"
"517","74453","73841"
"520","74541","69699"
"521","74609","74610"
"522","74728","74729"
"524","74752","74765"
"525","74783","74782"
"527","74857","74858"
"529","56622","74917"
"530","53924","74917"
"531","74945","74953"
"532","74974","73113"
"534","75255","49695"
"537","75457","73113"
"539","75635","75637"
"540","75669","75671"
"544","75709","75708"
"545","75783","75793"
"546","75908","75920"
"547","75922","75923"
"548","75926","75927"
"550","75989","75990"
"551","76021","76020"
"552","76028","74113"
"553","76041","74113"
"554","76056","70323"
"555","76059","73113"
"557","76127","76126"
"558","76186","76208"
"559","76270","76271"
"560","76299","76300"
"561","76517","76520"
"562","76531","75671"
"563","76587","75923"
"564","76589","76591"
"565","76627","76628"
"568","58307","76681"
"569","76740","73841"
"570","76740","73843"
"572","77466","77468"
"574","78052","77468"
"575","78129","78128"
"576","78130","78131"
"577","78547","78548"
"579","78688","78689"
"580","78742","78743"
"581","78739","78823"
"583","78906","78907"
"584","78955","75637"
"585","79017","76271"
"586","79060","79157"
"587","79160","79163"
"588","79198","75637"
"593","79379","79380"
"594","79745","79744"
