Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","0","0","1170","0"
"7","1118","1419","1161","0"
"13","0","0","1218","0"
"15","0","1465","0","0"
"16","0","1502","0","0"
"17","0","1508","0","0"
"18","0","1511","0","0"
"19","0","1512","0","0"
"20","0","1513","0","0"
"21","0","1518","0","0"
"22","0","0","0","0"
"23","0","0","1009","0"
"24","0","1614","0","0"
"25","0","0","1396","0"
"26","0","0","1475","0"
"27","0","0","1478","0"
"28","0","0","1452","0"
"31","0","1668","1452","0"
"32","0","1696","1452","0"
"33","1208","1696","1452","0"
"34","0","1700","0","0"
"35","0","1689","0","0"
"36","0","1725","0","0"
"37","0","1730","0","0"
"38","0","1731","0","0"
"39","0","1729","0","0"
"40","0","1750","0","0"
"41","0","1755","0","0"
"42","0","1756","0","0"
"43","0","1757","0","0"
"44","0","1720","0","0"
"45","0","1775","1540","0"
"46","1231","0","0","0"
"14","0","0","1218","0"
