Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22
"3","TESTVOLUMENONE","0.1","1","1","1","0","0","1","-0.05","0.1","0.25","0","1","0","5000","250","0","0","0","0","0","0","0"
"4","TESTVOLUMEFULL","20","50","1","1","0.3","0.1","1","-0.05","0.1","0.25","0","1","0","5000","250","0","0","0","1000","0","0","0"
"5","TESTVOLUMEHALF","10","1","1","1","0.2","0.1","1","-0.05","0.1","0.25","0","1","0","1000","250","0","0","0","200","0","0","0"
"11","Underwater","1","1.8","1","0.1","0.007","0.0131","10","-100","1","0.25","0","1.18","0.348","5000","250","4","-1000","-10000","-449","1700","15","0"
"19","TESTVOLUMEPSYCHOTIC","2.31","11.6","1","0.64","0.012","0.017","0","5","0.1","0.075","0","1","0","10000","30","0","0","0","-711","83","25","0"
"66","PRESET_OFF","1","7.5","1","1","0.007","0.011","0","-5","1","0.25","0","0.25","0","5000","250","831","-10000","-10000","-2602","200","-1","0"
"67","PRESET_GENERIC","1.49","7.5","1","0.863","0.007","0.0131","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-100","-2402","-950","0","0"
"68","PRESET_PADDEDCELL","0.17","1.4","1","0.1","0.0031","0.002","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-6000","-1204","207","1","0"
"69","PRESET_ROOM","0.4","1.9","1","0.863","0.002","0.0063","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-454","-1646","53","2","0"
"70","PRESET_BATHROOM","1.49","1.4","1","0.54","0.007","0.0131","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-1200","-370","1030","3","0"
"71","PRESET_LIVINGROOM","0.5","2.5","1","0.1","0.0063","0.004","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-6000","-1376","-1104","4","0"
"72","PRESET_STONEROOM","2.331","11.6","1","0.64","0.012","0.017","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-300","-711","83","5","0"
"73","PRESET_AUDITORIUM","4.32","21.6","1","0.59","0.02","0.03","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-476","-789","-289","6","0"
"74","PRESET_CONCERTHALL","3.92","19.6","1","0.7","0.02","0.029","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-500","-1230","-2","7","0"
"75","PRESET_CAVE","3","14.6","1","1.3","0.015","0.022","0","-5","1","0.25","0","0.25","0","5000","250","31","-1000","-500","-602","-402","8","0"
"76","PRESET_ARENA","7.24","36.2","1","0.363","0.02","0.03","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-698","-1166","16","9","0"
"77","PRESET_HANGAR","10.05","50.63","1","0.263","0.02","0.03","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-1000","-602","198","10","0"
"78","PRESET_CARPETTEDHALLWAY","0.3","1.9","1","0.1","0.002","0.03","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-4000","-1831","-1630","11","0"
"79","PRESET_HALLWAY","1.49","1.8","1","0.59","0.007","0.0131","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-300","-1219","441","12","0"
"80","PRESET_STONECORRIDOR","2.7","13.5","1","0.79","0.0163","0.02","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-237","-1214","395","13","0"
"81","PRESET_ALLEY","1.49","7.5","0.3","0.86","0.007","0.0131","0","-5","1","0.125","0.95","0.25","0","5000","250","63","-1000","-270","-1204","-4","14","0"
"82","PRESET_FOREST","1.49","38","0.3","0.54","0.162","0.088","0","-5","1","0.125","1","0.25","0","5000","250","63","-1000","-3300","-2560","-229","15","0"
"83","PRESET_CITY","1.49","7.5","0.5","0.67","0.007","0.0131","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-800","-1273","-2491","16","0"
"84","PRESET_MOUNTAINS","1.49","100","0.27","0.231","0.3","0.3","0","-5","1","0.25","1","0.25","0","5000","500","31","-1000","-1000","-1780","-3150","17","0"
"85","PRESET_QUARRY","1.49","17.5","1","0.363","0.0631","0.955","0","-5","1","1.525","0.7","0.25","0","7000","800","63","-1000","-1000","-6000","-1350","18","0"
"86","PRESET_PLAIN","1.19","42.5","0.231","0.5","0.179","0.1","0","-5","1","0.15","1","0.25","0","5000","1000","63","-1000","-2000","-2566","-2826","19","0"
"87","PRESET_PARKINGLOT","1.65","8.63","1","1.5","0.008","0.012","0","-5","1","0.25","0","0.25","0","5000","250","31","-1000","0","-1363","-1153","20","0"
"88","PRESET_SEWERPIPE","2.831","1.7","0.8","0.14","0.014","0.0231","0","-5","1","0.25","0","0.25","0","5000","250","63","-1000","-1000","429","1023","21","0"
"89","PRESET_UNDERWATER","1","1.8","1","0.1","0.007","0.0131","10","-200","1","0.25","0","1.18","0.348","1000","250","63","-1000","-10000","-449","1700","22","0"
