Id,Unknown0,Unknown1,Unknown2,Unknown3
"2532","2153","|cFFFFD200Profession Trainer: |rLeatherworking (15)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t","3","-1"
"2534","2158","|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Gather: |rOverloaded Harvest Golem|n|cFFFFD200Zone: |rWestfall|n|n|cFFFFD200Treasure: |rWorld Drop","0","0"
"2535","2159","|cFFFFD200Profession Trainer: |rLeatherworking (85)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t","3","-1"
"2536","2160","|cFFFFD200Profession Trainer: |rLeatherworking (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","3","-1"
"2537","2161","|cFFFFD200Profession Trainer: |rLeatherworking (55)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","3","-1"
"2538","2162","|cFFFFD200Profession Trainer: |rLeatherworking (60)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","3","-1"
"2539","2163","|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Gather: |rOverloaded Harvest Golem|n|cFFFFD200Zone: |rWestfall|n|n|cFFFFD200Treasure: |rWorld Drop","0","0"
"2540","2164","|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Gather: |rOverloaded Harvest Golem|n|cFFFFD200Zone: |rWestfall|n|n|cFFFFD200Treasure: |rWorld Drop","0","0"
"2541","2165","|cFFFFD200Profession Trainer: |rLeatherworking (100)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t","3","-1"
"2542","2166","|cFFFFD200Profession Trainer: |rLeatherworking (120)|n|cFFFFD200Cost: |r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t","3","-1"
