Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","44425","0","","62","4"
"3","5143","0","","62","2"
"4","30451","0","","62","0"
"5","133","0","","63","1"
"7","11366","0","","63","0"
"9","116","0","","64","1"
"10","31687","0","","64","0"
"31","24858","0","","102","1"
"32","78675","0","","102","2"
"37","106839","0","","103","8"
"38","5217","0","","103","1"
"40","1079","0","","103","3"
"45","106839","0","","104","4"
"51","48438","0","","105","7"
"53","88423","0","","105","1"
"56","18562","0","","105","0"
"58","102342","0","","105","4"
"60","12294","0","","71","0"
"451","85256","0","","70","0"
"455","53385","0","","70","1"
"931","53576","0","","65","3"
"941","20473","0","","65","0"
"943","85222","0","","65","6"
"944","31935","0","","66","0"
"945","53600","0","","66","4"
"946","85043","0","","66","5"
"948","105805","0","","66","7"
"950","53592","0","","66","1"
"953","105424","0","","66","2"
"955","53563","0","","65","1"
"958","23881","0","","72","0"
"961","85288","0","","72","1"
"962","46917","0","","72","2"
"963","81099","0","","72","3"
"982","16949","0","","103","2"
"985","33873","0","","103","5"
"986","16974","0","","103","4"
"988","23922","0","","73","0"
"989","29144","0","","73","1"
"991","6572","0","","73","2"
"992","12975","0","","73","3"
"996","84608","0","","73","6"
"1000","33873","0","","104","1"
"1003","16931","0","","104","2"
"1006","48500","0","","105","2"
"1015","106732","0","","102","0"
"1706","86101","0","","71","1"
"1707","86110","0","","72","4"
"1708","86535","0","","73","5"
"1709","86102","0","","66","6"
"1710","86539","0","","70","2"
"2176","30108","0","","265","0"
"2177","27243","0","","265","2"
"2192","30146","0","","266","2"
"2199","348","0","","267","1"
"2203","29722","686","","267","3"
"2204","80240","0","","267","2"
"2208","105174","0","","266","0"
"2214","108853","0","","63","3"
"2221","980","0","","265","1"
"2248","62618","0","","256","2"
"2249","47540","0","","256","0"
"2251","33206","0","","256","1"
"2259","88625","0","","257","0"
"2262","20711","0","","257","1"
"2265","34861","0","","257","4"
"2266","64843","0","","257","6"
"2267","47788","0","","257","5"
"2270","2060","0","","257","2"
"2275","15407","585","","258","0"
"2276","47585","0","","258","5"
"2279","15487","0","","258","2"
"2281","34914","0","","258","3"
"2283","108299","0","","102","3"
"2284","108299","0","","105","3"
"2291","86104","0","","102","4"
"2292","86097","0","","103","7"
"2296","86096","0","","104","3"
"2323","46953","0","","73","4"
"2329","53270","0","","253","4"
"2331","56315","0","","253","3"
"2335","19574","0","","253","2"
"2338","35110","0","","254","1"
"2352","51667","0","","259","6"
"2353","32645","196819","","259","3"
"2354","1329","1752","","259","2"
"2356","14190","0","","259","4"
"2357","79134","0","","259","5"
"2361","35551","0","","260","2"
"2362","13877","0","","260","1"
"2364","13750","0","","260","3"
"2370","53","0","","261","0"
"2371","19434","193455","","254","0"
"2372","84601","0","","259","0"
"2373","14117","0","","259","1"
"2375","61329","0","","260","0"
"2386","77756","0","","262","3"
"2388","51490","0","","262","1"
"2394","86629","0","","263","0"
"2396","51522","0","","263","1"
"2399","51533","0","","263","4"
"2400","16282","0","","263","2"
"2412","16196","0","","264","2"
"2413","61295","0","","264","0"
"2414","98008","0","","264","6"
"2415","51564","0","","264","4"
"2416","77472","0","","264","5"
"2420","77130","0","","264","1"
"2422","60188","0","","262","0"
"2434","49028","0","","250","1"
"2439","49143","0","","251","0"
"2440","49184","0","","251","1"
"2441","51128","0","","251","4"
"2443","51271","0","","251","5"
"2444","59057","0","","251","6"
"2446","49020","0","","251","3"
"2448","63560","0","","252","4"
"2450","55090","0","","252","1"
"2452","49530","0","","252","3"
"2453","49206","0","","252","5"
"2455","85948","0","","252","2"
"2457","86537","0","","250","0"
"2458","86113","0","","251","2"
"2459","86536","0","","252","0"
"2460","86108","0","","262","4"
"2461","86099","0","","263","3"
"2462","86100","0","","264","3"
"2469","12472","0","","64","3"
"2470","84714","0","","64","4"
"2471","12042","0","","62","6"
"2475","86093","0","","105","6"
"2481","30823","0","","263","6"
"2490","8092","0","","258","1"
"2493","34026","0","","253","0"
"2496","596","0","","257","3"
"2504","86103","0","","65","4"
"2508","106733","0","","103","0"
"2509","106734","0","","104","0"
"2511","31589","0","","62","5"
"2513","112965","0","","64","2"
"2514","16864","0","","103","6"
"2515","113043","0","","105","5"
"2525","79140","0","","259","7"
"2528","26573","0","","66","3"
"2534","31850","498","","66","8"
"2552","79152","0","","261","1"
"2559","44448","0","","63","2"
"2566","114664","0","","62","1"
"2574","12950","0","","72","5"
"2580","113656","0","","269","0"
"2581","115151","0","","270","0"
"2592","115181","0","","268","0"
"2594","115308","0","","268","1"
"2600","115310","0","","270","1"
"2652","115939","0","","253","1"
"2655","116092","0","","269","3"
"2656","101545","0","","269","1"
"2665","116645","0","","270","2"
"2667","116680","0","","270","3"
"2677","107428","0","","269","2"
"2686","117216","0","","63","4"
"2688","17962","0","","267","0"
"2691","117907","0","","270","4"
"2692","117906","0","","268","2"
"2694","115069","0","","268","3"
"2719","79684","0","","62","3"
"2764","15286","0","","258","6"
"2780","527","0","","256","3"
"2781","527","0","","257","7"
"2849","82326","0","","65","5"
"2850","33763","0","","105","8"
"2852","55233","0","","250","2"
"2859","58875","0","","263","5"
"2860","119582","0","","268","4"
"2862","120225","0","","268","5"
"2863","120224","0","","270","5"
"2864","120227","0","","269","4"
"2885","61684","0","","74","0"
"2900","19596","0","","79","3"
"2901","53497","0","","79","5"
"2903","61684","0","","79","1"
"2904","53490","0","","79","0"
"2905","53480","0","","79","2"
"2906","61688","0","","81","5"
"2907","53482","0","","81","3"
"2908","61685","0","","81","0"
"2909","53478","0","","81","1"
"2910","63900","0","","81","2"
"2912","55709","0","","74","1"
"2914","53184","0","","74","3"
"2926","86659","0","","66","9"
"2931","121253","0","","268","6"
"2950","116849","0","","270","6"
"2954","63733","0","","257","8"
"2957","77513","0","","250","3"
"2958","77514","0","","251","7"
"2959","77515","0","","252","6"
"2960","77492","0","","102","5"
"2961","77493","0","","103","9"
"2963","77495","0","","105","10"
"2964","76657","0","","253","5"
"2968","12846","0","","63","5"
"2969","76613","0","","64","5"
"2970","115636","0","","269","5"
"2972","76671","0","","66","10"
"2973","76672","231663","","70","4"
"2974","77484","0","","256","4"
"2975","77485","0","","257","9"
"2976","77486","0","","258","7"
"2977","76803","0","","259","8"
"2978","76806","0","","260","4"
"2979","76808","0","","261","2"
"2981","77223","0","","263","7"
"2982","77226","0","","264","7"
"2983","77215","0","","265","3"
"2984","77219","0","","266","1"
"2985","77220","0","","267","4"
"2986","76838","0","","71","2"
"2987","76856","0","","72","6"
"2988","76857","0","","73","7"
"2989","123099","0","","262","5"
"2991","81749","0","","256","5"
"2995","51505","0","","262","2"
"2997","116858","0","","267","5"
"3010","124146","0","","269","6"
"3012","122470","0","","269","7"
"3014","78203","0","","258","4"
"3017","124502","0","","268","7"
"3050","124682","0","","270","7"
"3051","1160","0","","73","8"
"3092","48484","0","","103","10"
"3122","14914","0","","257","10"
"3149","128595","0","","269","8"
"3198","5740","0","","267","6"
"3223","31842","0","","65","8"
"3251","131086","0","","73","9"
"3252","20782","0","","74","2"
"3253","20782","0","","79","4"
"3254","20782","0","","81","4"
"3319","81136","0","","250","4"
"3485","137008","0","","250","5"
"3486","137006","0","","251","8"
"3487","137007","0","","252","7"
"3488","137013","0","","102","6"
"3489","137011","0","","103","11"
"3490","137010","0","","104","7"
"3491","137012","0","","105","11"
"3492","137015","0","","253","6"
"3493","137016","0","","254","2"
"3494","137017","0","","255","0"
"3495","137021","0","","62","7"
"3496","137019","0","","63","6"
"3497","137020","0","","64","6"
"3498","137023","0","","268","8"
"3499","137024","0","","270","8"
"3500","137025","0","","269","9"
"3501","137029","0","","65","9"
"3502","137028","0","","66","11"
"3503","137027","0","","70","5"
"3504","137032","0","","256","6"
"3505","137031","0","","257","11"
"3506","137033","0","","258","8"
"3507","137037","0","","259","9"
"3508","137036","0","","260","5"
"3509","137035","0","","261","3"
"3510","137040","0","","262","6"
"3511","137041","0","","263","8"
"3512","137039","0","","264","8"
"3513","137043","0","","265","4"
"3514","137044","0","","266","3"
"3515","137046","0","","267","7"
"3516","137049","0","","71","3"
"3517","137050","0","","72","7"
"3518","137048","0","","73","10"
"3521","137384","0","","269","10"
"3526","137639","0","","269","11"
"3528","45243","0","","257","12"
"3535","2948","0","","63","7"
"3599","145205","0","","105","12"
"3639","14161","0","","260","6"
"3640","148040","0","","65","10"
"3775","46584","0","","252","8"
"3781","31884","0","","70","3"
"3795","1943","0","","259","10"
"3797","1449","0","","62","8"
"3798","2120","0","","63","8"
"3800","12051","0","","62","9"
"3801","12982","0","","64","7"
"3802","6117","0","","62","10"
"3803","30482","0","","63","9"
"3804","7302","0","","64","8"
"3806","30455","108853","","64","9"
"3809","139","0","","257","14"
"3810","32379","0","","258","9"
"3812","116095","0","","269","12"
"3815","108280","0","","264","9"
"3817","155783","0","","104","5"
"3823","6343","0","","73","11"
"3824","97462","0","","71","4"
"3825","97462","0","","72","8"
"3826","31821","0","","65","7"
"3830","55709","0","","535","1"
"3831","61684","0","","535","0"
"3832","53184","0","","535","3"
"3834","53480","0","","536","2"
"3835","53490","0","","536","0"
"3836","61684","0","","536","1"
"3837","53497","0","","536","5"
"3838","19596","0","","536","3"
"3840","53478","0","","537","1"
"3841","61685","0","","537","0"
"3842","63900","0","","537","2"
"3843","53482","0","","537","3"
"3844","61688","0","","537","5"
"3846","1719","0","","71","5"
"3847","1719","0","","72","9"
"3850","47536","0","","256","7"
"3854","674","0","","251","9"
"3856","53497","0","","535","6"
"3857","19596","0","","535","5"
"3859","53482","0","","535","4"
"3860","61688","0","","535","7"
"3862","53184","0","","536","8"
"3864","53482","0","","536","6"
"3865","61688","0","","536","7"
"3867","53184","0","","537","8"
"3869","53497","0","","537","7"
"3870","19596","0","","537","6"
"3877","53651","0","","65","2"
"3926","157444","0","","263","9"
"3927","157445","0","","268","9"
"3928","157445","0","","269","13"
"3929","157447","0","","103","12"
"3930","157447","0","","104","8"
"3965","159195","0","","104","6"
"3968","871","0","","73","12"
"3977","740","0","","105","13"
"3986","51723","0","","259","11"
"3997","161608","0","","104","9"
"3998","161608","0","","268","10"
"3999","161608","0","","66","12"
"4000","161608","0","","73","13"
"4001","161797","0","","250","6"
"4002","161800","0","","66","13"
"4003","161798","0","","73","14"
"4049","53595","35395","","66","14"
"4051","162702","0","","250","7"
"4054","162699","0","","102","7"
"4055","162697","0","","103","13"
"4056","162700","0","","104","10"
"4057","162701","0","","105","14"
"4058","162701","0","","65","11"
"4059","162702","0","","66","15"
"4060","162698","0","","70","6"
"4061","162701","0","","256","8"
"4062","162701","0","","257","13"
"4064","162699","0","","262","7"
"4065","162697","0","","263","10"
"4066","162701","0","","264","11"
"4069","162702","162698","","73","15"
"4071","163201","0","","71","6"
"4081","164856","0","","255","1"
"4192","1064","0","","264","12"
"4197","79206","0","","264","10"
"4198","8042","0","","262","8"
"4201","22812","0","","104","11"
"4204","6807","0","","104","12"
"4205","33745","0","","104","13"
"4207","22570","0","","103","14"
"4208","1822","0","","103","15"
"4219","166142","0","","103","16"
"4220","166142","0","","104","14"
"4233","5308","0","","72","10"
"4235","167105","0","","71","7"
"4237","1680","0","","71","8"
"4239","115768","0","","73","16"
"4249","115176","0","","268","11"
"4273","19750","0","","65","12"
"4274","19750","0","","70","7"
"4296","22812","0","","102","8"
"4297","61336","0","","103","17"
"4298","61336","0","","104","15"
"4300","61882","0","","262","9"
"4306","12323","0","","72","11"
"4314","162701","0","","270","9"
"4315","162697","0","","269","14"
"4316","162700","0","","268","12"
"4344","20243","0","","73","17"
"4345","162698","0","","72","12"
"4346","162698","0","","71","9"
"4347","162698","0","","252","9"
"4348","162698","0","","251","10"
"4355","1454","0","","265","5"
"4356","1454","0","","266","4"
"4439","4987","0","","65","13"
"4442","25780","0","","66","16"
"4443","498","0","","66","17"
"4444","498","0","","65","14"
"4447","1022","0","","66","18"
"4448","6940","0","","66","19"
"4449","1022","0","","65","15"
"4450","6940","0","","65","16"
"4454","183218","0","","70","8"
"4459","183435","0","","70","9"
"4478","48263","0","","250","8"
"4480","103985","0","","269","15"
"4483","71","0","","73","18"
"4484","96231","0","","66","20"
"4485","96231","0","","70","10"
"4487","1022","0","","70","11"
"4490","183998","0","","65","17"
"4491","183997","0","","65","18"
"4493","184092","0","","66","21"
"4498","34428","0","","71","12"
"4500","184361","0","","72","13"
"4501","184364","0","","72","14"
"4502","184367","0","","72","15"
"4507","184575","0","","70","12"
"4511","184783","0","","71","10"
"4512","1464","0","","71","11"
"4517","120679","0","","253","7"
"4545","185245","198589","","581","1"
"4550","5116","0","","253","8"
"4551","5116","0","","254","3"
"4552","147362","0","","253","9"
"4553","147362","0","","254","4"
"4556","2643","0","","254","5"
"4557","2643","0","","253","10"
"4558","34477","0","","254","6"
"4559","34477","0","","253","11"
"4562","114014","0","","261","4"
"4563","185314","0","","261","5"
"4567","703","0","","259","12"
"4569","185358","0","","254","7"
"4570","185438","0","","261","6"
"4575","8676","0","","260","7"
"4576","185565","0","","259","13"
"4577","845","0","","71","13"
"4578","185763","0","","260","8"
"4585","185916","0","","258","10"
"4586","17","0","","256","9"
"4590","73325","0","","256","10"
"4591","73325","0","","257","15"
"4592","33076","0","","257","16"
"4594","1706","0","","256","11"
"4595","1706","0","","257","17"
"4598","185987","0","","254","8"
"4602","185901","0","","254","9"
"4603","186387","0","","254","10"
"4604","186263","2061","","258","11"
"4605","186440","0","","258","12"
"4606","2096","0","","256","12"
"4607","2096","0","","258","13"
"4608","589","0","","256","14"
"4609","589","0","","258","14"
"4610","34433","0","","258","15"
"4613","2050","0","","257","18"
"4614","34433","0","","256","15"
"4617","186440","0","","256","16"
"4618","186263","2061","","256","13"
"4622","185855","0","","255","2"
"4624","186270","0","","255","3"
"4641","178740","198013","","581","4"
"4646","187650","0","","255","4"
"4647","43265","0","","250","9"
"4649","47568","0","","251","11"
"4652","187698","0","","255","5"
"4653","187707","0","","255","6"
"4654","187708","0","","255","7"
"4657","42650","0","","252","11"
"4659","77575","0","","252","12"
"4662","50842","0","","250","10"
"4665","187837","0","","263","11"
"4669","43265","0","","252","13"
"4673","157488","0","","66","22"
"4675","188070","0","","263","12"
"4690","73920","0","","264","13"
"4700","57994","0","","263","13"
"4701","188838","0","","264","14"
"4705","187827","191427","","581","2"
"4716","189926","0","","581","0"
"4733","157642","0","","63","10"
"4734","190356","0","","64","10"
"4736","190427","0","","62","11"
"4737","190447","0","","64","11"
"4742","18499","0","","72","16"
"4743","18499","0","","71","14"
"4745","1715","0","","71","15"
"4749","187828","0","","262","10"
"4750","190488","0","","262","11"
"4751","188196","0","","262","12"
"4752","190493","0","","262","13"
"4755","188389","0","","262","15"
"4758","188443","0","","262","14"
"4759","187880","0","","263","14"
"4760","17364","0","","263","15"
"4768","190719","0","","258","16"
"4769","190740","0","","62","12"
"4780","774","0","","105","15"
"4783","190984","0","","102","9"
"4788","190925","0","","255","8"
"4789","190928","0","","255","9"
"4792","48792","0","","251","12"
"4794","45524","0","","251","13"
"4795","45524","0","","252","14"
"4796","191034","0","","102","10"
"4797","178819","0","","251","14"
"4798","178819","0","","252","15"
"4803","191334","0","","255","10"
"4809","191433","0","","255","11"
"4822","162697","0","","255","12"
"4823","162697","0","","253","12"
"4824","162697","0","","254","11"
"4825","162697","0","","259","14"
"4826","162697","0","","261","7"
"4827","162697","0","","260","9"
"4828","162699","0","","64","12"
"4829","162699","0","","62","13"
"4830","162699","0","","63","11"
"4831","162699","0","","267","8"
"4832","162699","0","","265","6"
"4833","162699","0","","266","5"
"4839","115080","0","","269","16"
"4840","101546","0","","269","17"
"4842","115203","0","","268","13"
"4843","5394","0","","264","15"
"4844","116705","0","","268","14"
"4845","116705","0","","269","18"
"4846","191837","0","","270","10"
"4847","157411","0","","269","19"
"4850","115450","0","","270","11"
"4851","22568","0","","103","18"
"4853","22842","0","","104","16"
"4854","33917","0","","104","17"
"4855","5215","0","","103","19"
"4856","5221","0","","103","20"
"4857","106898","0","","103","21"
"4858","106898","0","","104","18"
"4859","106832","0","","103","22"
"4861","159286","0","","103","23"
"4864","192081","0","","104","19"
"4865","192083","0","","104","20"
"4872","23920","0","","73","19"
"4875","193265","0","","255","13"
"4876","603","0","","266","6"
"4879","193315","0","","260","10"
"4881","3408","0","","259","15"
"4882","2823","0","","259","16"
"4883","8679","0","","259","17"
"4891","104316","0","","266","7"
"4892","1454","0","","267","9"
"4893","193396","0","","266","8"
"4897","193455","0","","253","13"
"4898","185789","0","","253","14"
"4903","193468","0","","254","12"
"4904","193440","0","","266","9"
"4907","193526","0","","254","13"
"4908","186289","0","","255","14"
"4909","193530","0","","253","15"
"4911","193541","0","","267","10"
"4914","193786","0","","263","16"
"4915","193796","0","","263","17"
"4917","193884","0","","270","12"
"4923","60103","0","","263","18"
"4925","57994","0","","262","16"
"4926","194153","0","","102","11"
"4929","194223","0","","102","12"
"4930","48792","0","","252","16"
"4936","48045","0","","258","17"
"4937","194509","0","","256","17"
"4939","108415","0","","266","10"
"4942","190319","0","","63","12"
"4946","194248","0","","258","18"
"4947","195182","0","","250","11"
"4948","47541","0","","252","17"
"4950","195255","0","","263","19"
"4951","195283","0","","63","13"
"4952","195292","0","","250","12"
"4953","195452","0","","261","8"
"4954","36554","0","","259","18"
"4955","1776","0","","260","11"
"4958","1725","0","","261","9"
"4959","1833","0","","261","10"
"4960","921","0","","261","11"
"4961","6770","0","","261","12"
"4962","1784","0","","261","13"
"4963","1856","0","","261","14"
"4964","1725","0","","259","19"
"4965","1833","0","","259","20"
"4966","921","0","","259","21"
"4967","6770","0","","259","22"
"4968","1784","0","","259","23"
"4969","1856","0","","259","24"
"4974","187874","0","","263","20"
"4977","195621","0","","251","15"
"4978","195645","0","","255","15"
"4979","195676","0","","62","14"
"4980","2565","0","","73","20"
"4981","190456","0","","73","21"
"4982","195740","0","","250","13"
"4983","190899","0","","263","21"
"4984","195771","0","","263","22"
"4986","168534","0","","262","17"
"4991","8122","0","","256","18"
"4992","421","0","","264","16"
"4994","8122","0","","258","19"
"4995","17","0","","258","20"
"4996","22812","0","","105","16"
"4997","26573","0","","65","19"
"4998","196770","0","","251","16"
"4999","189110","195072","","581","5"
"5000","132157","0","","257","19"
"5001","196819","0","","261","15"
"5002","2098","0","","260","12"
"5003","196834","0","","263","23"
"5004","1784","0","","260","13"
"5005","196840","0","","262","18"
"5007","29166","0","","102","13"
"5013","196912","0","","261","16"
"5014","921","0","","260","14"
"5015","1725","0","","260","15"
"5018","145108","0","","105","17"
"5019","197147","0","","252","18"
"5020","107428","0","","270","13"
"5021","101546","0","","270","14"
"5022","78674","0","","102","14"
"5023","93402","0","","102","15"
"5024","5215","0","","104","21"
"5025","5215","0","","102","16"
"5026","5215","0","","105","18"
"5027","121471","0","","261","17"
"5029","5176","0","","105","19"
"5031","99","0","","104","22"
"5032","102793","0","","105","20"
"5033","131768","0","","103","24"
"5034","197524","0","","102","17"
"5035","93402","0","","105","21"
"5038","197692","0","","103","25"
"5039","197835","0","","261","18"
"5043","197911","0","","102","18"
"5044","198067","0","","262","19"
"5045","198103","0","","262","20"
"5046","198304","100","","73","22"
"5048","853","0","","70","13"
"5053","109304","0","","253","16"
"5054","109304","0","","255","16"
