Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"2","17","0","0","0","0","0","101","0"
"3","71","0","664232","0","0","0","100","0"
"5","96","0","0","0","20","0","101","0"
"6","99","0","0","0","0","0","101","0"
"9","118","0","2148182696","0","0","0","100","0"
"10","122","0","2148147880","0","0","0","100","0"
"11","133","0","0","0","0","0","101","0"
"13","339","0","664232","0","0","0","100","0"
"14","355","0","0","0","0","0","101","0"
"16","408","0","0","0","0","0","101","0"
"17","512","0","2148147880","0","0","0","100","0"
"18","589","0","0","0","0","0","100","0"
"19","605","0","0","0","0","0","101","0"
"22","710","0","0","0","0","0","101","0"
"23","742","0","20","0","0","0","35","0"
"24","768","0","0","0","0","0","101","0"
"26","783","0","0","0","0","0","101","0"
"27","853","0","0","0","0","0","101","0"
"29","1066","0","0","0","0","0","101","0"
"30","1098","0","0","0","0","0","101","0"
"33","1160","0","0","0","0","0","101","0"
"41","1776","1","139944","0","0","0","100","0"
"42","1784","1","664232","0","0","0","100","0"
"43","1833","0","0","0","0","0","101","0"
"44","1834","0","0","0","20","0","101","0"
"46","2094","1","664232","0","0","0","100","0"
"48","2096","0","0","0","0","0","101","0"
"51","2479","0","2148147880","0","0","0","100","0"
"55","2823","0","276","0","0","0","30","0"
"57","2880","0","20","0","0","0","30","0"
"58","2969","0","0","0","0","0","101","0"
"60","3169","0","40","0","0","0","101","0"
"62","3235","0","40","0","0","0","15","0"
"63","3284","0","40","16000","0","0","10","0"
"64","3338","0","131752","10000","0","0","25","0"
"65","3355","0","2148182696","0","0","0","101","0"
"67","3394","0","20","12000","0","0","15","0"
"68","3408","0","276","0","0","0","50","0"
"69","3409","0","32768","0","0","0","100","0"
"71","3417","0","20","4000","0","0","10","0"
"72","3418","0","40","0","0","0","10","0"
"73","3424","0","20","0","0","0","35","0"
"75","3439","0","40","0","0","0","10","0"
"76","3440","0","20","0","0","0","5","0"
"77","3509","0","20","0","0","0","100","0"
"78","3512","0","20","0","0","0","100","0"
"79","3582","0","20","10000","0","0","10","0"
"80","3616","0","20","0","0","0","15","0"
"81","3637","0","40","0","0","0","10","0"
"83","4070","0","40","0","0","0","2","0"
"84","4071","0","40","0","0","0","101","0"
"85","4112","0","40","0","0","0","5","0"
"86","4113","0","40","0","0","0","6","0"
"87","4114","0","40","0","0","0","8","0"
"88","4115","0","40","0","0","0","7","0"
"89","4133","0","40","0","0","0","5","0"
"90","4136","0","40","0","0","0","7","0"
"91","4138","0","40","0","0","0","9","0"
"92","4140","0","40","0","0","0","11","0"
"93","4142","0","2","0","0","0","100","0"
"94","4144","0","20","0","0","0","5","0"
"95","4241","0","20","0","0","0","5","0"
"96","4242","0","20","0","0","0","100","0"
"97","4245","0","20","0","0","0","5","0"
"98","4279","0","20","0","0","0","5","0"
"99","4283","0","20","0","0","0","5","0"
"100","4284","0","20","0","0","0","5","0"
"101","4312","0","1","0","0","0","101","0"
"102","4315","0","20","0","0","0","5","0"
"103","4317","0","20","0","0","0","5","0"
"104","4341","5","65536","0","0","0","100","0"
"105","4493","0","20","0","0","0","2","0"
"106","4525","0","40","0","0","0","15","0"
"108","4932","0","40","0","0","0","100","0"
"109","4951","10","40","0","0","0","20","0"
"110","5104","0","20","0","0","0","5","0"
"115","5211","0","0","0","0","0","101","0"
"116","5215","1","664232","0","0","0","100","0"
"117","5246","0","2148147880","0","0","0","100","0"
"118","5262","0","20","0","0","0","100","0"
"119","5301","0","680","3000","0","0","100","0"
"120","5302","1","4112","0","0","0","100","0"
"122","5364","0","40","0","0","0","15","0"
"123","5368","0","40","0","0","0","15","0"
"124","5369","0","40","0","0","0","15","0"
"125","5370","0","40","0","0","0","15","0"
"126","5377","0","20","0","0","0","5","0"
