Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"2","66","0","0","0","0","0","0","0","12","0"
"3","100","0","0","0","65219","0","0","0","0","0"
"4","130","0","0","0","79636","0","0","0","0","0"
"6","642","0","0","61988","0","0","0","0","0","0"
"7","883","0","0","61431","0","0","0","0","0","0"
"8","1022","0","0","0","61988","0","0","0","0","0"
"9","1706","0","0","0","79636","0","0","0","0","0"
"10","1784","0","0","185313","0","0","0","0","12","0"
"12","2425","0","0","0","0","0","0","0","12","0"
"13","3411","0","0","0","65219","0","0","0","0","0"
"14","3680","0","0","0","0","0","0","0","12","0"
"15","4079","0","0","0","0","0","0","0","12","0"
"16","4342","4341","0","0","0","0","0","0","0","0"
"17","4986","0","0","0","0","0","0","0","12","0"
"18","5143","79683","0","0","0","0","0","0","0","0"
"19","5215","0","0","0","0","0","0","0","12","0"
"21","5308","0","0","0","0","0","0","2","0","0"
"22","5543","0","0","0","0","0","0","0","12","0"
"23","5858","0","0","0","0","0","0","0","12","0"
"26","6538","0","0","0","0","0","0","0","12","0"
"28","6634","0","0","0","0","0","0","0","12","0"
"31","7450","51455","0","0","0","0","0","0","0","0"
"32","7870","0","0","0","0","0","0","0","12","0"
"33","7938","0","0","0","0","0","0","2","0","0"
"34","8149","0","0","0","0","0","0","0","12","0"
"35","8152","0","0","0","0","0","0","0","12","0"
"36","8218","0","0","0","0","0","0","0","12","0"
"37","9093","0","0","0","0","0","0","0","12","0"
"38","9587","0","0","0","0","0","0","0","12","0"
"39","9738","0","0","0","0","0","0","0","12","0"
"40","11327","0","0","0","0","0","0","0","12","0"
"41","11392","0","0","0","0","0","0","0","12","0"
"44","12438","0","0","79636","0","0","0","0","0","0"
"45","12845","0","0","0","0","0","0","0","12","0"
"48","16122","0","0","0","0","0","0","0","12","0"
"49","16380","0","0","0","0","0","0","0","12","0"
"50","16495","0","0","0","0","0","0","2","0","0"
"51","16593","0","0","79636","0","0","0","0","0","0"
"52","17170","0","0","0","0","0","2","0","0","0"
"55","19130","0","0","0","0","0","1","0","0","0"
"59","20539","0","0","0","0","0","0","2","0","0"
"60","20540","0","0","0","0","0","0","0","12","0"
