Id,Unknown0,Unknown1
"1","709","261"
"2","710","260"
"3","710","259"
"4","710","261"
"5","710","71"
"6","710","105"
"7","710","103"
"8","710","102"
"9","710","72"
"10","710","73"
"16","709","259"
"21","713","260"
"22","713","259"
"23","713","261"
"24","713","71"
"25","713","105"
"26","713","103"
"27","713","102"
"28","713","72"
"29","713","73"
"39","729","103"
"40","729","66"
"41","729","73"
"42","730","250"
"43","730","103"
"44","730","66"
"45","730","73"
"51","728","250"
"52","728","103"
"53","728","66"
"54","728","73"
"59","729","250"
"63","736","261"
"64","736","71"
"65","736","103"
"68","740","261"
"69","740","71"
"70","737","261"
"71","737","71"
"72","737","103"
"77","740","103"
"78","741","261"
"79","741","71"
"80","741","103"
"81","745","250"
"82","745","103"
"83","745","66"
"84","745","73"
"85","746","250"
"86","746","103"
"87","746","66"
"88","746","73"
"97","749","250"
"98","749","103"
"99","749","66"
"100","749","73"
"101","1039","260"
"102","1039","259"
"103","1039","261"
"104","1039","71"
"105","1039","105"
"106","1039","103"
"107","1039","102"
"108","1039","72"
"109","1039","73"
"110","1077","258"
"117","1080","262"
"118","1080","264"
"119","1080","263"
"120","1081","262"
"121","1081","264"
"122","1081","263"
"123","1082","262"
"124","1082","264"
"125","1082","263"
"126","1083","262"
"127","1083","264"
"128","1083","263"
"132","1147","262"
"133","1147","264"
"134","1147","263"
"135","1148","262"
"136","1148","264"
"137","1148","263"
"138","1149","260"
"139","1149","259"
"140","1149","261"
"141","1149","71"
"142","1149","105"
"143","1149","103"
"144","1149","102"
"145","1149","72"
"146","1149","73"
"147","1","256"
"148","1","257"
"458","1583","256"
"459","1583","257"
"460","1583","258"
"461","1584","256"
"462","1584","257"
"463","1584","258"
"464","1585","270"
"465","1586","270"
"509","1664","258"
"905","2038","256"
"906","2038","257"
"907","2038","258"
"908","2039","65"
"909","2039","66"
"910","2039","70"
"1305","2384","256"
"1306","2384","257"
"1307","2384","258"
"1308","2385","256"
"1309","2385","257"
"1310","2385","258"
"1311","2386","256"
"1312","2386","257"
"1313","2386","258"
"1314","2387","256"
"1315","2387","257"
"1316","2387","258"
"1610","2926","66"
"1611","2926","73"
"1612","2926","103"
"1613","2926","250"
"1615","2928","66"
"1616","2928","73"
"1617","2928","103"
"1618","2928","250"
"1619","2929","66"
"1620","2929","73"
"1621","2929","103"
"1622","2929","250"
"1623","2930","66"
"1624","2930","73"
"1625","2930","103"
"1626","2930","250"
"1645","3045","62"
"1646","3045","63"
"1647","3045","64"
"1648","3045","65"
"1649","3045","66"
"1650","3045","70"
"1651","3045","71"
"1652","3045","72"
"1653","3045","73"
"1654","3045","74"
"1655","3045","79"
"1656","3045","81"
"1657","3045","102"
"1658","3045","103"
"1659","3045","104"
"1660","3045","105"
"1661","3045","250"
"1662","3045","251"
"1663","3045","252"
"1664","3045","253"
"1665","3045","254"
"1666","3045","255"
"1667","3045","256"
"1668","3045","257"
"1669","3045","258"
"1670","3045","259"
"1671","3045","260"
"1672","3045","261"
"1673","3045","262"
"1674","3045","263"
"1675","3045","264"
"1676","3045","265"
"1677","3045","266"
"1678","3045","267"
"1679","3045","268"
"1680","3045","269"
"1681","3045","270"
"1682","3045","535"
"1683","3045","536"
"1684","3045","537"
"1685","3046","62"
"1686","3046","63"
"1687","3046","64"
"1688","3046","65"
"1689","3046","66"
"1690","3046","70"
"1691","3046","71"
"1692","3046","72"
"1693","3046","73"
"1694","3046","74"
"1695","3046","79"
"1696","3046","81"
"1697","3046","102"
"1698","3046","103"
"1699","3046","104"
"1700","3046","105"
"1701","3046","250"
"1702","3046","251"
"1703","3046","252"
"1704","3046","253"
"1705","3046","254"
"1706","3046","255"
"1707","3046","256"
"1708","3046","257"
"1709","3046","258"
"1710","3046","259"
"1711","3046","260"
"1712","3046","261"
"1713","3046","262"
"1714","3046","263"
"1715","3046","264"
"1716","3046","265"
"1717","3046","266"
"1718","3046","267"
"1719","3046","268"
"1720","3046","269"
"1721","3046","270"
"1722","3046","535"
"1723","3046","536"
"1724","3046","537"
"1725","3047","66"
"1726","3047","73"
"1727","3047","103"
"1728","3047","250"
"1729","3051","65"
"1730","3051","105"
"1731","3051","256"
"1732","3051","257"
"1733","3051","264"
"1734","3051","270"
"1735","3052","65"
"1736","3052","105"
"1737","3052","256"
"1738","3052","257"
"1739","3052","264"
"1740","3052","270"
"1743","3100","66"
"1744","3100","73"
"1745","3100","103"
"1746","3100","250"
"1747","3101","66"
"1748","3101","73"
"1749","3101","103"
"1750","3101","250"
"1751","3102","66"
"1752","3102","73"
"1753","3102","103"
"1754","3102","250"
"1755","3103","66"
"1756","3103","73"
"1757","3103","103"
"1758","3103","250"
"1759","3104","66"
"1760","3104","73"
"1761","3104","103"
"1762","3104","250"
"1763","3105","66"
"1764","3105","73"
"1765","3105","103"
"1766","3105","250"
"1767","3106","66"
"1768","3106","73"
"1769","3106","103"
"1770","3106","250"
"1771","3107","66"
"1772","3107","73"
"1773","3107","103"
"1774","3107","250"
"1780","3191","66"
"1781","3191","73"
"1782","3191","103"
"1783","3191","250"
"1784","3192","66"
"1785","3192","73"
"1786","3192","103"
"1787","3192","250"
"1800","3266","62"
"1801","3266","63"
"1802","3266","64"
"1803","3266","65"
"1804","3266","66"
"1805","3266","70"
"1806","3266","71"
"1807","3266","72"
"1808","3266","73"
"1809","3266","74"
"1810","3266","79"
"1811","3266","81"
"1812","3266","102"
"1813","3266","103"
"1814","3266","104"
"1815","3266","105"
"1816","3266","250"
"1817","3266","251"
"1818","3266","252"
"1819","3266","253"
"1820","3266","254"
"1821","3266","255"
"1822","3266","256"
"1823","3266","257"
"1824","3266","258"
"1825","3266","259"
"1826","3266","260"
"1827","3266","261"
"1828","3266","262"
"1829","3266","263"
"1830","3266","264"
"1831","3266","265"
"1832","3266","266"
"1833","3266","267"
"1834","3266","268"
"1835","3266","269"
"1836","3266","270"
"1837","3266","535"
"1838","3266","536"
"1839","3266","537"
"1880","3271","66"
"1881","3271","73"
"1882","3271","103"
"1883","3271","250"
"1885","3282","66"
"1886","3282","73"
"1887","3282","103"
"1888","3282","250"
"1890","3327","66"
"1891","3327","73"
"1892","3327","103"
"1893","3327","250"
"1894","3332","66"
"1895","3332","73"
"1896","3332","103"
"1897","3332","250"
"1900","3351","65"
"1901","3351","105"
"1902","3351","256"
"1903","3351","257"
"1904","3351","264"
"1905","3351","270"
"1906","3352","65"
"1907","3352","105"
"1908","3352","256"
"1909","3352","257"
"1910","3352","264"
"1911","3352","270"
"1924","3364","66"
"1925","3364","73"
"1926","3364","103"
"1927","3364","250"
"1928","3377","65"
"1929","3377","105"
"1930","3377","256"
"1931","3377","257"
"1932","3377","264"
"1933","3377","270"
"1934","3378","65"
"1935","3378","105"
"1936","3378","256"
"1937","3378","257"
"1938","3378","264"
"1939","3378","270"
"1944","3468","65"
"1945","3468","66"
"1946","3468","70"
