Id,Unknown0,Unknown1,Unknown2
"4","871","0","1"
"489","105914","0","1"
"699","70691","0","1"
"700","70691","1","1"
"729","8042","2","1"
"741","16511","2","1"
"746","24423","2","1"
"749","26017","2","1"
"1147","114719","1","1"
"1148","114720","1","1"
"1149","114727","2","1"
"1182","115942","0","1"
"1549","115151","0","2"
"1550","119611","0","1"
"1551","119611","1","1"
"1570","102352","0","1"
"1571","102352","1","1"
"1572","102351","0","1"
"1573","102351","1","1"
"1583","114908","0","0"
"1584","114908","1","0"
"1585","116849","0","1"
"1586","116849","1","1"
"1664","131073","1","0"
"2034","57724","0","2"
"2035","57723","0","2"
"2036","80354","0","2"
"2037","95809","0","2"
"2038","6788","0","0"
"2039","25771","0","0"
"2379","135002","0","1"
"2380","135088","0","1"
"2448","123258","0","1"
"2449","123258","1","1"
"2559","143650","0","2"
"2564","144080","0","1"
"2565","144080","1","1"
"2598","145057","0","1"
"2915","774","0","1"
"2916","774","1","1"
"2917","155777","0","1"
"2918","155777","1","1"
"2919","53563","0","1"
"2920","156910","0","1"
"2921","156910","1","1"
"2922","53563","1","1"
"2926","159936","2","1"
"2928","160018","2","1"
"2929","160060","2","1"
"2934","160455","0","2"
"2936","156322","0","1"
"2937","156322","1","1"
"2948","89140","0","1"
"2949","97821","0","2"
"2950","97821","1","2"
"2954","36032","0","2"
"3021","172865","0","1"
"3034","177168","0","1"
"3035","177168","1","1"
"3045","158263","1","0"
"3046","26013","1","0"
"3051","81782","0","1"
"3052","81782","1","1"
"3055","1464","0","2"
"3056","1464","1","2"
"3064","178649","0","1"
"3065","178649","1","1"
"3066","178649","2","2"
"3117","174524","0","2"
"3118","174524","1","2"
"3135","55711","0","1"
"3136","55711","1","1"
"3137","36032","1","2"
"3181","186370","0","1"
"3182","186370","1","1"
"3191","187871","2","1"
"3192","188214","2","1"
"3200","185875","0","1"
"3201","185875","1","1"
"3202","188550","0","1"
"3203","188550","1","1"
"3212","179987","0","2"
"3213","179993","0","2"
"3214","181683","0","2"
"3258","194384","0","1"
"3259","194384","1","1"
"3266","194958","1","0"
"3267","194961","1","2"
"3271","195292","2","1"
"3272","195302","0","2"
"3273","195302","1","2"
"3282","196840","2","1"
"3283","197126","1","1"
"3284","197126","0","1"
"3288","124682","0","1"
"3298","199279","0","1"
"3299","199279","1","1"
"3320","191840","0","1"
"3327","205750","2","1"
"3351","208997","0","1"
"3352","208997","1","1"
"3358","209193","0","1"
"3362","210320","0","1"
"3363","210320","1","1"
"3364","210854","2","1"
"3365","211071","0","2"
"3366","211080","0","2"
"3367","211081","0","2"
"3368","211084","0","2"
"3369","211093","0","2"
"3370","211102","0","2"
"3371","211110","0","2"
"3372","211558","1","1"
"3373","212414","0","1"
"3377","212580","0","1"
"3378","212580","1","1"
"3388","214169","2","1"
"3389","214206","0","1"
"3390","214206","1","1"
"3392","214350","2","1"
"3396","186439","0","1"
"3397","186439","1","1"
"3405","215670","0","1"
"3406","215670","1","1"
"3407","215670","2","1"
"3408","215859","0","1"
"3409","215859","1","1"
"3410","215859","2","1"
"3411","215884","0","1"
"3412","215884","1","1"
"3413","215884","2","1"
"3414","215936","0","1"
"3415","215936","1","1"
"3416","215936","2","1"
"3422","217642","0","1"
"3423","218822","0","2"
"3424","211117","0","2"
"3425","211426","0","2"
"3426","214411","0","2"
"3433","204284","0","1"
"3434","207011","0","2"
"3435","207013","0","1"
"3436","207012","0","2"
"3437","207011","1","2"
"3438","207012","1","2"
"3440","210339","0","1"
"3441","221812","2","1"
"3442","222050","2","1"
"3446","223599","0","1"
"3447","223599","1","1"
"3449","203125","0","2"
"3450","203124","0","2"
"3451","203121","0","2"
"3452","203102","0","2"
"3454","224392","0","1"
"3455","224392","1","1"
"3458","215206","0","1"
"3459","215206","1","1"
"3460","215267","0","1"
"3461","215267","1","1"
"3462","214229","0","1"
"3463","214229","1","1"
"3464","214229","2","1"
"3465","222706","0","1"
"3466","222706","1","1"
"3467","222706","2","1"
"3468","225056","0","0"
"3469","210099","0","2"
"3470","215836","0","2"
"3483","208880","2","2"
"3484","214648","0","2"
"3485","211071","1","2"
"3486","211080","1","2"
"3487","211081","1","2"
"3488","211110","1","2"
"3489","211102","1","2"
"3490","211093","1","2"
"3491","211084","1","2"
"3495","227345","0","1"
"3496","197134","0","2"
"3497","197134","1","2"
"3516","228784","2","1"
"3517","222209","2","1"
"3520","229333","0","2"
"3530","187464","0","1"
"3531","187464","1","1"
"3532","226802","0","2"
"3533","226802","1","2"
"3534","226802","2","2"
"3535","113942","0","2"
"3536","113942","1","2"
"3537","113942","2","2"
"3538","230088","0","1"
"3539","230088","1","1"
"3540","230088","2","1"
"3541","230090","0","1"
"3542","230090","1","1"
"3543","230090","2","1"
"3613","206151","0","2"
"3617","225724","0","1"
"3618","225724","1","1"
"3634","191840","1","1"
"3635","229684","0","2"
"3647","234711","0","1"
"3648","234711","1","1"
"3649","188409","0","1"
"3650","234143","0","2"
"3651","234143","1","2"
