Id,Unknown0,Unknown1,Unknown2
"1","0","0","0"
"2","250","250","0"
"3","500","500","0"
"4","1000","1000","0"
"5","2000","2000","0"
"6","5000","5000","0"
"7","10000","10000","0"
"8","20000","20000","0"
"9","30000","30000","0"
"12","5000","2500","-100"
"13","30000","10000","-1000"
"14","3000","3000","0"
"15","4000","4000","0"
"16","1500","1500","0"
"18","4293967296","4293967296","0"
"19","2500","2500","0"
"21","2600","2600","0"
"22","3500","3500","0"
"23","1800","1800","0"
"24","2200","2200","0"
"25","2900","2900","0"
"26","3700","3700","0"
"27","4100","4100","0"
"28","3200","3200","0"
"29","4700","4700","0"
"30","4500","4500","0"
"31","2300","2300","0"
"32","7000","7000","0"
"36","600","600","0"
"39","15000","15000","0"
"50","1300","1300","0"
"70","300000","300000","0"
"90","1700","1700","0"
"91","2800","2800","0"
"130","1600","1600","0"
"150","3800","3800","0"
"151","2700","2700","0"
"152","3100","3100","0"
"153","3400","3400","0"
"170","8000","8000","0"
"171","6000","6000","0"
"190","100","100","0"
"193","12000","12000","0"
"194","4293967296","1500","0"
"195","1100","1100","0"
"196","750","750","0"
"197","850","850","0"
"198","900","900","0"
"199","333","333","0"
"201","19000","19000","0"
"202","1400","1400","0"
"203","14000","14000","0"
"204","9000","9000","0"
"206","1250","1250","0"
"207","40000","40000","0"
"208","60000","60000","0"
"209","200","200","0"
"210","950","950","0"
"211","2400","2400","0"
"212","400","400","0"
"213","1750","1750","0"
"214","27000","27000","0"
"215","800","800","0"
"216","1900","1900","0"
"217","11000","11000","0"
"223","5500","5500","0"
"224","6500","6500","0"
"225","2100","2100","0"
"226","120000","120000","0"
"231","22000","22000","0"
"232","23000","23000","0"
"237","1200","1200","0"
"252","666","666","0"
"257","1650","1650","0"
"259","2250","2250","0"
"260","2750","2750","0"
"261","16000","16000","0"
"262","3000","100","-100"
"263","3000","1800","-200"
"281","700","700","0"
"283","1625","1625","0"
"284","3600","3600","0"
"287","650","650","0"
"290","300","300","0"
"296","7400","7400","0"
"297","5300","5300","0"
"298","18000","18000","0"
"299","17000","17000","0"
"300","17400","17400","0"
"301","9300","9300","0"
"302","8200","8200","0"
"303","90000","90000","0"
"304","18500","18500","0"
"308","35000","0","0"
"315","1333","1333","0"
"317","4400","4400","0"
"318","550","550","0"
"319","1550","1550","0"
"320","1150","1150","0"
"321","150","150","0"
"322","450","450","0"
"323","3250","3250","0"
"327","4300","4300","0"
"328","4200","4200","0"
"329","50000","50000","0"
"330","5600","5600","0"
"331","45000","45000","0"
"333","55000","55000","0"
"335","8500","8500","0"
"336","1950","1950","0"
"337","12500","12500","0"
"338","5400","5400","0"
"339","630","630","0"
"340","7500","7500","0"
"343","118000","118000","0"
"344","3300","3300","0"
"345","80000","80000","0"
"255","1000","1000","0"
"34","2000","2000","0"
"35","5000","5000","0"
"38","10000","10000","0"
"33","1500","1500","0"
"243","1500","1500","0"
"295","1500","1500","0"
"20","2500","2500","0"
"230","2500","2500","0"
"37","3500","3500","0"
"311","3500","3500","0"
"316","4500","4500","0"
"192","15000","15000","0"
"341","12500","12500","0"
"342","12500","12500","0"
