Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"2","53","0","0","0","1","0","0"
"4","75","0","0","0","1","0","0"
"6","100","0","0","0","1","0","0"
"8","133","0","0","0","1","0","0"
"9","348","0","0","0","1","0","0"
"10","403","0","0","0","1","0","0"
"11","408","0","0","0","1","0","0"
"12","421","0","0","0","1","0","0"
"13","585","0","0","0","1","0","0"
"15","686","0","0","0","1","0","0"
"17","703","0","0","0","1","0","0"
"18","772","0","0","0","1","0","0"
"22","1079","0","0","0","1","0","0"
"25","1329","0","0","0","1","0","0"
"26","1464","0","0","0","1","0","0"
"28","1752","0","0","0","1","0","0"
"29","1766","0","0","0","1","0","0"
"30","1776","0","0","0","1","0","0"
"31","1822","0","0","0","1","0","0"
"32","1833","0","0","0","1","0","0"
"33","1943","0","0","0","1","0","0"
"36","2098","0","0","0","1","0","0"
"38","2538","0","0","4","0","0","0"
"39","2539","0","0","4","0","0","0"
"40","2540","0","0","4","0","0","0"
"41","2541","0","0","4","0","0","0"
"42","2542","0","0","4","0","0","0"
"43","2543","0","0","4","0","0","0"
"44","2544","0","0","4","0","0","0"
"45","2545","0","0","4","0","0","0"
"46","2546","0","0","4","0","0","0"
"47","2547","0","0","4","0","0","0"
"48","2548","0","0","4","0","0","0"
"49","2549","0","0","4","0","0","0"
"50","2643","0","0","0","1","0","0"
"51","2657","0","0","3","0","0","0"
"52","2658","0","0","3","0","0","0"
"53","2659","0","0","3","0","0","0"
"54","2661","0","0","1","0","0","0"
"55","2662","0","0","1","0","0","0"
"56","2663","0","0","1","0","0","0"
"57","2664","0","0","1","0","0","0"
"58","2666","0","0","1","0","0","0"
"59","2667","0","0","1","0","0","0"
"60","2668","0","0","1","0","0","0"
"61","2670","0","0","1","0","0","0"
"62","2671","0","0","1","0","0","0"
"63","2672","0","0","1","0","0","0"
"64","2673","0","0","1","0","0","0"
"65","2675","0","0","1","0","0","0"
"66","2737","0","0","1","0","0","0"
"67","2738","0","0","1","0","0","0"
"68","2739","0","0","1","0","0","0"
"69","2740","0","0","1","0","0","0"
"70","2741","0","0","1","0","0","0"
"71","2742","0","0","1","0","0","0"
"72","2764","0","0","0","1","0","0"
"73","2795","0","0","4","0","0","0"
"74","2912","0","0","0","1","0","0"
"75","2948","0","0","0","1","0","0"
"78","3018","0","0","0","1","0","0"
"82","3292","0","0","1","0","0","0"
"83","3293","0","0","1","0","0","0"
"84","3294","0","0","1","0","0","0"
"85","3295","0","0","1","0","0","0"
"86","3296","0","0","1","0","0","0"
"87","3297","0","0","1","0","0","0"
"88","3304","0","0","3","0","0","0"
"89","3307","0","0","3","0","0","0"
"90","3308","0","0","3","0","0","0"
"91","3319","0","0","1","0","0","0"
"92","3321","0","0","1","0","0","0"
"93","3323","0","0","1","0","0","0"
"94","3324","0","0","1","0","0","0"
"95","3325","0","0","1","0","0","0"
"96","3328","0","0","1","0","0","0"
"97","3330","0","0","1","0","0","0"
"98","3331","0","0","1","0","0","0"
"99","3333","0","0","1","0","0","0"
"100","3334","0","0","1","0","0","0"
"101","3336","0","0","1","0","0","0"
"102","3370","0","0","4","0","0","0"
"103","3371","0","0","4","0","0","0"
"104","3372","0","0","4","0","0","0"
"105","3373","0","0","4","0","0","0"
"106","3376","0","0","4","0","0","0"
"107","3377","0","0","4","0","0","0"
"108","3397","0","0","4","0","0","0"
"109","3398","0","0","4","0","0","0"
"110","3399","0","0","4","0","0","0"
