Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"1","1","0","0","0","0","1","0","0","1"
"2","3","0","0","0","0","1","0","0","1"
"3","4","0","0","0","0","1","0","0","1"
"5","11","0","0","0","0","1","0","0","0"
"7","13","0","0","0","0","1","0","0","1"
"8","14","0","0","0","0","1","0","0","1"
"10","17","56","133","0","0","1","1","19","1"
"13","24","0","0","0","0","1","0","0","1"
"15","26","0","0","0","0","1","0","0","1"
"16","27","0","0","0","0","1","0","0","1"
"17","31","0","0","0","0","1","0","0","1"
"18","33","0","0","0","0","1","0","0","1"
"19","34","0","0","0","0","1","0","0","1"
"20","35","0","0","0","0","1","0","0","1"
"24","53","0","133","0","0","2","0","0","2"
"25","56","32","0","0","0","1","0","12","0"
"27","59","0","0","0","0","1","0","0","1"
"30","65","0","0","0","0","1","1","0","1"
"31","66","1162","133","0","0","1","6","0","1"
"34","71","1415","0","0","0","0","0","0","4"
"36","75","0","0","0","0","3","0","0","2"
"37","77","0","0","0","0","1","0","0","1"
"39","81","0","0","0","0","1","0","0","1"
"41","91","65","0","0","0","2","1","0","2"
"42","96","0","133","0","0","0","0","0","0"
"43","99","0","133","0","0","2","0","14","1"
"44","100","0","0","1386","0","2","0","0","2"
"45","101","32","133","0","0","2","0","0","2"
"46","107","0","0","0","0","1","0","0","1"
"47","108","0","0","0","0","1","0","0","1"
"49","111","0","0","0","0","1","0","0","1"
"50","112","0","0","0","0","1","0","0","1"
"52","116","0","133","0","0","1","1","0","5"
"53","118","0","133","0","0","1","1","17","1"
"54","120","50","133","0","0","1","0","0","1"
"55","122","0","133","1588","0","1","1","0","1"
"56","126","0","133","0","0","1","0","0","1"
"57","130","0","133","0","0","1","0","0","1"
"60","133","0","133","0","0","1","0","0","1"
"61","134","21","0","0","0","1","1","0","1"
"62","136","0","133","0","0","1","1","0","1"
"63","139","0","133","0","0","1","1","0","1"
"65","172","0","133","0","0","1","1","0","1"
"67","196","0","0","0","0","1","0","0","1"
"68","197","0","0","0","0","1","0","0","1"
"69","198","0","0","0","0","1","0","0","1"
"70","199","0","0","0","0","1","0","0","1"
"71","200","0","0","0","0","1","0","0","1"
"72","201","0","0","0","0","1","0","0","1"
"73","202","0","0","0","0","1","0","0","1"
"74","203","0","0","0","0","1","0","0","1"
"75","204","0","0","0","0","1","0","0","1"
"76","227","0","0","0","0","1","0","0","1"
"77","228","0","133","0","0","1","1","17","1"
"80","261","0","0","0","0","1","0","0","1"
"83","264","0","0","0","0","1","0","0","1"
"84","266","0","0","0","0","1","0","0","1"
"85","269","0","0","0","0","1","0","0","1"
"86","271","0","0","0","0","1","0","0","1"
"89","339","0","133","0","0","1","1","7","1"
"90","348","0","133","0","0","1","1","0","1"
"91","355","82","0","0","0","2","0","0","1"
"92","370","0","133","0","0","1","0","0","1"
"93","403","0","133","0","0","1","0","0","1"
"94","408","270","133","0","0","2","0","12","2"
"95","421","85","133","0","0","1","0","0","1"
"96","427","0","0","0","0","1","0","0","1"
"97","428","0","0","0","0","1","0","0","1"
"104","436","4","0","0","0","1","0","0","0"
"105","437","0","0","0","0","1","0","0","0"
"106","438","4","0","0","0","1","0","0","0"
"107","439","30","0","0","0","1","0","0","0"
"108","440","30","0","0","0","1","0","0","0"
"109","441","30","0","0","0","1","0","0","0"
"110","442","0","0","0","0","1","0","0","1"
"111","443","0","0","0","0","1","0","0","1"
"112","444","0","0","0","0","1","0","0","1"
"113","445","0","0","0","0","1","0","0","1"
"114","446","0","0","0","0","1","0","0","1"
"115","447","0","0","0","0","1","0","0","1"
"120","458","0","330","0","0","0","0","21","0"
"121","459","0","133","0","0","0","0","21","0"
"124","464","0","0","0","0","1","0","0","1"
"126","467","0","133","0","0","1","1","0","1"
"127","468","0","0","0","0","0","0","21","0"
"129","470","0","330","0","0","0","0","21","0"
