Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37_0,Unknown37_1,Unknown37_2,Unknown38_0,Unknown38_1,Unknown38_2,Unknown39_0,Unknown39_1,Unknown39_2,Unknown40_0,Unknown40_1,Unknown40_2,Unknown41,Unknown42,Unknown43,Unknown44_0,Unknown44_1,Unknown44_2,Unknown45,Unknown46,Unknown47,Unknown48_0,Unknown48_1,Unknown48_2,Unknown48_3,Unknown48_4,Unknown48_5,Unknown48_6,Unknown48_7,Unknown48_8,Unknown48_9,Unknown48_10,Unknown49,Unknown50,Unknown51,Unknown52,Unknown53,Unknown54,Unknown55,Unknown56,Unknown57,Unknown58,Unknown59,Unknown60,Unknown61
"1","2.78","0.5","0.04","1","1000","68","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.607","8","2","0","0.066","0.01","1","1","1","0","0","0","2","0","0","0","0","0","0","0.5","0.5","Textures\SpellChainEffects\Lightning.blp","","","","2","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"2","2.78","0.25","0.001","1.66","2000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","1.66","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\HealBeam.blp","","","","43","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"3","2.78","0.25","0.01","-2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","-2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\DrainManaLightning.blp","","","","83","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"4","2.78","0.25","0.01","-2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","-2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\ManaBeam.blp","","","","133","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"5","2.78","0.25","0.01","2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\SoulBeam.blp","","","","173","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"6","2.78","0.25","0.045","2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\ManaBurnBeam.blp","","","","213","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"7","2.78","0.5","0.03","1","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","1","1","1","0","0","0","2","0","0","0","0","0","0","0.5","0.5","Textures\SpellChainEffects\ShockLightning.blp","","","","257","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"8","2.78","0.25","0.01","-2","1000","68","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-24","4","1","2","0","0.066","0.01","-2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\SoulBeam.blp","","","","173","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"9","2.78","0.25","0.01","2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\ManaBeam.blp","","","","133","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"10","2.78","0.25","0.01","2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\Beam_Purple.blp","","","","303","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
"11","2.78","0.25","0.01","2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\RopeBeam.blp","","","","346","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","255","255","255","255","2","0"
"12","2.78","0.25","0","2","1000","4","0","0","0","0","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.066","0.01","2","1","1","0","0","0","2","0","0","0","0","0","0","0.25","0.25","Textures\SpellChainEffects\Beam_Red.blp","","","","386","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","255","255","255","255","3","0"
