Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown2,Unknown3
"3","17","1","0","0","0","6","0"
"4","53","8388612","0","0","0","8","0"
"5","59","0","0","0","0","0","59"
"8","66","2147483648","262144","0","0","3","0"
"10","71","8388608","0","1048576","0","4","0"
"12","75","1","0","0","0","9","0"
"14","99","0","1","0","0","7","0"
"15","100","1","0","0","0","4","0"
"16","116","32","0","0","0","3","0"
"17","118","16777216","0","0","0","3","0"
"18","120","512","0","0","0","3","0"
"19","122","64","0","0","0","3","0"
"20","126","0","0","0","524288","5","0"
"21","130","2147483648","8388608","8","0","3","0"
"24","133","1","0","8","0","3","0"
"25","136","8388608","0","0","0","9","0"
"26","139","64","0","0","0","6","0"
"27","172","2","0","0","0","5","0"
"28","265","4","0","0","0","5","0"
"31","339","512","0","0","0","7","0"
"32","348","4","0","0","4194304","5","0"
"33","355","32768","0","0","0","4","0"
"34","370","0","0","16777216","0","11","0"
"36","403","1","0","0","0","11","0"
"37","408","2097152","0","0","0","8","0"
"38","421","2","0","0","0","11","0"
"39","436","0","0","0","0","13","0"
"40","437","0","0","0","0","13","0"
"41","438","0","0","0","0","13","0"
"42","439","0","0","0","0","13","0"
"43","440","0","0","0","0","13","0"
"44","441","0","0","0","0","13","0"
"47","467","0","0","0","0","7","0"
"51","498","0","0","256","0","10","0"
"52","527","0","1","0","0","6","0"
"53","528","33554432","0","0","0","6","0"
"54","546","0","536870912","0","0","11","0"
"55","556","0","1073741824","0","0","11","0"
"56","585","128","0","0","0","6","0"
"57","586","16384","0","0","0","6","0"
"60","589","32768","0","0","0","6","0"
"61","596","512","0","0","0","6","0"
"63","603","0","2","0","67108864","5","0"
"64","605","131072","0","0","0","6","0"
"65","633","32768","0","0","0","10","0"
"67","642","4194304","0","0","0","10","0"
"68","673","0","0","0","0","13","0"
"70","686","1","0","0","0","5","0"
"72","688","67117056","0","512","0","5","0"
"74","691","536879104","0","512","0","5","0"
"76","697","134225920","0","512","0","5","0"
"77","698","0","268435456","0","0","5","0"
"78","700","0","0","0","0","3","0"
"80","703","256","0","0","0","8","0"
"81","710","0","134217728","0","0","5","0"
"82","712","268443648","0","512","0","5","0"
"84","740","0","2097152","0","0","7","0"
"85","755","16777216","0","0","0","5","0"
"87","768","2147483648","0","0","1","7","0"
"89","772","32","0","0","0","4","0"
"90","774","16","0","0","0","7","0"
"92","781","0","16384","0","0","9","0"
"93","783","0","16384","0","0","7","0"
"95","845","4194304","0","0","0","4","0"
"96","853","2048","0","0","0","10","0"
"98","871","8192","0","0","0","4","0"
"100","921","2147483648","0","0","0","8","0"
"102","980","1024","0","0","0","5","0"
"103","982","16777216","0","0","0","9","0"
"105","1022","128","0","0","0","10","0"
"107","1044","16","0","0","0","10","0"
"108","1064","256","0","0","0","11","0"
"109","1066","536870912","0","0","0","7","0"
"110","1079","0","0","2097152","0","7","0"
"112","1090","0","0","0","0","3","0"
"113","1098","2048","0","0","0","5","0"
"117","1160","131072","0","0","0","4","0"
"119","1178","0","0","0","67108864","7","0"
"120","1329","0","2097152","0","0","8","0"
"121","1449","4096","0","0","16","3","0"
"122","1454","262144","0","0","0","5","0"
"124","1463","0","0","0","0","3","0"
"125","1464","2097152","0","0","0","4","0"
"127","1494","0","0","2","0","9","0"
"131","1535","134217728","0","0","0","11","0"
"132","1543","0","32768","0","0","9","0"
"133","1680","0","4","0","0","4","0"
"134","1706","0","0","1","0","6","0"
"136","1715","2","0","0","0","4","0"
"137","1719","16","0","0","0","4","0"
"138","1725","4096","0","0","0","8","0"
"140","1752","8388610","0","0","0","8","0"
"141","1766","16","0","0","0","8","0"
"142","1776","8","0","0","0","8","0"
"143","1784","4194304","0","0","0","8","0"
"144","1804","0","16384","0","0","8","0"
"145","1822","4096","0","0","0","7","0"
"146","1833","1024","0","0","0","8","0"
"148","1850","0","0","8","0","7","0"
"149","1856","2048","0","0","0","8","0"
"150","1860","0","32768","0","0","8","0"
"151","1943","1048576","0","0","0","8","0"
"153","1953","65536","0","0","0","3","0"
"154","1966","134217728","0","0","0","8","0"
"156","2006","0","0","0","1048576","6","0"
"157","2008","0","0","268435456","0","11","0"
"158","2023","0","0","0","0","13","0"
"159","2024","0","0","0","0","13","0"
"160","2050","1024","0","0","0","6","0"
"161","2060","4096","0","0","0","6","0"
"162","2061","2048","0","0","0","6","0"
"164","2094","16777216","0","0","0","8","0"
"165","2096","0","2147483648","0","0","6","0"
"166","2098","8388608","0","0","65536","8","0"
"167","2120","4","0","0","8","3","0"
"169","2139","16384","0","0","0","3","0"
"171","2367","0","0","0","0","13","0"
"172","2370","0","0","0","0","13","0"
"175","2378","0","0","0","0","13","0"
"176","2379","0","0","0","0","13","0"
"177","2380","0","0","0","0","13","0"
"180","2484","536903680","0","32","0","11","0"
"181","2565","4096","0","0","0","4","0"
"182","2585","0","1073741824","0","0","5","0"
"183","2599","0","0","0","0","13","0"
"184","2600","0","0","0","0","13","0"
"186","2643","4096","0","0","0","9","0"
"187","2645","2048","0","0","0","11","0"
"188","2649","0","268435456","0","0","9","0"
"190","2764","1","0","0","0","8","0"
"191","2782","0","0","0","32768","7","0"
"193","2818","65536","524288","0","0","8","0"
"194","2823","65536","0","1","0","8","0"
"195","2825","0","64","0","0","11","0"
"200","2912","4","0","0","0","7","0"
"202","2948","16","0","0","0","3","0"
"205","2983","64","0","0","0","8","0"
"206","3025","0","0","0","0","7","0"
"207","3026","0","67108864","0","0","5","0"
"211","3045","32","0","0","0","9","0"
"212","3110","0","0","1073741824","0","5","0"
"220","3164","0","0","0","0","13","0"
"225","3169","0","0","0","0","13","0"
"226","3219","0","0","0","0","13","0"
"227","3220","0","0","0","0","13","0"
"229","3222","0","0","0","0","13","0"
"230","3223","0","0","0","0","13","0"
"231","3355","8","0","0","0","9","0"
"232","3408","16384","0","1","0","8","0"
"233","3409","16384","524288","0","0","8","0"
"234","3411","0","65536","0","0","4","0"
"236","3561","2147483648","0","0","268435456","3","0"
"237","3562","2147483648","0","0","268435456","3","0"
"238","3563","2147483648","0","0","268435456","3","0"
"239","3565","2147483648","0","0","268435456","3","0"
"240","3566","2147483648","0","0","268435456","3","0"
"241","3567","2147483648","0","0","268435456","3","0"
"242","3593","0","0","0","0","13","0"
"244","3600","0","1","0","0","11","0"
"245","3606","1073741824","0","0","0","11","0"
"247","3680","0","0","0","0","13","0"
"248","3716","262144","0","134217728","0","57","0"
"250","4042","0","0","0","0","13","0"
"253","4987","4096","0","0","0","10","0"
"254","5116","512","0","0","0","9","0"
"257","5143","2048","0","0","0","3","0"
"258","5171","262144","0","33554432","0","8","0"
"259","5176","1","0","0","0","7","0"
"260","5185","32","0","0","0","7","0"
"262","5211","8192","0","0","0","7","0"
"263","5215","16384","0","0","0","7","0"
"264","5217","0","0","2048","0","7","0"
"265","5221","32768","0","0","0","7","0"
"267","5246","262144","0","0","0","4","0"
"268","5277","32","0","0","0","8","0"
"269","5302","0","0","0","0","4","0"
"270","5308","536870912","0","0","1048576","4","0"
"271","5374","8388608","2","0","0","8","0"
"272","5384","256","0","0","0","9","0"
"273","5394","557120","0","0","0","11","0"
"275","5420","0","0","0","0","7","0"
"276","5421","0","0","0","0","7","0"
"277","5484","0","8","0","0","5","0"
"278","5487","1073741824","0","0","2","7","0"
"284","5672","8192","0","0","0","11","0"
"288","5697","0","0","4","0","5","0"
"290","5740","0","0","0","268435456","5","0"
"293","5782","0","1024","0","32768","5","0"
"301","6136","0","0","0","0","3","0"
"303","6150","0","512","0","0","9","0"
"304","6201","0","0","0","16384","5","0"
"306","6262","65536","0","0","0","5","0"
"308","6343","128","0","0","0","4","0"
"311","6358","33554432","0","0","0","57","0"
"312","6360","134217728","0","0","0","57","0"
"314","6512","0","0","0","0","13","0"
"315","6552","8","0","0","0","4","0"
"316","6572","1024","0","0","0","4","0"
"322","6770","128","0","0","0","8","0"
"324","6788","536870912","0","0","0","6","0"
