Id,Unknown0
"1","$funny=$?s48165[${$m1/10}.5]?a66109[${13}][${($m1*3)+17}]
$maybe=$?s48165[${1}.5][${$66109m2*4/$<funny>}.2]
$storm=${0.14*$AP*$<maybe>}

"
"28","$min=$?s54825[${$m1/2}][${$m1}]
$max=$?s54825[${$M1/2}][${$M1}]"
"29","$junk=${1}
$bhp=${$basehp(8, $PL)}
$bmp=${$basemp(8, $PL)}
$maxhealth = ${$mhp}}"
"30","$total=${$m1*4}"
"31","$total=${$m1*5}"
"61","$mana=$?s55441[${$16191m1+1}][${$16191m1}]"
"62","$charges=$?s58673[${4+2}][${4}]"
"63","$resolve=$?s84601[${1.17}][${1}]
$deeper=$?s193531[${1.1}][${1}]
$bonus=${$<resolve>*(1+$@versadmg)*$<deeper>}/1.1"
"64","$bonus=$?s56807[${$m3*1.4}][${$m3}]"
"81","$weapon=$?s58657[${$m2*1.2}][${$m2}]
$bonus=$?s58657[${$m1*$m2/100*1.2}][${$m1*$m2/100}]"
"82","$absorb=$?s58635[${$m1*$AR*0.01*(100+$58635m1)*0.01}][${$m1*$AR*0.01}]"
"83","$percent=$?s56216[${$m1*(1+$56216m1/100)}][${$m1}]"
"84","$mastery=$?s55090[${((100+$77515m1)/100)}][${1.00}]
$blood=$?a48263[${1.2}][${1.0}]
$damage=${(0.80*1.1*$AP)*$<mastery>*$<blood>}
$healing=${(0.80*1.1*$AP)*5}"
"86","$images=$?s63093[${$63093m1+$55342m2}][${$55342m2}]"
"87","$threat=$?s63326[${$m3*-1+$63326m1}][${$m3}]"
"101","$chance=$?s55439[${$m2}][${$m2}]"
"102","$bonus=${$m1*0.8}"
"121","$damage=$?s56846[${($RAP*0.04+$13797m1)*3}][${($RAP*0.02+$13797m1)*5}]]
$duration=$?s56846[${3}][${5}]
$mult=$?s56846[${4}][${2}]"
"162","$twin1=$?s47586[${1.02}][${1.00}]
$twin2=$?s47587[${1.04}][${$<twin1>}]
$twin3=$?s47588[${1.06}][${$<twin2>}]
$mult=${$<twin3>}"
"164","$glyph=$?s56810[${6}]$[${0}]
$mult1=$?s14165[${25}][${0}]
$mult=$?s14166[${50}][${$<mult1>}]"
"165","$dur=$?s54818[${8}][${6}]"
"166","$bonus=${$m1*0.5}"
"167","$arctic1=$?s31674[${1.01}][${1}]
$arctic2=$?s31675[${1.02}][${$<arctic1>}]
$arctic3=$?s31676[${1.03}][${$<arctic2>}]
$arctic4=$?s31677[${1.04}][${$<arctic3>}]
$arctic5=$?s31678[${1.05}][${$<arctic4>}]
$piercing1=$?s11151[${1.02}][${1}]
$piercing2=$?s12952[${1.04}][${$<piercing1>}]
$piercing3=$?s12953[${1.06}][${$<piercing2>}]
$mult=${$<arctic5>*$<piercing3>}"
"169","$mult=${(1+$@versadmg)}"
"170","$heal=$?s16213[${($m1+$SPN*0.498)*1.25}][${$m1+$SPN*0.498}]"
"171","$aggression1=$?s18427[${105}][${100}]
$aggression2=$?s18428[${110}][${$<aggression1>}]
$aggression3=$?s18429[${115}][${$<aggression2>}]
$percent=$?s79004[${$<aggression3>+30}]?s13863[${$<aggression3>+20}]?s13732[${$<aggression3>+10}][${$<aggression3>}]"
"172","$opportunity1=$?s14057[${160}][${150}]
$opportunity2=$?s14072[${170}][${$<opportunity1>}]
$percent=$?s79141[${180}][${$<opportunity2>}]"
"175","$tap1=$?s18182[${$1454m2+10}][${$1454m2}]
$tap2=$?s18183[${$1454m2+20}][${$<tap1>}]
$mana=${$<tap2>}"
"176","$mult=${1}
$mstrshape=$?s48411[${1+0.01*$48411m1}][${1}]
$gotem1=$?s51179[${1+0.01*$51179m1}][${1}]
$gotem2=$?s51180[${1+0.01*$51180m1}][${$<gotem1>}]
$gotem3=$?s51181[${1+0.01*$51181m1}][${$<gotem2>}]
$tol=$?a5420[${1+0.01+$5420m1}][${1}]
$gift=$?s87305[${1.25}][${1}]
$bloom=${$<gift>*$<genesis3>*$<mstrshape>*$<gotem3>*$<tol>}"
"181","$base=($pl-1)*3+10
$melee=${$AP*0.22}
$spell=${$sp*0.376}
$which=${$gt($<melee>,$<spell>)}"
"193","$imp1=$?s62905[${$m1*$m2/115}][${$m1*$m2/100}]
$imp2=$?s62908[${$m1*$m2/130}][${$<imp1>}]
$bonus=$?s81138[${$m1*$m2/145}][${$<imp2>}]"
"195","$opp1=$?s14057[${1.10}][${1.00}]
$opp2=$?s14072[${1.20}][${$<opp1>}]
$opportunity=$?s79141[${1.30}][${$<opp2>}]
$spatter1=$?s51632[${1.15}][${1.0}]
$bonus=$?s51633[${$<opportunity>*1.3}][${$<opportunity>*$<spatter1>}]"
"196","$impurity=$?s49638[${1.20}][${1}]
$glyph=$?s58629[${1.2}][${1}]"
"198","$mult2=$?s84601[${1.17*(1+$@versadmg)}][${1.00*(1+$@versadmg)}]
$mult=?s76803[${($76803m1/100+1)*$<mult2>}][${$<mult2>}]"
"199","$mult=$?s76808[${((100+$76808m1))/100*(1+$@versadmg)}]$?s84601[${1.10*(1+$@versadmg)}][${1.00*(1+$@versadmg)}]"
"200","$mult1=$?s16261[${1.05}][${1.00}]
$mult2=$?s16290[${1.10}][${$<mult1>}]
$bonus=$?s51881[${1.15}][${$<mult2>}]
"
"201","$field1=$?s84579[${1.1}][${1.0}]
$field2=$?s84580[${1.2}][${$<field1>}]
$bonus=$?s23881[${$<field2>*(100+$76856m1)/100}][${$<field2>}]"
"202","$purification=$?s16213[${1.95}][${1.0}]
$soothe=$?s16205[${1.50}]?s16187[${1.25}][${1.0}]
$rushing=$?s147074[${1.15}][${1.0}]
$bonus=${$<purification>*$<soothe>*$<rushing>*(1+$@versadmg)}"
"203","$own1=$?s82682[${$82661m1+1}][${$m1}]
$own2=$?s82683[${$82661m1+2}][${$<own1>}]
$own3=$?s82684[${$82661m1+3}][${$<own2>}]
$focus=${$<own3>}"
"204","$sop1=$?s20224[${105}][${100}]
$sop2=$?s20225[${110}][${$<sop1>}]
$sop=$?s20330[${115}][${$<sop2>}]
"
"205","$heal1=$?s30144[${30}][${20}]
$heal2=$?s30143[${25}][${$<heal1>}]
$healing=${$<heal2>}"
"206","$mult=$?s16859[${1.10}]?s16858[${1.05}][${1.00}]"
"207","$inner1=$?s33597[${30}][${15}]
$inner2=$?s33599[${45}][${$<inner1>}]
$innervate=${$<inner2>}"
"208","$mult1=$?s87336[${1.25}][${1.0}]
$mult2=$?s122098[${1.25*$<mult1>}][${$<mult1>}]
$mending=${(1+($SP*0.666))*$pctH*$<mult2>}

"
"209","$damage=${($RAP*0.724)+$m1}"
"210","$damage=${($RAP*0.0483)+$m1}"
"213","$damage=${(($SP*0.5577)*1.25)+$m1}"
"214","$mult=$?s56248[${1.20}][${1.00}]
$damage=${(($SP*0.50)*0.657)+$M1}"
"215","$shield=${(($SP*5.5)+$m1)*(1+$@versadmg)}"
"216","$damage=${$M1+(($RAP*0.40)*0.10)}"
"217","$damage=${$m2}"
"218","$damage=${$RAP*0.273+$M1}"
"219","$bmMastery=$?s76657[${1+0.01*$76657m1}][${1}]
$lowNerf=${0.5+$min($pl,20)*0.025}
$damage=${1.5*($83381m1+($RAP*3))*$<bmMastery>*$<lowNerf>*(1+$@versadmg)}
"
"220","$damage=${$RAP*0.021+$m1}"
"221","$damage=${$M1+($RAP*0.017)}"
"222","$twin1=$?s47586[${1.02}][${1.00}]
$twin2=$?s47587[${1.04}][${$<twin1>}]
$twin3=$?s47588[${1.06}][${$<twin2>}]
$ipws1=$?s14748[${1.10}][${1.00}]
$mastery=$?s47540[${((100+$77484m1)/100)}][${1.00}]
$barrier=${((($SP*6)+$M1)*$<twin3>*$<mastery>)}
$shield=${(((($SP*6)+$M1)*$<twin3>*$<mastery>)*.20)}"
"223","$bmMastery=$?s76657[${1+0.01*$76657m1}][${1}]
$damage= ${($95714m1+(($RAP*0.60)*0.096))*8*(1+$@versadmg)*$<bmMastery>}"
"224","$damage=${($95725m1+($RAP)*0.144)*(1+$@versadmg)}
$aps=${$RAP}"
"227","$base=${$m1+$SPFR*0.87}
$absorb=$?s63095[${$<base>*1.3}][${$<base>}]"
"228","$crusade1=$?s31868[${30*1.3}]?s31867[${30*1.2}]?s31866[${30*1.1}][${30}]
$crusade2=$?s31868[${90*1.3}]?s31867[${90*1.2}]?s31866[${90*1.1}][${90}]
$crusade3=$?s31868[${235*1.3}]?s31867[${235*1.2}]?s31866[${235*1.1}][${235}]
$templar1=$?s63220[${$<crusade1>*1.15}][${$<crusade1>}]
$templar2=$?s63220[${$<crusade2>*1.15}][${$<crusade2>}]
$templar3=$?s63220[${$<crusade3>*1.15}][${$<crusade3>}]"
"229","$dur=${$clamp(30-($pl-77)*3,5,30)}"
"230","$daegis1=$s?30143[${4.5}][${3}]
$daegis2=$s?30144[${6}][${4.5}]
$heal=${$<daegis2>}"
"233","$bonus1=1"
"235","$mult=$?s16913[${1.10}][${1.0}]"
"236","$innerfire=$?s55686[${90}][${60}]"
"245","$heal=$?s40000[${$m1*6*5/4}][${$m1*6}]"
"246","$mastery=$?s77484[${((100+$77484m1)/100)}][${1.00}]
$shield=${((($SP*2.19)+$114908m1)*$<mastery>)}"
"247","$mult=$?s123401[${1.1}][${1.0}]
$absorb=${$<mult>*($AP*18)*(1+$@versadmg)}
"
"248","$mastery=$?s55090[${((100+$77515m1)/100)}][${1.00}]
$damage=${($52212m1)*$<mastery>}"
