Id,Unknown0,Unknown1,Unknown2,Unknown3
"141","1","1","568","0"
"146","5","1","792","2"
"147","3","1","755","2"
"166","20","0.5","417","0"
"167","20","1","418","0"
"177","30","0.75","600","2"
"178","30","4","469","2"
"180","1","1","327","3"
"185","1","1","811","0"
"189","1","1","701","0"
"194","3","2","814","1"
"197","10","1","418","0"
"199","1","1","503","0"
"203","1","1","772","0"
"206","1","1","818","0"
"210","100","1","587","1"
"214","1","1","819","0"
"219","30","0.75","802","2"
"221","1","1","795","0"
"227","1","1","256","0"
"228","30","0.5","403","1"
"229","5","0.75","417","1"
"231","1","1","511","0"
"238","30","1","816","3"
"239","15","1","418","2"
"240","35","1","417","2"
"242","5","0.5","829","3"
"243","5","1","829","2"
"244","4","0.5","830","2"
"251","2","2","833","0"
"252","10","0.51","418","2"
"257","100","1","512","0"
"262","10","1","838","2"
"263","15","0.5","839","2"
"264","80","1","512","2"
"265","10","1","256","2"
"266","100","1","842","2"
"270","10","0.25","745","2"
"273","1","1","510","0"
"274","20","1","510","2"
"285","15","1","845","2"
"291","1.5","1","575","0"
"293","5","1","848","2"
"294","15","1","660","2"
"296","1","1","847","0"
"305","2","1","256","0"
"306","4","1","256","0"
"307","10","0.5","417","0"
"308","10","0.5","418","0"
"309","10","1","808","0"
"315","18","1.5","858","0"
"316","28","1.5","858","0"
"317","30","2.5","858","0"
"318","5","0.5","691","0"
"320","3","0.5","327","2"
"321","70","1","857","2"
"325","20","1","341","2"
"327","5","1","417","0"
"330","20","1","511","0"
"333","5","5.5","859","0"
"335","10","1","860","1"
"336","3","0.5","860","0"
"337","3","0.5","860","1"
"341","15","2.5","672","2"
"342","25","1","861","2"
"346","1","1","433","0"
"348","30","1","418","2"
"355","5","1","327","0"
"356","8","1","701","2"
"357","15","1","796","2"
"358","20","1","542","0"
"359","5","0.5","542","0"
"363","1","1","673","0"
"364","5","1","418","0"
"366","25","4","865","1"
"368","20","0.501","417","0"
"370","25","1","132","0"
"371","25","0.5","866","2"
"374","3","1","612","2"
"377","3","0.75","141","0"
"378","10","3.5","763","2"
"379","5","1","327","2"
"382","8","0.75","360","2"
"383","4","0.75","141","0"
"385","2","1","873","0"
"386","3","1","874","0"
"390","80","1","876","0"
"393","5","1","417","2"
"397","25","5","534","0"
"402","10","1.2","846","1"
"403","5","1","884","0"
"406","1","1","886","2"
"409","10","0.75","437","0"
"416","20","1","885","0"
"425","10","1","892","2"
"426","100","1.25","894","0"
"427","8","0.75","443","2"
"428","1","1","444","0"
"429","1","1","499","0"
"435","1","1","898","0"
"436","30","0.75","622","0"
"437","30","1","434","0"
"450","9","1.5","437","0"
"451","14","1.5","437","0"
"452","15","2.5","437","0"
"454","5","1","708","0"
"455","20","1","624","0"
"459","5","1","860","1"
"460","10","1","860","0"
"466","2","1","708","1"
"467","10","0.5","691","0"
"468","10","0.5","796","0"
"473","30","0.5","584","3"
"474","15","0.5","584","2"
"475","30","0.5","839","1"
"495","10","0.75","437","1"
"497","30","1","622","1"
"169","20","1","418","0"
"232","1","1","256","0"
"261","100","1","512","0"
"267","100","1","842","2"
"286","15","1","845","2"
"287","15","1","845","2"
"328","10","0.5","417","0"
"329","10","0.5","417","0"
"438","10","0.5","417","0"
"343","25","1","861","2"
"344","25","1","861","2"
"360","20","1","542","0"
"369","20","1","542","0"
"408","1","1","886","2"
"471","10","0.5","691","0"
"472","10","0.5","796","0"
