Id,Unknown0,Unknown1
"148","218241","1.5"
"149","218242","1.5"
"150","218243","1.5"
"151","201210","1.5"
"160","218421","1.5"
"161","218422","1.5"
"162","218423","1.5"
"163","201434","1.5"
"164","201435","1.5"
"165","201436","1.5"
"166","201437","1.5"
"167","201438","1.5"
"168","193734","1.5"
"169","218424","1.5"
"170","218425","1.5"
"171","218426","1.5"
"172","201433","1.5"
"173","201429","1.5"
"174","201430","1.5"
"175","201431","1.5"
"176","201432","1.5"
"177","193735","1.5"
"182","190014","1.4"
"183","190555","1.4"
"184","190566","1.4"
"185","190816","1.4"
"186","190968","2.25"
"187","190993","1.1"
"188","193894","1.8"
"189","191300","1.1"
"190","194563","1.1"
"191","191312","1.4"
"192","191313","1.4"
"193","191535","1.4"
"194","191659","1.4"
"195","191676","1.4"
"196","191822","1.4"
"197","191899","1.4"
"198","191900","1.4"
"199","191904","1.4"
"200","191911","1.1"
"201","191940","1.4"
"202","191969","1.4"
"203","192081","1.1"
"204","192080","1.1"
"205","192098","1.4"
"206","192100","1.2"
"207","192259","1.1"
"208","192383","1.1"
"209","192593","1.4"
"210","192597","1.4"
"211","192644","1.4"
"212","192770","1.1"
"213","192772","1.4"
"214","192783","1.1"
"215","192797","1.2"
"216","192819","1.1"
"217","192820","1.1"
"218","193099","1.4"
"219","193101","3"
"220","193132","1.4"
"221","193143","1.1"
"222","193335","1.4"
"223","193378","1.4"
"224","193482","1.1"
"225","193592","1.15"
"226","193593","1.2"
"227","193752","1.1"
"228","193828","1.4"
"229","193837","1.4"
"230","193839","1.4"
"231","193905","1.1"
"232","194040","1.5"
"233","194767","1.4"
"234","194078","1.1"
"235","194129","1.4"
"236","194293","1.4"
"237","194310","1.1"
"238","194472","3"
"239","194479","1.1"
"240","194665","1.1"
"241","194482","1.1"
"242","194670","1.1"
"243","194484","1.1"
"244","194669","1.1"
"245","194486","1.1"
"246","194668","1.1"
"247","194488","1.1"
"248","194667","1.1"
"249","194490","1.1"
"250","194666","1.1"
"251","194639","1.1"
"252","194690","1.1"
"253","194738","1.1"
"254","194764","1.4"
"255","194876","1.1"
"256","194882","1.4"
"257","195203","2.5"
"258","195220","2.5"
"259","195340","1.4"
"260","195396","2.5"
"261","195411","2.5"
"262","195476","1.4"
"263","195485","1.4"
"264","195499","1.4"
"265","195522","1.4"
"266","195994","1.4"
"267","196097","1.4"
"268","196405","1.4"
"269","196568","1.4"
"270","196796","1.15"
"271","196953","2.5"
"272","197020","1.1"
"273","197125","1.1"
"274","197186","1.5"
"275","197296","1.1"
"276","197315","1.1"
"277","197379","1.1"
"278","197882","1.4"
"279","198022","1.1"
"280","198023","1.1"
"281","198151","1.4"
"282","198152","1.4"
"283","198172","1.1"
"284","198386","1.1"
"285","198393","1.1"
"286","198413","1.1"
"287","198434","1.1"
"288","198594","1.1"
"289","198759","1.4"
"290","198784","1.4"
"291","199185","1.1"
"292","199571","1.1"
"293","199817","1.1"
"294","199972","1.4"
"295","200029","3"
"296","200366","1.1"
"297","200492","1.1"
"298","200541","1.1"
"299","200716","1.1"
"300","201137","1.1"
"301","201216","1.1"
"302","201305","1.4"
"303","201314","1.1"
"304","202177","1.4"
"305","202181","1.4"
"306","203217","1.1"
"307","203392","1.4"
"308","203410","1.1"
"309","203445","3"
"310","204792","1.1"
"311","203495","1.4"
"312","203523","1.1"
"313","204050","1.1"
"314","204141","1.1"
"315","204677","1.4"
"316","205317","3"
"317","206013","1.1"
"318","206061","1.1"
"319","206100","1.1"
"320","206177","1.1"
"321","206391","1.1"
"322","207611","1.1"
"323","207878","1.4"
"324","209194","1.1"
"325","209398","1.1"
"326","210220","1.1"
"327","210343","1.1"
"328","211050","1.1"
"329","211926","1.1"
"330","212448","3"
"331","213117","1.1"
"332","213758","1.1"
"333","214243","1.1"
"334","215049","1.1"
"335","215321","1.1"
"339","202938","1.4"
"340","202939","1.4"
"341","202940","1.4"
"342","202941","1.4"
"343","202942","1.4"
"344","202945","1.4"
"345","202946","1.4"
"346","202947","1.4"
"347","202948","1.4"
"348","202949","1.4"
"349","203029","1.4"
"350","203030","1.4"
"351","203031","1.4"
"352","203032","1.4"
"353","218809","1.4"
"354","202950","1.4"
"355","202951","1.4"
"356","202952","1.4"
"357","202953","1.4"
"358","202954","1.4"
"359","202193","2.25"
"360","198983","2.25"
"361","198984","2.25"
"362","198985","2.25"
"363","198986","2.25"
"364","202189","1.1"
"365","198979","1.1"
"366","198980","1.1"
"367","198981","1.1"
"368","198982","1.1"
"369","203053","2.5"
"370","203054","1.8"
"371","203055","1.8"
"372","203056","1.8"
"373","203057","1.8"
"374","202618","1.1"
"375","202619","1.1"
"376","199519","1.1"
"377","199516","1.1"
"378","199515","1.1"
"379","218810","1.1"
"380","218811","1.1"
"381","207265","1.1"
"382","207266","1.1"
"383","207267","1.1"
"384","214179","1.4"
"385","214180","1.4"
"386","214181","1.4"
"387","201017","1.4"
"388","198843","1.4"
"389","198844","1.4"
"390","198845","1.4"
"391","198846","1.4"
"392","214209","1.4"
"393","214210","1.4"
"394","214211","1.4"
"395","201018","1.4"
"396","198848","1.4"
"397","198849","1.4"
"398","198850","1.4"
"399","198851","1.4"
"400","214218","1.4"
"401","214219","1.4"
"402","214220","1.4"
"403","201036","1.4"
"404","198833","1.4"
"405","198834","1.4"
"406","198835","1.4"
"407","218812","1.4"
"408","214221","1.4"
"409","214222","1.4"
"410","214223","1.4"
"411","201035","1.4"
"412","218813","1.4"
"413","198830","1.4"
"414","198831","1.4"
"415","198832","1.4"
"416","202965","1.4"
"417","202966","1.4"
"418","202967","1.4"
"419","202968","1.4"
"420","202969","1.4"
"421","214201","1.4"
"422","214202","1.4"
"423","214203","1.4"
"424","201030","1.4"
"425","198821","1.4"
"426","198822","1.4"
"427","198823","1.4"
"428","198824","1.4"
"429","202970","1.4"
"430","202971","1.4"
"431","202972","1.4"
"432","202973","1.4"
"433","202974","1.4"
"434","202975","1.4"
"435","202976","1.4"
"436","202977","1.4"
"437","202978","1.4"
"438","202979","1.4"
"439","202980","1.4"
"440","202981","1.4"
"441","202982","1.4"
"442","202983","1.4"
"443","202984","1.4"
"444","202501","1.1"
"445","198107","1.1"
"446","198108","1.1"
"447","198109","1.1"
"448","198110","1.1"
"449","202985","1.4"
"450","202986","1.4"
"451","202987","1.4"
"452","202988","1.4"
"453","202989","1.4"
"454","202990","1.4"
"455","202991","1.4"
"456","202992","1.4"
"457","202993","1.4"
"458","202994","1.4"
"459","214192","1.1"
"460","214193","1.1"
"461","214194","1.1"
"462","201026","1.1"
"463","198794","1.1"
"464","198795","1.1"
"465","198796","1.1"
"466","198797","1.1"
"467","202499","1.1"
"468","198104","1.1"
"469","198105","1.1"
"470","198106","1.1"
"471","202500","1.1"
"472","214064","1.4"
"473","214066","1.4"
"474","214065","1.4"
"475","198339","1.4"
"476","202266","1.4"
"477","202404","1.4"
"478","202405","1.4"
"479","218814","1.4"
"480","214056","1.2"
"481","214058","1.2"
"482","214057","1.2"
"483","198338","1.2"
"484","202269","1.2"
"485","202402","1.2"
"486","202403","1.2"
"487","218815","1.2"
"488","201994","1.1"
"489","201995","1.1"
"490","201996","1.1"
"491","201997","1.1"
"492","201998","1.1"
"493","214212","1.1"
"494","214213","1.1"
"495","214214","1.1"
"496","201027","1.1"
"497","198798","1.1"
"498","198799","1.1"
"499","198800","1.1"
"500","198801","1.1"
"501","218816","1.4"
"502","218817","1.4"
"503","218818","1.4"
"504","218819","1.4"
"505","218820","1.4"
"506","203001","1.4"
"507","203002","1.4"
"508","203003","1.4"
"509","203004","1.4"
"510","218821","1.4"
"511","203006","1.4"
"512","203007","1.4"
