Id,Unknown0,Unknown1,Unknown2,Unknown3
"2587","1","0.077","0","67064"
"2588","0.456","0.5","0","132006"
"2603","1","0.1","0","20036"
"2630","0.071","0","0","1859"
"2634","0.181","0","0","196"
"2638","2.676","0.25","0","1837"
"2640","2.2","0.1","0","10651"
"2650","0.251","1","0.366","67482"
"2657","0.114","0.35","0","8994"
"2658","0.114","0.35","0","8519"
"2659","1.221","0","0","806"
"2660","0.056","0.352","0","53534"
"2661","0.022","0.292","0","53535"
"2662","0.023","0.3","0","14812"
"2663","0.114","0.35","0","42080"
"2664","0.056","0.3","0","55020"
"2665","0.056","0.3","0","55021"
"2681","3","0","0","39752"
"2683","0.2","0","0","60359"
"2703","8.222","0.08","0","15852"
"2704","1.25","0.08","0","15851"
"2742","0.25","0","0","17065"
"2746","0.6","0","0","853"
"2747","0.417","0.28","0","3617"
"2754","1.436","0.15","0","105012"
"2766","0.267","0","0","3341"
"2789","0.784","0","0","2449"
"2801","9.706","0","0","3104"
"2805","0.91","0.15","0","16922"
"2806","0.91","0.1","0","35826"
"2813","0.46","0.15","0","2216"
"2815","1.943","0","0","9346"
"2817","1.435","0.242","0","75689"
"2822","0.03","0","0","12909"
"2829","1.004","0.242","0","68091"
"2830","0.035","0","0","68092"
"2840","1.124","0","0","68199"
"2841","0.582","0.12","0","68201"
"2853","0.55","0","0","68389"
"2854","27.32","0.05","0","34662"
"2855","27.32","0.05","0","34661"
"2856","27.32","0.05","0","16856"
"2857","27.32","0.05","0","4247"
"2858","27.32","0.05","0","4246"
"2859","27.32","0.05","0","4239"
"2862","4.8","0","0","68470"
"2873","1.435","0.242","0","81058"
"2878","0.75","0","0","83776"
"2901","0.433","0","0","87374"
"2910","0.5","0.25","0","21340"
"2919","0.646","0.165","0","89347"
"2921","0.028","0","0","89788"
"2922","1.65","0.1","0","53215"
"2923","1.8","0.2","0","90295"
"2924","0.9","0.15","0","90297"
"2928","1.24","0","0","21846"
"2929","1.24","0","0","21847"
"2930","9.2","0","0","95901"
"2931","0.736","0","0","90632"
"2944","1.1","0","0","93520"
"2945","0.423","0","0","93521"
"2960","0.571","0.2","0","97908"
"2967","1.32","0","0","23581"
"2968","1.32","0","0","23582"
"2969","1.32","0","0","116811"
"2971","1.98","0","0","10879"
"2974","2.721","0.14","0","99108"
"2979","0.2366","0.3","0","88405"
"2980","1","0.12","0","12912"
"2981","0.074","0","0","101379"
"2982","0.221","0","0","101401"
"2983","1.32","0","0","118955"
"2984","1.32","0","0","23584"
"2985","1.32","0","0","11564"
"2986","1.32","0","0","11565"
"2987","1.004","0.242","0","101713"
"2990","0.508","0","0","101969"
"2991","0.678","0","0","101970"
"2992","0.508","0","0","102070"
"2993","0.678","0","0","102071"
"2994","1.08","0","0","102075"
"2995","1.08","0","0","102078"
"2997","0.041","0","0","103414"
"2998","0.662","0.202","0","103417"
"2999","0.103","0","0","103418"
"3000","0.989","0.164","0","103419"
"3001","0.41","0.15","0","103434"
"3003","0.095","0","0","103617"
"3004","0.221","0.2","0","103618"
"3007","0.095","0","0","104140"
"3015","0.041","0","0","44653"
"3025","22.456","0","0","106055"
"3032","0.404","0.15","0","108897"
"3035","20","0.4","0","82214"
"3036","38.168","0.5","0","92484"
"3042","1.24","0","0","111857"
"3043","1.24","0","0","111858"
"3057","0.242","0.05","0","113740"
"3060","1","1","0","115228"
"3061","1","0.5","0","115307"
"3062","2","0","0","79172"
"3064","0.4","0.1","0","115645"
"3065","0.1","0.1","0","115646"
"3070","0.34","0","0","117750"
"3074","1","0","0","119241"
"3082","0.1","0","0","120404"
"3083","0.45","0","0","120406"
"3086","0.5075","0","0","121622"
"3087","0.5075","0","0","121623"
"3089","0.4","0","0","115650"
"3090","1.577","0","0","121506"
"3091","0.395","0","0","121507"
"3092","1.577","0","0","121509"
"3093","0.394","0","0","121510"
"3094","1.577","0","0","118711"
"3095","0.395","0","0","118712"
"3101","0.2","0.1","0","115651"
"3103","0.055","0","0","299"
"3104","0.04","0","0","111578"
"3105","0.035","0","0","111577"
"3113","2.4774","0","0","125500"
"3117","4.4198","0","0","125807"
"3118","2.2106","0","0","125808"
"3124","0.094","0","0","126202"
"3130","0.802","0","0","126961"
"3138","10.9375","0.287","0","62076"
"3141","2","0","0","127100"
"3146","0.3","0","0","128175"
"3147","0.35","0","0","128177"
"3148","0.816","0.133","0","128188"
"3155","14.131","0.2","0","128396"
"3156","9.529","0.2","0","128397"
"3160","0.094","0","0","128472"
"3161","0.047","0","0","128475"
"3164","0.015","0","0","128552"
"3167","7.8585","0","0","115648"
"3168","7.8585","0","0","115643"
"3169","0.635","0","0","115639"
"3170","7.8585","0","0","115637"
"3171","1.4735","0","0","115623"
"3172","1.4735","0","0","115622"
"3173","1.4735","0","0","115620"
"3174","1.4735","0","0","115618"
"3175","1.4735","0","0","115621"
"3176","1.4735","0","0","115617"
"3177","1.105","0","0","115616"
"3178","1.4735","0","0","115624"
"3179","1.9646","0","0","115626"
"3180","2.947","0","0","115633"
"3181","1.9646","0","0","115629"
"3182","1.9646","0","0","115635"
"3188","2","0","0","115544"
"3194","13","0","0","128842"
"3217","0.46","0.15","0","129829"
"3222","0.208","0","0","131426"
"3264","1","0","0","134169"
"3310","2.6","0","0","134592"
"3349","0.095","0","0","422"
"3350","0.115","0","0","1020"
"3351","0.215","0","0","1021"
"3352","0.25","0","0","3170"
"3353","0.4","0","0","3171"
"3355","0.5","0","0","4603"
"3356","0.06","0","0","4604"
"3357","0.075","0","0","10148"
"3358","0.085","0","0","10151"
"3360","0.076","0","0","13849"
"3361","0.06","0","0","13850"
"3362","0.0615","0","0","13851"
"3363","0.06","0","0","13953"
"3364","0.065","0","0","14651"
"3365","0.077","0","0","14652"
"3366","0.066","0","0","14650"
"3367","0.4","0.25","0","170"
"3368","0.55","0.25","0","171"
"3369","0.6","0.5","0","690"
"3370","0.6","0.5","0","691"
"3371","0.2273","0.25","0","172"
"3372","0.2273","0.25","0","610"
"3373","0.159","0.25","0","1464"
"3374","0.131","0","0","7658"
"3375","0.131","0","0","7659"
"3376","0.28","0.25","0","12085"
"3377","0.35","0.25","0","12084"
"3378","0.159","0.5","0","9204"
"3379","0.125","0","0","164"
"3380","0.232","0","0","1760"
"3381","0.3","0","0","165"
"3382","0.3","0","0","1762"
"3383","0.1","0","0","11964"
"3385","0.136","0","0","3053"
"3386","0.202","0","0","166"
