Id,Unknown0,Unknown1,Unknown2
"1","3563","1","1"
"2","3567","1","0"
"3","3566","1","2"
"4","32272","1","3"
"5","35715","1","6"
"6","53140","1","7"
"7","49358","1","4"
"36","3561","8","7"
"37","3565","8","9"
"38","32271","8","10"
"39","49359","8","11"
"40","3562","8","8"
"41","33690","8","12"
"42","53140","8","13"
"43","883","9","0"
"44","83243","9","2"
"45","83245","9","4"
"46","83242","9","1"
"47","83244","9","3"
"48","691","10","2"
"49","697","10","1"
"50","688","10","0"
"51","712","10","3"
"52","30146","10","4"
"53","11417","11","0"
"54","11418","11","1"
"55","11420","11","2"
"56","32267","11","3"
"57","35717","11","5"
"58","49361","11","4"
"59","53142","11","6"
"60","10059","12","0"
"61","11419","12","2"
"62","33691","12","5"
"63","11416","12","1"
"64","49360","12","4"
"65","53142","12","6"
"67","88346","11","7"
"68","88342","8","14"
"69","88344","1","8"
"70","32266","12","3"
"73","88345","12","7"
"432","3408","66","2"
"433","5761","66","3"
"434","108211","66","5"
"435","13219","66","4"
"436","108215","66","6"
"437","2823","66","0"
"438","8679","66","1"
"439","111859","67","5"
"440","111896","67","7"
"441","111897","67","8"
"442","111898","67","9"
"443","111895","67","6"
"555","112866","10","7"
"556","112867","10","8"
"557","112868","10","9"
"558","112869","10","10"
"559","112870","10","11"
"601","120145","8","15"
"602","120145","1","9"
"603","120146","11","8"
"604","120146","12","8"
"607","131232","84","7"
"608","131204","84","0"
"609","131205","84","1"
"610","131206","84","2"
"611","131222","84","3"
"612","131225","84","4"
"613","131228","84","8"
"614","131229","84","6"
"615","131231","84","5"
"616","132620","12","9"
"617","132626","11","9"
"618","132627","1","10"
"619","132621","8","16"
"635","160200","91","2"
"636","160203","91","3"
"637","160205","91","4"
"638","160206","91","5"
"639","160198","91","0"
"640","160199","91","1"
"641","28272","92","4"
"642","61025","92","8"
"643","126819","92","6"
"644","61780","92","9"
"645","61305","92","0"
"646","161353","92","5"
"647","61721","92","7"
"648","161354","92","1"
"649","161355","92","3"
"650","161372","92","2"
"651","28271","92","10"
"652","162536","93","1"
"653","162537","93","0"
"654","162539","93","2"
"655","157584","66","7"
"658","172968","91","7"
"659","172967","91","6"
"668","176246","12","10"
"669","176248","8","17"
"670","176244","11","10"
"671","176242","1","11"
"673","159896","96","10"
"674","159897","96","11"
"675","159898","96","12"
"676","159899","96","15"
"677","159900","96","14"
"678","159901","96","13"
"679","159902","96","16"
"680","159895","96","9"
"713","187650","102","0"
"714","191433","102","1"
"715","187698","102","2"
"716","1462","103","0"
"717","2641","103","1"
"718","6991","103","2"
"719","982","103","3"
"720","1515","103","4"
"725","194872","102","3"
"726","162488","102","4"
"728","203538","105","0"
"729","203528","105","1"
"730","203539","105","2"
"731","210873","106","0"
"732","211015","106","1"
"733","211004","106","2"
"734","211010","106","3"
"735","193759","8","18"
"736","193759","1","12"
"737","200802","66","8"
"738","224869","8","19"
"739","224869","1","13"
"740","224871","12","11"
"741","224871","11","11"
