Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2_0,Unknown2_1,Unknown3,Unknown4
"1","1","0","0","0","0","7","0"
"3","17","0","0","0","0","8","0"
"4","31","0","0","0","0","13","0"
"5","33","0","0","0","0","13","0"
"6","34","0","0","0","0","13","0"
"7","35","0","0","0","0","13","0"
"8","59","0","0","0","0","7","0"
"11","66","660484","0","0","0","8","0"
"12","75","0","0","0","0","32","0"
"13","77","536870912","0","0","0","1","0"
"16","116","0","0","0","0","15","0"
"17","118","134742016","0","0","0","15","0"
"18","120","0","0","0","0","8","0"
"19","122","4718592","0","0","0","8","0"
"20","126","0","0","15420","0","15","0"
"21","130","0","0","0","0","8","0"
"23","133","0","0","0","0","15","0"
"24","134","0","0","0","0","15","0"
"25","136","541065216","0","31756","0","0","0"
"26","139","0","0","0","0","8","0"
"29","228","0","0","0","0","15","0"
"31","271","0","0","0","0","15","0"
"33","339","138936320","0","0","0","15","0"
"34","348","0","0","0","0","15","0"
"35","403","0","0","0","0","15","0"
"36","421","0","0","0","0","15","0"
"37","427","0","0","0","0","13","0"
"38","428","0","0","0","0","13","0"
"39","430","262144","2","0","0","1","0"
"40","431","262144","2","0","0","1","0"
"41","432","262144","2","0","0","1","0"
"42","433","262144","2","0","0","1","0"
"43","434","262144","2","0","0","1","0"
"44","435","262144","2","0","0","1","0"
"45","439","0","0","0","0","8","0"
"46","440","0","0","0","0","8","0"
"47","441","0","0","0","0","8","0"
"48","442","0","0","0","0","13","0"
"49","443","0","0","0","0","13","0"
"50","444","0","0","0","0","13","0"
"51","445","0","0","0","0","13","0"
"52","446","0","0","0","0","13","0"
"53","447","0","0","0","0","13","0"
"56","458","0","0","0","0","31","0"
"57","459","0","0","0","0","31","0"
"58","467","0","0","0","0","8","0"
"59","468","0","0","0","0","31","0"
"60","470","0","0","0","0","31","0"
"61","471","0","0","0","0","31","0"
"62","472","0","0","0","0","31","0"
"64","483","0","0","0","0","15","0"
"66","498","4718592","0","0","0","0","0"
"67","512","0","0","0","0","15","0"
"68","527","0","0","0","0","8","0"
"69","528","0","0","0","0","8","0"
"70","546","2","0","0","0","0","0"
"72","556","0","0","0","0","15","0"
"74","578","0","0","0","0","31","0"
"75","579","0","0","0","0","31","0"
"76","580","0","0","0","0","31","0"
"77","581","0","0","0","0","31","0"
"78","585","0","0","0","0","15","0"
"79","586","0","0","0","0","8","0"
"82","589","0","0","0","0","8","0"
"83","596","0","0","0","0","15","0"
"86","605","0","0","27692","65536","15","0"
"87","606","0","0","0","0","15","0"
"89","642","4194304","0","0","0","0","0"
"90","686","0","0","0","0","15","0"
"92","688","0","0","0","0","15","0"
"94","691","0","0","0","0","15","0"
"97","697","0","0","0","0","15","0"
"98","698","0","512","15374","0","15","0"
"99","700","2","0","0","0","15","0"
"102","710","0","0","0","0","15","0"
"103","712","0","0","0","0","15","0"
"105","740","0","0","15372","0","13","0"
"106","746","0","0","15374","0","27","0"
"107","755","0","0","31756","0","15","0"
"110","774","524288","0","0","0","0","0"
"111","785","0","0","0","0","11","0"
"112","818","128","0","0","0","15","0"
"113","833","262144","2","0","0","1","0"
"114","851","0","0","0","0","15","0"
"115","853","4718592","0","0","0","0","0"
"118","932","0","0","0","0","15","0"
"120","980","524288","0","0","0","8","0"
"121","982","0","0","0","0","15","0"
"123","1022","4194304","0","0","0","0","0"
"124","1050","0","0","0","0","13","0"
"125","1064","0","0","0","0","15","0"
"126","1066","524544","0","0","0","0","0"
"127","1090","2","0","0","0","15","0"
"128","1098","0","65536","0","0","15","0"
"130","1122","0","0","0","0","15","0"
"132","1127","262144","2","0","0","1","0"
"133","1129","262144","2","0","0","1","0"
"134","1131","262144","2","0","0","1","0"
"135","1133","262144","2","0","0","1","0"
"136","1135","262144","2","0","0","1","0"
"137","1137","262144","2","0","0","1","0"
"138","1159","0","0","15374","0","27","0"
