Id,Unknown0,Unknown1,Unknown2
"1","79579","JUMP","0"
"2","43574","JUMP","0"
"10","129108","JUMP","0"
"11","129466","JUMP","0"
"13","136448","JUMP","0"
"15","140859","STRAFELEFT","0"
"16","140860","STRAFERIGHT","0"
"17","140859","TURNLEFT","0"
"18","140860","TURNRIGHT","0"
"19","140861","MOVEBACKWARD","0"
"20","52477","JUMP","0"
"21","52477","MOVEBACKWARD","0"
"22","148335","JUMP","0"
"23","143935","JUMP","0"
"24","164103","JUMP","0"
"25","169137","JUMP","0"
"26","172690","JUMP","0"
"27","194549","STRAFELEFT","0"
"28","194550","STRAFERIGHT","0"
"29","194549","TURNLEFT","0"
"30","194550","TURNRIGHT","0"
"31","92678","JUMP","0"
"32","92678","MOVEFORWARD","0"
"33","163887","JUMP","0"
"34","131347","JUMP","1"
"37","92678","STRAFELEFT","0"
"38","92678","STRAFERIGHT","0"
"39","92678","MOVEBACKWARD","0"
"40","199453","JUMP","0"
"41","206768","JUMP","1"
"36","92678","JUMP","0"
"35","92678","MOVEFORWARD","0"
