Id,Unknown0,Unknown1
"75","44425","17"
"76","44425","16"
"77","30451","17"
"78","30451","16"
"81","36032","17"
"82","36032","16"
"83","5143","17"
"84","5143","16"
"85","79683","17"
"86","79683","16"
"87","79808","17"
"88","79808","16"
"89","7268","17"
"90","7268","16"
"93","79684","17"
"94","79684","16"
"95","12042","17"
"96","12042","16"
"99","31589","17"
"100","31589","16"
"101","89728","17"
"102","89728","16"
"103","108978","17"
"104","108978","16"
"105","110909","17"
"106","110909","16"
"107","127140","17"
"108","127140","16"
"109","110951","17"
"110","110951","16"
"117","1449","17"
"118","1449","16"
"119","128508","17"
"120","128508","16"
"121","76276","17"
"122","76276","16"
"123","89744","17"
"124","89744","16"
"125","1953","17"
"126","1953","16"
"131","12486","17"
"132","12486","16"
"135","120","17"
"136","120","16"
"145","42955","17"
"146","42955","16"
"147","92739","17"
"148","92739","16"
"149","92799","17"
"150","92799","16"
"151","92802","17"
"152","92802","16"
"153","92805","17"
"154","92805","16"
"155","74625","17"
"156","74625","16"
"157","42956","17"
"158","42956","16"
"159","92727","17"
"160","92727","16"
"161","116130","17"
"162","116130","16"
"165","2139","17"
"166","2139","16"
"173","12051","17"
"174","12051","16"
"179","2120","17"
"180","2120","16"
"189","122","17"
"190","122","16"
"191","44614","17"
"192","44614","16"
"195","45438","17"
"196","45438","16"
"197","41425","17"
"198","41425","16"
"199","30455","17"
"200","30455","16"
"207","66","17"
"208","66","16"
"209","32612","17"
"210","32612","16"
"211","96243","17"
"212","96243","16"
"213","87833","17"
"214","87833","16"
"219","121039","17"
"220","121039","16"
"227","55342","17"
"228","55342","16"
"229","88084","17"
"230","88084","16"
"233","88082","17"
"234","88082","16"
"235","59638","17"
"236","59638","16"
"239","58833","17"
"240","58833","16"
"241","88087","17"
"242","88087","16"
"245","88088","17"
"246","88088","16"
"247","58831","17"
"248","58831","16"
"249","88085","17"
"250","88085","16"
"251","88086","17"
"252","88086","16"
"253","58834","17"
"254","58834","16"
"255","88089","17"
"256","88089","16"
"257","88090","17"
"258","88090","16"
"269","118","17"
"270","118","16"
"285","61305","17"
"286","61305","16"
"287","28272","17"
"288","28272","16"
"289","126819","17"
"290","126819","16"
"291","61721","17"
"292","61721","16"
"293","61025","17"
"294","61025","16"
"295","61780","17"
"296","61780","16"
"297","28271","17"
"298","28271","16"
"299","53141","17"
"300","53141","16"
"301","120144","17"
"302","120144","16"
"303","17608","17"
"304","17608","16"
"305","32268","17"
"306","32268","16"
"307","44089","17"
"308","44089","16"
"309","128839","17"
"310","128839","16"
"311","17609","17"
"312","17609","16"
"313","138816","17"
"314","138816","16"
"315","138819","17"
"316","138819","16"
"317","33728","17"
"318","33728","16"
"319","35718","17"
"320","35718","16"
"321","32270","17"
"322","32270","16"
"323","49363","17"
"324","49363","16"
"325","17334","17"
"326","17334","16"
"327","49362","17"
"328","49362","16"
"329","17610","17"
"330","17610","16"
"331","88339","17"
"332","88339","16"
"333","88341","17"
"334","88341","16"
"335","17611","17"
"336","17611","16"
"337","132623","17"
"338","132623","16"
"339","132625","17"
"340","132625","16"
"341","53142","17"
"342","53142","16"
"343","120146","17"
"344","120146","16"
"345","121848","17"
"346","121848","16"
"347","121847","17"
"348","121847","16"
"349","11419","17"
"350","11419","16"
"351","121849","17"
"352","121849","16"
"353","32266","17"
"354","32266","16"
"355","121850","17"
"356","121850","16"
"357","11416","17"
"358","11416","16"
"359","121851","17"
"360","121851","16"
"365","11417","17"
"366","11417","16"
"367","121852","17"
"368","121852","16"
