Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"2","11","1","0","1","0","0"
"3","14","0","1","1","0","0"
"4","17","8","0","8","0","0"
"5","27","0","1","1","0","0"
"6","31","0","1","1","0","0"
"7","33","0","1","1","0","0"
"8","34","0","1","1","0","0"
"9","35","0","1","1","0","0"
"14","53","10","0","10","0","0"
"15","56","50","0","50","0","0"
"17","66","42","0","42","0","0"
"19","71","9","0","9","0","0"
"21","75","1","0","1","0","0"
"22","77","0","0","1","0","0"
"24","81","1","0","1","0","0"
"26","91","4","0","4","0","0"
"27","96","0","0","1","0","0"
"28","99","28","0","28","0","0"
"29","100","3","0","3","0","0"
"30","101","12","0","12","0","0"
"31","107","1","0","1","0","0"
"32","108","0","0","1","0","0"
"33","110","0","0","1","0","0"
"34","111","0","0","1","0","0"
"36","116","1","0","1","0","0"
"37","118","8","0","8","0","0"
"38","120","34","0","34","0","0"
"39","122","5","0","5","0","0"
"41","126","24","0","24","0","0"
"42","130","38","0","38","0","0"
"45","133","10","0","10","0","0"
"46","134","9","22","9","0","0"
"47","136","14","0","14","0","0"
"48","139","12","0","12","0","0"
"49","172","3","0","3","0","0"
"51","228","30","0","30","0","0"
"53","271","1","70","1","0","0"
"56","339","24","0","24","0","0"
"57","348","10","0","10","0","0"
"58","355","13","0","13","0","0"
"59","370","63","0","63","0","0"
"61","403","1","0","1","0","0"
"62","408","34","0","34","0","0"
"63","421","28","0","28","0","0"
"64","427","0","1","1","0","0"
"65","428","0","1","1","0","0"
"72","436","0","0","5","0","0"
"78","442","0","1","1","0","0"
"79","443","0","1","1","0","0"
"80","444","0","1","1","0","0"
"81","445","0","1","1","0","0"
"82","446","0","1","1","0","0"
"83","447","0","1","1","0","0"
"86","458","0","0","1","0","0"
"87","459","0","0","1","0","0"
"89","467","5","0","5","0","0"
"90","468","0","0","1","0","0"
"92","470","0","0","1","0","0"
"93","471","0","0","1","0","0"
"94","472","0","0","1","0","0"
"97","498","32","0","32","0","0"
"98","512","30","0","30","0","0"
"99","527","22","0","22","0","0"
"100","528","56","0","56","0","0"
"101","546","32","0","32","0","0"
"102","550","26","0","26","0","0"
"104","556","44","0","44","0","0"
"105","578","0","0","1","0","0"
"106","579","0","0","1","0","0"
"107","580","0","0","1","0","0"
"108","581","0","0","1","0","0"
"109","585","1","0","1","0","0"
"110","586","44","0","44","0","0"
"113","589","3","0","3","0","0"
"114","596","28","0","28","0","0"
"116","603","26","0","26","0","0"
"117","605","42","0","42","0","0"
"118","606","38","43","99","0","0"
"119","633","55","0","55","0","0"
"121","642","18","0","18","0","0"
"122","668","0","0","1","0","0"
"123","669","0","0","1","0","0"
"124","670","0","0","1","0","0"
"125","671","0","0","1","0","0"
"126","672","0","0","1","0","0"
"129","686","1","0","1","0","0"
"131","688","5","0","5","0","0"
"133","691","36","0","36","0","0"
"136","697","20","0","20","0","0"
"137","698","42","0","42","0","0"
"138","700","8","30","8","0","0"
"141","703","12","0","12","0","0"
"142","710","32","0","32","0","0"
"143","712","28","0","28","0","0"
"145","740","80","0","80","0","0"
"146","742","1","0","1","0","0"
"148","745","0","0","10","0","0"
"150","755","22","0","22","0","0"
"152","768","8","0","8","0","0"
"154","772","1","0","1","0","0"
"155","774","10","0","10","0","0"
"157","781","8","0","8","0","0"
"158","783","18","0","18","0","0"
"160","813","0","0","1","0","0"
"161","814","0","0","1","0","0"
"162","815","0","0","1","0","0"
"163","816","0","0","1","0","0"
