Id,Unknown0,Unknown1
"1","1","0"
"2","3","0"
"3","4","0"
"4","5","0"
"5","7","0"
"7","11","0"
"8","12","0"
"9","13","0"
"10","14","0"
"12","17","0"
"13","18","0"
"15","22","0"
"16","24","0"
"17","25","0"
"18","26","0"
"19","27","0"
"20","31","0"
"21","33","0"
"22","34","0"
"23","35","0"
"25","45","0"
"26","47","0"
"27","49","0"
"28","50","0"
"29","53","0"
"30","56","0"
"31","58","0"
"32","59","0"
"33","60","0"
"34","61","0"
"35","65","0"
"36","66","0"
"38","68","0"
"39","71","0"
"41","75","0"
"42","77","0"
"44","81","0"
"46","87","0"
"48","91","0"
"49","96","0"
"50","99","0"
"51","100","0"
"52","101","0"
"53","107","0"
"54","108","0"
"55","110","0"
"56","111","0"
"57","112","0"
"58","113","0"
"59","116","0"
"60","118","0"
"61","120","0"
"62","122","0"
"63","124","0"
"64","126","0"
"65","130","0"
"68","133","0"
"69","134","0"
"70","136","0"
"71","139","0"
"72","142","0"
"73","172","0"
"74","184","0"
"75","196","0"
"76","197","0"
"77","198","0"
"78","199","0"
"79","200","0"
"80","201","0"
"81","202","0"
"82","203","0"
"83","204","0"
"84","227","0"
"85","228","0"
"86","246","0"
"87","260","0"
"88","261","0"
"91","264","0"
"92","265","0"
"93","266","0"
"94","269","0"
"95","271","0"
"100","339","0"
"101","348","0"
"102","355","0"
"103","370","0"
"105","403","0"
"106","408","0"
"107","421","0"
"108","427","0"
"109","428","0"
"110","430","0"
"111","431","0"
"112","432","0"
"113","433","0"
"114","434","0"
"115","435","0"
"116","436","0"
"117","437","0"
"118","438","0"
"119","439","0"
"120","440","0"
"121","441","0"
"122","442","0"
"123","443","0"
"124","444","0"
"125","445","0"
"126","446","0"
"127","447","0"
"130","454","0"
"131","456","0"
"132","458","0"
"133","459","0"
"134","461","0"
"135","463","0"
"136","464","0"
"138","467","0"
"139","468","0"
"141","470","0"
"142","471","0"
"143","472","0"
"146","483","0"
"148","498","0"
"149","512","0"
"150","514","0"
"151","518","0"
"152","522","0"
"153","527","0"
"154","528","0"
"155","530","0"
"157","546","0"
"158","550","0"
"160","556","0"
"162","568","0"
"163","578","0"
"164","579","0"
"165","580","0"
"166","581","0"
"167","585","0"
"168","586","0"
"171","589","0"
"172","596","0"
"175","603","0"
"176","605","0"
"177","606","0"
"178","633","0"
"180","642","0"
"181","668","0"
"182","669","0"
"183","670","0"
"184","671","0"
"185","672","0"
"186","673","0"
"187","674","0"
"189","686","0"
"191","688","0"
"193","691","0"
"194","692","0"
"196","697","0"
"197","698","0"
"198","700","0"
"201","703","0"
"202","710","0"
"203","712","0"
"204","720","0"
"206","731","0"
"207","739","0"
"208","740","0"
"209","742","0"
"210","744","0"
"211","745","0"
"212","746","0"
"213","747","0"
"214","750","0"
"215","755","0"
"217","768","0"
"219","772","0"
"220","774","0"
"222","781","0"
"223","783","0"
"224","785","0"
"226","799","0"
"227","800","0"
"228","802","0"
"229","804","0"
"230","806","0"
"231","812","0"
"232","813","0"
"233","814","0"
"234","815","0"
"235","816","0"
"236","817","0"
"237","818","0"
"238","822","0"
"239","823","0"
"240","824","0"
"241","825","0"
"242","826","0"
"243","827","0"
"244","828","0"
"245","829","0"
"246","830","0"
"247","831","0"
"248","833","0"
"250","835","0"
"251","836","0"
"252","845","0"
"253","851","0"
"254","853","0"
"256","871","0"
"258","883","0"
"259","897","0"
"260","898","0"
"261","921","0"
"262","932","0"
"263","952","0"
"265","980","0"
"266","982","0"
"268","1022","0"
"271","1044","0"
"272","1050","0"
"273","1064","0"
"274","1066","0"
"275","1079","0"
"277","1090","0"
"278","1098","0"
"280","1121","0"
"281","1122","0"
"283","1127","0"
"284","1129","0"
"285","1130","0"
"286","1131","0"
"287","1132","0"
"288","1133","0"
"290","1135","0"
"291","1137","0"
"292","1138","0"
"293","1139","0"
"294","1159","0"
"295","1160","0"
"298","1178","0"
"299","1180","0"
"307","1234","0"
"314","1302","0"
"315","1329","0"
"316","1330","0"
"318","1364","0"
"319","1373","0"
"320","1386","0"
"322","1446","0"
"323","1449","0"
"324","1454","0"
"326","1462","0"
"327","1463","0"
"328","1464","0"
"335","1485","0"
"337","1494","0"
"339","1509","0"
"342","1515","0"
"343","1516","0"
"344","1522","0"
"345","1528","0"
"346","1535","0"
"347","1536","0"
"348","1538","0"
"349","1539","0"
"350","1543","0"
"351","1557","0"
"353","1588","0"
"354","1604","0"
"355","1609","0"
"358","1645","0"
"359","1650","0"
"360","1664","0"
"361","1665","0"
"362","1666","0"
"363","1669","0"
"364","1680","0"
"365","1706","0"
"368","1715","0"
"369","1719","0"
"370","1725","0"
"377","1752","0"
"378","1766","0"
"379","1776","0"
"380","1784","0"
"381","1795","0"
"382","1796","0"
"383","1797","0"
"384","1798","0"
"385","1800","0"
"386","1804","0"
"387","1809","0"
"388","1810","0"
"390","1822","0"
"391","1825","0"
"393","1833","0"
"394","1834","0"
"396","1843","0"
"397","1844","0"
"398","1848","0"
"399","1850","0"
"400","1852","0"
"402","1856","0"
"403","1860","0"
"404","1881","0"
"406","1906","0"
"407","1908","0"
"408","1936","0"
"409","1940","0"
"410","1943","0"
"412","1950","0"
"413","1953","0"
"414","1966","0"
"417","2000","0"
"418","2006","0"
"419","2008","0"
"420","2018","0"
"421","2020","0"
"422","2021","0"
"423","2023","0"
"424","2024","0"
"425","2050","0"
