Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
"121","44862","0.698132","0.872665","10","120","0","0","0","0","0","0","19.29","0","0","1"
"161","45745","0.698132","0.872665","10","120","0","0","0","0","-5","5","19.29","0","0","1"
"222","47792","0.698132","0.872665","30","40","0","0","0","0","0","0","19.29","0","0","1"
"261","48034","0.698132","0.872665","30","40","0","0","0","0","0","0","19.29","0","0","1"
"281","48211","0.698132","0.872665","50","50","0","0","0","0","0","0","19.29","0","0","1"
"301","48430","0.698132","0.872665","30","40","0","0","0","0","0","0","19.29","0","0","1"
"361","48764","0.698132","0.872665","30","40","0","0","0","0","0","0","19.29","0","0","1"
"381","49190","0.698132","0.872665","10","120","0","0","0","0","0","0","19.29","0","0","1"
"382","49195","0.698132","0.872665","10","120","0","0","0","0","0","0","19.29","0","0","1"
"441","49685","-0.436332","-2.094395","10","120","0","0","0","0","0","0","19.29","5","0","1"
"463","49872","-0.261799","0.698132","35","40","0","0","0","0","0","0","19.29","0","0","1"
"481","50025","-0.2617994","1.570796","45","45","0","0","0","0","0","0","30","0","0","1"
"502","50672","0.5235988","1.308997","10","120","0","0","0","0","0","0","19.29","0","0","1"
"526","50896","0.5235988","1.570796","65","65","0","0","0","0","0","0","30","0","0","1"
"581","49692","0","0","50","50","0","0","0","0","0","0","0","4","0","1"
"582","51421","-0.5235988","1.570796","90","90","0","0","0","0","0","0","30","0","0","1"
"625","52201","0","0","30","40","0","0","0","0","0","0","0","2","0","1"
"626","52202","0","0.698132","20","30","0.523599","-0.523599","-0.174533","0.174533","0","0","-4.9","2","0","1"
"642","52338","-0.2617994","1.570796","65","65","0","0","0","0","0","0","30","0","0","1"
"661","52435","0.698132","0.872665","60","70","0","0","0","0","0","0","19.29","0","0","1"
"701","53420","-0.7853982","1.570796","0","100","0","0","0","0","0","0","9.8","0","0","1"
"764","54381","-0.349066","1.570796","50","55.48","0","0.017453","0","0","0","0","6.29","0","0","1"
