Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"1","1","10","0","0","0","0","0","0","0","0","0","0","0"
"2","3","10","0","0","0","0","0","0","0","0","0","0","0"
"3","4","10","0","0","0","0","0","0","0","0","0","0","0"
"5","14","10","0","0","0","0","0","0","0","0","0","0","0"
"7","17","0","2","0","0","0","0","0","0","0","0","0","0"
"10","24","10","0","0","0","0","0","0","0","0","0","0","0"
"11","26","10","0","0","0","0","0","0","0","0","0","0","0"
"12","27","10","0","0","0","0","0","0","0","0","0","0","0"
"13","53","35","0","0","0","0","0","3","0","0","0","0","0"
"16","66","0","3","0","0","0","0","0","0","0","0","0","0"
"22","101","15","0","0","0","0","0","3","0","0","0","0","0"
"23","111","5","0","0","0","0","0","0","0","0","0","0","0"
"25","116","0","2","0","0","0","0","0","0","0","0","0","0"
"26","118","0","2","0","0","0","0","0","0","0","0","0","0"
"27","120","0","4","0","0","0","0","0","0","0","0","0","0"
"28","122","0","2","0","0","0","0","0","0","0","0","0","0"
"29","126","0","4","0","0","0","0","0","0","0","0","0","0"
"30","130","0","1","0","0","0","0","0","0","0","0","0","0"
"33","133","0","2","0","0","0","0","0","0","0","0","0","0"
"35","139","0","2","0","0","0","0","0","0","0","0","0","0"
"38","228","120","0","0","0","0","0","0","0","0","0","0","0"
"40","271","7","0","0","0","0","0","0","1","0","0","0","0"
"42","339","0","10","0","0","0","0","0","0","0","0","0","0"
"43","348","0","6","0","0","0","0","0","0","0","0","0","0"
"46","408","25","0","0","0","0","0","3","0","0","0","0","0"
"47","421","0","1","0","0","0","0","0","0","0","0","0","0"
"51","467","0","36","0","0","0","0","0","0","0","0","0","0"
"54","498","0","3.5","0","0","0","0","0","0","0","0","0","0"
"55","512","35","0","0","0","0","0","0","0","0","0","0","0"
"56","527","0","2.6","0","0","0","0","0","0","0","0","0","0"
"57","528","0","4","0","0","0","0","0","0","0","0","0","0"
"59","550","100","0","0","0","0","0","0","0","0","0","0","0"
"62","585","0","1","0","137032","0","0","0","0","0","0","0","0"
"67","596","0","4.5","0","0","0","0","0","0","0","0","0","0"
"68","603","0","2","0","0","0","0","0","0","0","0","0","0"
"69","605","0","0.5","0","137032","0","0","0","0","0","0","0","0"
"70","606","240","0","0","0","0","0","0","0","0","0","0","0"
"74","686","0","6","0","0","0","0","0","0","0","0","0","0"
"76","688","1","0","0","0","0","0","7","0","0","0","0","0"
"78","691","1","0","0","0","0","0","7","0","0","0","0","0"
"81","697","1","0","0","0","0","0","7","0","0","0","0","0"
"82","698","0","4","0","0","0","0","0","0","0","0","0","0"
"83","700","60","0","0","0","0","0","0","0","0","0","0","0"
"86","703","45","0","0","0","0","0","3","0","0","0","0","0"
"87","710","0","2.5","0","0","0","0","0","0","0","0","0","0"
"88","712","1","0","0","0","0","0","7","0","0","0","0","0"
"90","740","0","18.4","0","0","0","0","0","0","0","0","0","0"
"94","772","150","0","0","0","0","0","1","0","0","0","0","0"
