Id,Unknown0,Unknown1
"1","4","1"
"18","0","1"
"31","5","1"
"35","0.581","1"
"38","1.74","1"
"39","2.611","1"
"40","0.51","1"
"41","0.96","1"
"42","1.64","1"
"43","2.89","1"
"44","3","1"
"45","0.7","1"
"46","1.21","1"
"47","3.5","1"
"49","1.1","1"
"50","2.57","1"
"51","19.27","1"
"54","1.61","1"
"55","1.35","1"
"56","11.1","1"
"57","1","1"
"59","5.78","1"
"60","0.72","1"
"61","0.58","1"
"62","0.85","1"
"63","9.17","1"
"64","3.67","1"
"65","2.2","1"
"66","5.5","1"
"67","2.53","1"
"72","2","1"
"79","0.92","1"
"83","1.15","1"
"85","1.01","1"
"95","15","1"
"96","10","1"
"98","1.55","1"
"99","2.5","1"
"100","3.75","1"
"104","1.5","1"
"109","1.25","1"
"111","2.3","1"
"121","1.7","1"
"124","6","1"
"127","20","0"
"129","4.5","0"
"130","3.45","1"
"131","4","0"
"132","7","0"
"135","1.5","0"
"137","20","1"
"143","8","1"
"145","0.5","1"
"149","5","0"
"153","4.5","1"
"157","6.5","1"
"165","12","1"
"166","0.75","1"
"170","12","0"
"184","1.2","1"
"123","4","1"
"144","4","1"
"160","4","1"
"117","5","1"
"118","5","1"
"128","5","1"
"134","5","1"
"138","5","1"
"139","5","1"
"102","3","1"
"103","3","1"
"122","3","1"
"152","3","1"
"158","3","1"
"172","3","1"
"174","3","1"
"190","3","1"
"171","0.7","1"
"175","0.7","1"
"141","3.5","1"
"58","1.1","1"
"82","1.1","1"
"97","1.1","1"
"133","1.1","1"
"86","1","1"
"113","1","1"
"140","1","1"
"146","1","1"
"164","1","1"
"182","1","1"
"185","1","1"
"189","1","1"
"191","1","1"
"114","0.85","1"
"156","0.85","1"
"159","0.85","1"
"193","0.85","1"
"73","2","1"
"74","2","1"
"75","2","1"
"80","2","1"
"81","2","1"
"101","2","1"
"115","2","1"
"116","2","1"
"125","2","1"
"147","2","1"
"155","2","1"
"161","2","1"
"162","2","1"
"163","2","1"
"169","2","1"
"173","2","1"
"178","2","1"
"181","2","1"
"188","2","1"
"84","0.92","1"
"180","0.92","1"
"192","0.92","1"
"136","15","1"
"126","10","1"
"107","2.5","1"
"108","2.5","1"
"110","2.5","1"
"105","1.5","1"
"119","1.5","1"
"148","1.5","1"
"176","1.5","1"
"187","1.5","1"
"112","1.25","1"
"150","1.25","1"
"151","6","1"
"154","6","1"
"167","6","1"
"186","6","1"
"179","4","0"
"142","20","1"
"168","20","1"
"194","0.5","1"
"195","4.5","1"
"177","12","1"
