Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"15","120","0","8","0","0"
"16","31661","0","8","0","0"
"22","44614","0","8","0","0"
"23","30455","0","8","0","0"
"36","11426","0","8","0","0"
"63","5221","0","11","0","0"
"68","467","0","11","0","0"
"73","5176","0","11","0","0"
"76","19434","0","3","0","0"
"88","136","0","3","0","0"
"97","50433","0","3","0","0"
"98","17253","0","3","0","0"
"99","16827","0","3","0","0"
"100","24423","0","3","0","0"
"104","2649","0","3","0","0"
"107","54680","0","3","0","0"
"111","59881","0","3","0","0"
"114","24640","0","3","0","0"
"116","49966","0","3","0","0"
"119","61193","0","3","0","0"
"130","22570","0","11","0","0"
"146","45902","0","6","0","0"
"149","43265","0","6","0","0"
"150","47541","0","6","0","0"
"152","66188","0","6","0","0"
"153","49143","0","6","0","0"
"154","66196","0","6","0","0"
"160","66198","0","6","0","0"
"178","25914","0","2","0","0"
"179","25912","0","2","0","0"
"181","633","0","2","0","0"
"223","27576","0","4","0","0"
"227","2818","0","4","0","0"
"228","8680","0","4","0","0"
"237","8349","0","7","0","0"
"253","8187","0","7","0","0"
"270","17767","0","9","0","0"
"278","6789","0","9","0","0"
"280","19505","0","9","0","0"
"293","30153","0","9","0","0"
"297","7814","0","9","0","0"
"300","7812","0","9","0","0"
"303","27285","0","9","0","0"
"304","43991","0","9","0","0"
"312","6360","0","9","0","0"
"314","17735","0","9","0","0"
"318","76110","0","7","0","0"
"324","22699","0","9","0","0"
"400","79136","0","4","0","0"
"401","42988","0","255","0","0"
"402","42987","0","255","0","0"
"403","27103","0","255","0","0"
"404","10058","0","255","0","0"
"405","10057","0","255","0","0"
"406","10052","0","255","0","0"
"500","81561","0","7","0","0"
"581","83381","0","3","0","0"
"588","83872","0","255","0","0"
"634","85948","0","6","0","0"
"640","86121","0","9","0","0"
"642","86213","0","9","0","0"
"650","31707","0","8","0","0"
"651","33395","0","8","0","0"
"664","87441","0","5","0","0"
"668","87735","0","7","0","0"
"672","59638","0","8","0","0"
"673","88082","0","8","0","0"
"674","88084","0","8","0","0"
"703","89792","0","9","0","0"
"709","90361","0","3","0","0"
"723","62618","0","5","0","0"
"739","93282","0","9","0","0"
"740","93402","0","11","0","0"
"746","93744","0","255","0","80"
"749","92380","0","3","0","0"
"754","33697","0","255","0","0"
"756","34026","0","3","0","0"
"757","19658","0","9","0","0"
"758","7870","0","9","0","0"
"765","94289","0","2","0","0"
"779","93433","0","3","0","0"
"839","86704","0","2","0","0"
"840","22703","0","9","0","0"
"843","95711","0","3","0","0"
"844","95714","0","3","0","0"
"845","95725","0","3","0","0"
"847","33702","0","255","0","0"
"848","20572","0","255","0","0"
"858","96092","0","255","0","0"
"863","96161","0","255","0","0"
"864","96165","0","255","0","0"
"865","96168","0","255","0","0"
"928","97547","0","11","0","0"
"939","52212","0","6","0","0"
"959","99062","0","8","0","0"
"975","100806","0","11","0","0"
"979","82207","0","255","0","85"
"980","89637","0","255","0","80"
"1050","104318","0","9","0","0"
"1091","105404","0","255","0","85"
"1093","79638","0","252","0","90"
"1110","105704","0","254","0","85"
"1191","108201","0","6","0","0"
"1193","108238","0","5","0","0"
"1231","108968","0","5","0","0"
"1238","109079","0","4","0","0"
"1239","109080","0","4","0","0"
"1265","109933","0","255","0","0"
"1267","105708","0","254","0","85"
"1274","109842","0","255","0","0"
"1275","109844","0","255","0","0"
"1276","107804","0","255","0","0"
"1306","105709","0","254","0","85"
"1384","746","0","254","0","1"
"1385","102695","0","254","0","85"
"1386","102694","0","254","0","85"
"1399","112059","0","255","0","0"
"1421","113092","0","8","0","0"
